# DigitalOscilloscope capture
# format_version=2
# fs_hz=410256.41025641025
# n_bits=14
# timestamp=2026-08-18T01:09:59
# capture_name=capture_gain_100.csv
# decim_factor=195
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=100.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=100.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8477,7751
1,8709,8117
2,8595,7618
3,8218,7661
4,8284,7535
5,8786,8261
6,7941,7429
7,8341,7724
8,8325,7354
9,8062,7682
10,8450,7752
11,8566,8044
12,8082,7467
13,8168,7435
14,8286,7798
15,8688,8205
16,8040,7208
17,8641,8089
18,8480,7770
19,8678,7751
20,8352,7753
21,8525,7766
22,8513,7914
23,8710,8015
24,8239,7593
25,8573,7685
26,8541,7890
27,8401,7529
28,8008,7298
29,8559,7986
30,8310,7214
31,7948,7303
32,9033,8446
33,8058,7379
34,7956,7393
35,8825,7751
36,8503,7879
37,8523,7715
38,8446,7471
39,8190,7119
40,8503,8035
41,8365,7543
42,8605,7862
43,8554,7890
44,8148,7301
45,8805,7865
46,8717,7853
47,8773,7983
48,8061,7198
49,8383,7643
50,8176,7184
51,8239,7797
52,8783,7704
53,7858,7156
54,8409,7844
55,8888,8077
56,8477,8218
57,8493,7858
58,8213,7447
59,8485,7630
60,8476,7350
61,8304,7781
62,8829,7997
63,8256,7339
64,7939,7490
65,7794,7256
66,8056,7440
67,8279,7741
68,8734,8031
69,8093,7319
70,8016,7472
71,8246,7614
72,8376,7745
73,8247,7425
74,8778,7688
75,8276,7655
76,8206,7301
77,8188,7607
78,8143,7513
79,8411,7381
80,8381,7686
81,8557,7795
82,8126,7561
83,8905,8211
84,8046,7505
85,8256,7643
86,8655,7861
87,8899,8072
88,8505,7580
89,8727,8170
90,8326,7781
91,8690,7739
92,8052,7626
93,9054,8260
94,8665,7712
95,8486,8088
96,8258,7392
97,8634,7747
98,8116,7176
99,8430,7770
100,8598,7806
101,8111,7573
102,8408,8137
103,8191,7462
104,8761,7763
105,8514,7595
106,8732,7971
107,8331,7415
108,7889,7416
109,8061,7203
110,8301,7485
111,8132,7751
112,7951,7110
113,8588,8065
114,8788,8050
115,8620,7943
116,8626,7961
117,8372,7612
118,7826,7674
119,8179,7680
120,8176,7727
121,8170,7600
122,8505,7715
123,8359,8082
124,8396,7665
125,8560,8038
126,8335,7604
127,8339,7888
128,8532,7737
129,7969,7331
130,7721,6793
131,8037,7609
132,7829,7317
133,8433,7690
134,8277,7472
135,8563,8091
136,7800,7323
137,8385,7852
138,8117,7491
139,8699,7565
140,8025,8003
141,8184,7352
142,8580,7679
143,8345,7627
144,8835,7928
145,8049,7578
146,8512,7822
147,8263,7806
148,7960,7456
149,8762,8216
150,8727,7889
151,8055,7405
152,8151,7503
153,8287,7604
154,8334,7597
155,8675,7694
156,8708,7360
157,7685,7350
158,8629,7901
159,8363,7328
160,8529,7461
161,8150,7199
162,8816,7931
163,8500,7685
164,8143,7876
165,8091,7374
166,8189,7872
167,8321,7230
168,8460,7985
169,8415,7232
170,8540,7847
171,8475,7976
172,8479,7653
173,8141,7693
174,8602,7908
175,8733,8232
176,8495,7887
177,8085,7303
178,8285,7366
179,8536,7585
180,8375,7537
181,8334,7803
182,8395,7545
183,8664,7815
184,8398,7493
185,7862,7758
186,8452,7898
187,8694,8031
188,8276,7756
189,8680,8056
190,8694,8138
191,8444,7812
192,8359,7500
193,8339,7869
194,8254,7446
195,8524,7902
196,8621,7814
197,7945,7097
198,8198,7531
199,8665,8251
200,8906,8322
201,8714,8121
202,8276,7623
203,7643,6876
204,8294,7172
205,8057,7547
206,8487,7899
207,8450,8057
208,8070,7301
209,8140,7461
210,8694,7951
211,8538,7872
212,8629,7713
213,8577,7903
214,8172,7923
215,8597,8046
216,8306,7889
217,8650,7581
218,7969,7735
219,8373,7786
220,8733,7754
221,8593,8123
222,7940,7414
223,8413,7576
224,8214,7542
225,8185,7528
226,8753,8006
227,7784,7426
228,8211,7676
229,8577,7747
230,8422,7621
231,8645,7564
232,7966,7265
233,7858,7683
234,8458,7955
235,8068,7229
236,8211,7562
237,8754,7996
238,8386,7963
239,8443,7829
240,7942,7029
241,8371,7826
242,8475,8304
243,8273,7714
244,8285,7165
245,8596,7836
246,8540,7728
247,8589,8058
248,8084,7477
249,8284,7486
250,8452,7997
251,8367,7938
252,8431,7700
253,8785,7536
254,8647,8201
255,8402,7769
256,8491,7357
257,8071,7385
258,8642,7776
259,8407,7610
260,7897,7612
261,8284,7841
262,8468,7594
263,8386,7793
264,8504,8157
265,8391,7351
266,8148,7180
267,8300,7509
268,8890,8155
269,8395,7633
270,8542,7622
271,7875,7115
272,7985,7469
273,8337,7899
274,8698,7710
275,8014,7319
276,8443,7586
277,8554,7324
278,8544,7596
279,8669,8087
280,8169,7808
281,8769,8241
282,8753,8029
283,8353,7839
284,8786,7919
285,8490,7760
286,8419,7922
287,8666,7958
288,8357,7673
289,8460,7681
290,8097,7636
291,8396,7694
292,8399,7488
293,8341,7458
294,8074,7325
295,8505,7782
296,8629,8235
297,7604,7027
298,8532,7358
299,8285,7377
300,8176,7451
301,8745,7987
302,8743,7766
303,7682,7280
304,8240,7597
305,8694,7941
306,8584,8093
307,8450,7860
308,8137,7478
309,8143,7696
310,8461,7761
311,8260,7544
312,7948,7337
313,8170,7446
314,7855,7408
315,7973,7513
316,8757,8266
317,8278,7572
318,8357,7577
319,8253,7824
320,8256,7466
321,8450,7528
322,8124,7281
323,8107,7618
324,8561,8106
325,8506,7899
326,8412,7834
327,7633,7188
328,8222,7480
329,8265,7594
330,8733,7831
331,8125,7159
332,8586,7946
333,8281,7513
334,8079,7607
335,8189,7521
336,8520,7594
337,8098,7459
338,8156,7140
339,8559,7874
340,8202,7358
341,7913,7311
342,8331,7727
343,8422,7592
344,8308,7553
345,8425,7473
346,8497,7883
347,8207,7336
348,8606,8183
349,8437,8037
350,7933,7395
351,8590,7762
352,8424,7283
353,8417,7807
354,7594,6966
355,8256,7777
356,8075,7405
357,8369,7662
358,8320,7653
359,8342,7838
360,8491,7732
361,8635,7834
362,8139,7381
363,7878,7242
364,8547,8061
365,8348,7436
366,8426,8141
367,8460,7765
368,8400,7699
369,8360,7893
370,8458,7867
371,8566,7442
372,8758,8176
373,8696,7509
374,8423,7591
375,8320,7871
376,8213,7656
377,8053,7201
378,8202,7576
379,8231,7416
380,8393,7756
381,8122,7348
382,8528,7826
383,8600,8049
384,8235,7722
385,8292,7725
386,8662,7861
387,8508,7753
388,8183,7700
389,8780,8190
390,8393,7375
391,8518,8012
392,8206,7474
393,8485,7722
394,8111,7721
395,8146,7853
396,8059,7377
397,8053,7398
398,7947,7609
399,7989,7435
400,8102,7607
401,8527,8060
402,8715,8124
403,8383,7601
404,8607,7828
405,8391,7352
406,8587,8014
407,8674,8149
408,8194,7425
409,7970,7472
410,8294,7877
411,8645,8176
412,8677,8119
413,8743,7900
414,8050,7629
415,8213,7421
416,8342,7962
417,8056,7483
418,9013,8189
419,7887,7523
420,8166,7406
421,8717,7717
422,8614,7641
423,8160,7431
424,8255,7056
425,8178,7374
426,8030,7546
427,8277,7410
428,8092,7405
429,8332,7526
430,8040,7379
431,8666,7804
432,8670,7889
433,8200,7689
434,8366,7454
435,8295,7631
436,8113,7305
437,8226,7769
438,8064,7411
439,8202,7606
440,8618,7856
441,8608,7886
442,8107,7899
443,8140,7753
444,8765,8078
445,8587,7757
446,7927,7446
447,8080,7642
448,8692,8017
449,8445,7769
450,8361,7466
451,8158,7343
452,7598,7245
453,8508,7585
454,8739,7897
455,8831,7881
456,8080,7437
457,8861,8279
458,8492,7744
459,8216,7557
460,8359,7449
461,8708,7974
462,8394,7578
463,8852,8248
464,8408,7571
465,8376,7564
466,8333,7698
467,8718,8053
468,8410,7409
469,7910,7323
470,8785,7876
471,8242,7645
472,8299,7435
473,8244,7400
474,8186,7490
475,8014,7483
476,8380,7839
477,8342,7602
478,8506,7886
479,7994,7231
480,8403,7622
481,8931,8128
482,8302,7874
483,7717,7255
484,8317,7206
485,8020,7310
486,8061,7489
487,8728,8256
488,8714,8026
489,8626,8072
490,8488,8007
491,8233,7696
492,7975,7189
493,8629,7691
494,8221,7845
495,8009,7594
496,8726,7589
497,8532,7632
498,8386,7529
499,8228,7647
500,8017,7168
501,8802,7931
502,8786,7710
503,8005,7244
504,8785,7977
505,8422,7699
506,8494,7352
507,8424,7502
508,8061,7603
509,8822,8121
510,8868,8160
511,8289,7729
512,8075,7267
513,8497,7765
514,7841,7506
515,8245,7746
516,8300,7268
517,8114,7821
518,8606,7997
519,8771,8197
520,7943,7509
521,8105,7540
522,8559,7403
523,8087,7408
524,8808,7897
525,8446,7768
526,8268,6900
527,7825,7332
528,8366,7969
529,8518,7791
530,8383,7385
531,8154,7437
532,8385,7403
533,8295,7534
534,8161,7725
535,8376,7555
536,8426,7721
537,8206,7584
538,8095,7751
539,8301,7552
540,8429,7575
541,8156,7952
542,8296,7621
543,7962,7404
544,8336,6957
545,8590,8048
546,8360,7917
547,8432,7800
548,8501,7987
549,7929,7255
550,8294,7950
551,8699,7824
552,8433,7976
553,8285,7451
554,7847,7465
555,8231,7616
556,8178,7639
557,8529,7741
558,8230,7563
559,8128,7836
560,8839,8057
561,8431,7580
562,8703,7761
563,8889,8027
564,8687,7962
565,8416,7539
566,8641,7946
567,8810,8302
568,8875,7882
569,8661,7781
570,8349,7572
571,8657,7846
572,8210,7422
573,8235,7391
574,8405,7571
575,8431,8039
576,7855,7223
577,8044,7375
578,8101,7791
579,8073,7316
580,8296,7606
581,7855,7241
582,8684,7498
583,7958,7599
584,8043,7491
585,8473,7661
586,8763,8096
587,8094,7085
588,8117,7501
589,8305,7795
590,8219,7502
591,8233,7724
592,8888,8266
593,8416,7780
594,8235,7501
595,8500,7555
596,8507,7664
597,8563,8017
598,8378,7563
599,8338,7808
600,8257,7674
601,8221,7828
602,8807,8201
603,8550,8241
604,8048,7366
605,8866,8100
606,8326,7548
607,8070,7654
608,8429,7485
609,8709,7766
610,8110,7749
611,8257,7341
612,8376,7771
613,8059,7575
614,8445,7857
615,8326,7658
616,8351,7245
617,8214,7582
618,8044,7260
619,8452,7814
620,8662,8015
621,8604,8208
622,8272,7563
623,8590,8149
624,8476,7889
625,8751,7776
626,8323,7379
627,8104,7307
628,8437,7953
629,8527,7694
630,8471,7521
631,8683,8005
632,8430,7432
633,8246,7622
634,8404,7624
635,9172,8475
636,8169,7539
637,7740,6994
638,8063,7353
639,8116,7411
640,7928,7328
641,8439,7313
642,8039,7190
643,8477,7293
644,8582,7771
645,8075,7435
646,8009,7514
647,8171,7761
648,7754,7203
649,8343,7540
650,8190,7221
651,8733,8403
652,8182,7767
653,8017,7356
654,8251,7855
655,8362,7837
656,8614,8074
657,8243,7636
658,8088,7499
659,8381,7788
660,8261,7450
661,8242,7520
662,8218,7415
663,8225,7523
664,8312,7681
665,8391,7945
666,8858,7876
667,8489,7613
668,8560,7554
669,8354,7172
670,8490,8125
671,8278,7323
672,8127,7228
673,8196,7357
674,8351,7612
675,7992,7874
676,8292,7639
677,8302,7598
678,8605,7885
679,8129,7649
680,8142,7616
681,8784,7658
682,8441,8004
683,8531,7800
684,8386,7659
685,8279,7552
686,8239,7929
687,8127,7411
688,8571,7572
689,8477,7331
690,8196,7825
691,7991,7485
692,8258,7872
693,9024,8139
694,8486,7749
695,8296,7549
696,8533,7791
697,8885,7887
698,8596,7492
699,8667,7893
700,8533,7652
701,8692,8090
702,8974,8348
703,8106,7456
704,8682,8027
705,8002,7371
706,8218,7232
707,8929,8138
708,7891,7373
709,8557,8092
710,8269,7434
711,8680,7613
712,7962,7186
713,8397,7335
714,8514,7734
715,7898,6775
716,8270,7637
717,8216,7654
718,8036,7566
719,8822,8020
720,8472,7697
721,8539,7678
722,8427,7736
723,8510,8134
724,8378,7727
725,8240,7824
726,8752,7965
727,8116,7617
728,7867,7507
729,8858,7911
730,8175,7474
731,8954,7962
732,8362,7694
733,7960,7280
734,8177,7646
735,8159,7936
736,8071,7238
737,8528,7599
738,8610,7985
739,8330,7463
740,8776,7810
741,8452,7877
742,8355,7530
743,8888,7959
744,8217,7387
745,8371,7773
746,8296,7808
747,8802,8085
748,8349,7685
749,7978,7491
750,8437,7460
751,7720,7176
752,8639,7963
753,8875,8023
754,8095,7651
755,8296,7700
756,8134,7546
757,8197,7271
758,8206,7242
759,8344,7257
760,8760,8292
761,8337,7591
762,8679,7585
763,8585,8170
764,8663,7817
765,8101,7578
766,8413,7833
767,8727,8130
768,7937,7026
769,8525,7477
770,8583,7735
771,8765,8135
772,8282,7222
773,8228,7554
774,8209,7403
775,8336,7834
776,8282,7720
777,8693,8195
778,8656,7696
779,8210,7630
780,7928,7267
781,8115,7261
782,8856,7959
783,8120,7403
784,8257,7229
785,8354,7719
786,8305,7310
787,7668,7019
788,8520,8094
789,7775,7495
790,7867,7415
791,8953,8108
792,8516,7915
793,9009,8498
794,8105,7475
795,8584,8132
796,8068,7518
797,9179,8198
798,8309,7646
799,8269,7705
800,8556,7917
801,8903,7757
802,8070,7293
803,8366,7749
804,8567,8157
805,8613,7914
806,8638,8136
807,8050,7637
808,8287,7881
809,8250,7693
810,8787,7534
811,8448,7733
812,8551,7801
813,8313,7550
814,7673,7052
815,8939,8191
816,8296,7183
817,8684,8232
818,7981,7435
819,8204,7382
820,8233,7582
821,8862,8268
822,8044,7418
823,8054,7470
824,8085,7707
825,8007,7338
826,7912,7217
827,8462,8008
828,8456,8055
829,8358,7687
830,8125,7678
831,8286,7349
832,8276,7575
833,8223,7563
834,7861,7393
835,8114,7542
836,8443,7535
837,8398,7876
838,8124,7763
839,8571,7529
840,8148,7189
841,8211,8069
842,8578,7677
843,8261,7657
844,8561,7588
845,8334,7450
846,8623,8017
847,8318,7818
848,8556,7472
849,8667,7897
850,8523,7476
851,8534,7609
852,8158,7545
853,8221,7622
854,8541,7923
855,8207,7556
856,8185,7236
857,8096,7506
858,8295,7815
859,8851,7717
860,8127,7419
861,8551,7757
862,8970,7949
863,8294,7523
864,8463,7844
865,8689,7988
866,8191,7365
867,8154,7392
868,8226,7250
869,8344,7714
870,8459,7949
871,8510,7787
872,8373,7757
873,7994,7201
874,8658,7894
875,8522,8087
876,8131,7537
877,8029,7132
878,8199,7523
879,8526,8026
880,8541,7460
881,8074,7385
882,8202,7532
883,8056,7092
884,8596,7878
885,8180,7538
886,8106,7540
887,8815,8223
888,8439,7888
889,8887,7973
890,8451,8030
891,8797,7818
892,8503,8017
893,8396,7724
894,8370,7757
895,8082,7752
896,8551,7270
897,8659,7587
898,8319,7710
899,8582,7471
900,8823,8307
901,8235,7519
902,8279,7932
903,8469,7730
904,8495,7940
905,8304,7487
906,8326,7769
907,8262,7499
908,8139,7347
909,8178,7485
910,7952,7459
911,8045,7314
912,8014,7565
913,8783,7738
914,8447,7769
915,8427,7639
916,8903,7995
917,8267,7757
918,8432,7655
919,8687,7860
920,8605,7671
921,8335,7803
922,8682,7776
923,8270,7484
924,8600,8274
925,8246,7468
926,8197,7438
927,8226,7513
928,8461,7608
929,8288,7665
930,8931,8089
931,8453,7664
932,8699,7725
933,8456,7542
934,7894,7347
935,8568,8122
936,8299,7524
937,8171,7102
938,7968,7401
939,8392,7629
940,8401,8069
941,7735,7094
942,8541,7991
943,8368,7475
944,8197,7192
945,8478,7933
946,8665,7955
947,7926,7315
948,8620,7947
949,7898,7292
950,8657,7636
951,8061,8016
952,8503,7537
953,8333,7743
954,8459,7920
955,8426,7527
956,8153,7208
957,8612,8139
958,8813,8166
959,8614,7773
960,8657,7539
961,8101,7577
962,8404,7947
963,8577,7740
964,8019,7566
965,8808,8103
966,7803,7232
967,7964,7419
968,8544,7629
969,8230,7936
970,8210,7524
971,8440,7644
972,8140,7386
973,8018,7326
974,8804,8277
975,8388,7549
976,8104,7462
977,8181,7220
978,8080,7736
979,8532,7897
980,8183,7499
981,8134,7437
982,8360,7491
983,8375,7559
984,7860,7333
985,8687,7911
986,8078,7263
987,8498,7667
988,8636,8279
989,8632,7697
990,8199,7609
991,8416,7499
992,8195,7446
993,8856,8261
994,8570,7766
995,8597,8330
996,7986,7538
997,7855,7301
998,8108,7482
999,8424,7357
