# DigitalOscilloscope capture
# format_version=2
# fs_hz=410256.41025641025
# n_bits=14
# timestamp=2026-08-18T01:10:56
# capture_name=capture_gain_100_1.csv
# decim_factor=195
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=100.00
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=100.00
# firmware_afe_ch2_offset_pct=50.07
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8179,9093
1,8331,9097
2,8477,9164
3,8363,9703
4,8128,8871
5,8233,9027
6,8401,9269
7,8627,9432
8,9024,9770
9,8772,9746
10,7570,8713
11,8183,9366
12,8914,9928
13,8889,9942
14,8010,8935
15,8544,9432
16,8023,9079
17,8325,9083
18,8935,9753
19,8282,9521
20,8452,9535
21,7985,9146
22,8444,9153
23,8235,9256
24,8183,9184
25,8562,9033
26,8515,9735
27,8436,9357
28,7681,8757
29,8452,9416
30,8215,9537
31,8290,9380
32,8799,9793
33,7955,9113
34,8318,9522
35,8191,8954
36,8344,9253
37,8338,9475
38,8191,8855
39,8528,9584
40,8392,9077
41,8566,9209
42,8182,9057
43,7931,9055
44,8641,9824
45,8166,8921
46,7885,9109
47,8620,9412
48,8170,8995
49,8020,8891
50,8010,8926
51,9314,9836
52,7919,8824
53,8361,9410
54,8802,9606
55,8869,9452
56,8361,9811
57,8745,9736
58,8074,9415
59,8390,9436
60,8638,9641
61,7956,9172
62,8082,8816
63,8141,8762
64,8581,9543
65,8590,9426
66,8307,9055
67,8282,9432
68,8275,9111
69,8160,8978
70,8679,9625
71,8484,9085
72,8515,9417
73,8374,9233
74,8491,9244
75,8863,9268
76,8548,9452
77,8550,9464
78,8663,9614
79,8274,9230
80,8356,9436
81,8668,9369
82,8506,9502
83,8427,8951
84,8513,9673
85,8308,9636
86,7952,9132
87,8614,9815
88,8108,9145
89,8090,8883
90,8355,9602
91,8552,9023
92,8207,9177
93,8488,8958
94,7826,8816
95,8482,9479
96,8170,9275
97,8319,9168
98,8386,9069
99,8065,9284
100,8458,9283
101,8444,9508
102,8334,9325
103,8041,9111
104,8546,9259
105,8535,9493
106,8289,9244
107,8803,9660
108,8389,9459
109,7860,8982
110,8332,8795
111,8566,9418
112,8298,9189
113,8732,9382
114,8505,9212
115,8027,8860
116,8605,9449
117,8328,9351
118,8195,9068
119,8446,9094
120,8235,9206
121,8122,8875
122,8209,9407
123,8288,9298
124,8439,9382
125,8205,9218
126,8173,9340
127,8503,9186
128,9047,10008
129,7987,8682
130,8473,9266
131,7922,8930
132,8315,9307
133,8048,9085
134,8317,9240
135,8290,9153
136,8624,9544
137,8520,9239
138,8142,9291
139,8142,9096
140,8239,8891
141,7810,8569
142,8343,8966
143,8339,9050
144,8246,8879
145,8391,9205
146,8017,9250
147,8890,9761
148,8266,9060
149,8226,9574
150,7989,8685
151,8759,9734
152,8052,8955
153,8131,8738
154,8186,9178
155,8530,9516
156,8215,9079
157,8170,9206
158,8725,9593
159,8116,9077
160,8429,8987
161,8058,8608
162,8186,9320
163,7994,9293
164,8311,9394
165,8472,9205
166,8362,9226
167,8149,8971
168,8900,9946
169,8387,9056
170,8502,9428
171,8368,9464
172,8790,9652
173,7975,9297
174,8219,9355
175,8440,9450
176,8378,9551
177,8421,9146
178,8095,9083
179,8676,9515
180,8011,9210
181,8491,9179
182,8526,9251
183,8117,9310
184,8194,9046
185,8198,9028
186,8131,9090
187,8590,9125
188,7873,8782
189,8367,9321
190,8109,9179
191,8248,9307
192,8110,8868
193,8429,9251
194,8621,9495
195,8137,9032
196,8407,9209
197,8534,9328
198,8606,9414
199,7936,8874
200,8146,9056
201,8337,9011
202,8044,9210
203,8353,8971
204,8186,9549
205,8220,8894
206,8850,9629
207,8458,9313
208,7898,8891
209,8022,8969
210,8489,9239
211,8194,9294
212,8167,8928
213,8375,9093
214,8690,9498
215,8620,9659
216,8273,8933
217,8666,9335
218,8740,9552
219,8120,8949
220,8109,8832
221,7997,8746
222,8649,9555
223,8624,9111
224,8398,9074
225,8236,8851
226,8378,9254
227,8623,9335
228,8422,9169
229,8191,8990
230,8915,9372
231,8804,9639
232,7896,8678
233,8020,8934
234,8185,8848
235,7975,8891
236,7933,9110
237,8811,9580
238,8117,9126
239,8584,9324
240,7946,8983
241,8393,9243
242,8405,9146
243,8739,9620
244,8414,9245
245,8470,9364
246,8532,9752
247,8481,9409
248,8424,9347
249,8173,9290
250,8400,9082
251,8517,9265
252,7882,8634
253,7712,8689
254,8531,8850
255,8502,9081
256,8739,9505
257,8422,9570
258,8374,9267
259,8055,9070
260,8292,9003
261,8221,8919
262,8303,9157
263,7527,8224
264,8541,9385
265,8587,8995
266,7788,8563
267,8120,9378
268,8814,9466
269,8421,9327
270,7925,8736
271,8655,9538
272,8313,9340
273,8446,9434
274,8396,9290
275,8243,8873
276,7643,8673
277,8517,9506
278,8788,9619
279,8266,9265
280,8479,9554
281,8062,8989
282,8360,9465
283,8558,8988
284,8446,9314
285,8379,9437
286,8184,9196
287,7967,9026
288,7994,8766
289,8469,9058
290,8252,9397
291,8332,9315
292,8911,9539
293,8420,9161
294,8844,9558
295,8637,9770
296,8292,9306
297,8325,9287
298,8382,9547
299,8230,9132
300,8440,9232
301,8462,9554
302,8461,9357
303,7745,9161
304,8326,9757
305,8403,9310
306,8177,8990
307,8392,9139
308,8774,9805
309,7997,9106
310,8778,9113
311,8299,9312
312,8357,9351
313,8282,9284
314,8233,8890
315,8319,9442
316,8354,9294
317,7872,8848
318,8103,9221
319,8204,9133
320,7887,9217
321,8785,9350
322,8717,9627
323,8318,9570
324,8406,9078
325,8443,9247
326,8258,9077
327,8065,8958
328,8339,9411
329,8904,9640
330,8164,8944
331,8301,9140
332,8328,9232
333,8665,9472
334,8619,9405
335,8014,8881
336,8731,9213
337,8161,9097
338,8469,9345
339,8204,8674
340,7864,8726
341,8389,9484
342,8834,9395
343,8365,8983
344,8741,9616
345,8531,9150
346,8590,9084
347,7595,8397
348,8111,9012
349,8261,8993
350,8542,9416
351,7809,9065
352,8555,9334
353,8056,9046
354,7858,8747
355,8488,9265
356,8252,9536
357,8218,9204
358,8284,9471
359,8316,9411
360,8643,9213
361,8275,9056
362,9069,9886
363,8435,9346
364,8167,8905
365,7985,8802
366,8230,9051
367,8219,9552
368,8737,9471
369,8258,9190
370,7904,8714
371,8058,8692
372,8562,9436
373,8302,9393
374,8521,9210
375,7901,8710
376,8267,9032
377,8313,9141
378,8521,9137
379,8509,9115
380,8165,8963
381,8021,8573
382,7757,8866
383,8126,9061
384,7798,9079
385,8483,9262
386,8804,9260
387,8574,9522
388,8032,8758
389,8280,9059
390,8276,9237
391,8040,9101
392,8486,9558
393,8882,9578
394,8327,9055
395,8015,8731
396,8607,9554
397,8523,9280
398,8198,8917
399,8155,8845
400,8413,9188
401,8244,9070
402,7949,9115
403,8222,9291
404,8718,9487
405,8379,9546
406,8290,9028
407,8024,9265
408,8385,9285
409,8546,9436
410,8075,9014
411,8537,9462
412,8538,9041
413,8388,8904
414,8586,9387
415,8307,9052
416,8221,9127
417,8128,9160
418,8581,9686
419,8187,8867
420,7922,8987
421,8839,9725
422,7992,8382
423,8307,9322
424,8245,9274
425,8306,9345
426,8486,9115
427,8414,9036
428,8017,8863
429,8452,9482
430,8795,9364
431,7809,8736
432,8070,9112
433,8244,9202
434,8065,9100
435,8325,9029
436,8606,9533
437,8548,9365
438,8470,9496
439,7885,9281
440,8136,9140
441,8273,9427
442,8337,9158
443,8573,9539
444,8176,9303
445,8170,9145
446,8681,9377
447,8847,9597
448,8400,9283
449,8166,9228
450,8453,9298
451,8309,9210
452,8345,9457
453,8037,8801
454,7968,8913
455,8382,9288
456,8053,9069
457,8339,9002
458,8612,9410
459,8358,9187
460,8503,9183
461,8208,9137
462,8410,9140
463,8234,9155
464,8453,9337
465,8175,8746
466,8473,9031
467,7962,8756
468,8113,9198
469,7985,9227
470,8583,9266
471,7998,9074
472,7919,8794
473,8346,9570
474,8681,9380
475,7826,8672
476,8794,9309
477,8221,9101
478,8072,8852
479,8484,9375
480,8199,9089
481,8307,9137
482,8299,9551
483,8555,9607
484,9158,9648
485,8297,9389
486,8020,9069
487,8335,9211
488,8730,9644
489,8780,9819
490,8583,9772
491,8589,9259
492,8827,9805
493,8652,9598
494,7959,8831
495,8495,9397
496,8399,9061
497,8097,8877
498,8972,9852
499,8459,9178
500,8125,9434
501,8275,9532
502,8331,9539
503,8199,9034
504,8768,9588
505,8300,9255
506,7932,8835
507,8418,9573
508,8325,8846
509,8460,9329
510,7638,8672
511,8461,9432
512,8438,9451
513,8360,9483
514,8219,9053
515,8316,8952
516,8562,9322
517,8326,9006
518,8725,9399
519,8932,9609
520,7977,8842
521,8511,9895
522,8851,9527
523,8916,9484
524,7947,8909
525,9088,9335
526,8369,9315
527,7492,8361
528,8681,9483
529,8569,9492
530,8200,8675
531,8741,9111
532,8356,9411
533,8540,9326
534,8412,9020
535,8054,9161
536,8454,9217
537,8374,9280
538,8871,9694
539,8116,9284
540,8259,9051
541,8362,9114
542,7662,8599
543,8282,9369
544,8304,9291
545,8584,9467
546,8029,8795
547,8098,8874
548,8466,9589
549,8409,9386
550,8356,9081
551,8044,9317
552,8037,8837
553,8443,8817
554,8334,9209
555,7999,9417
556,8467,9559
557,8426,9557
558,8713,9650
559,7983,9120
560,8508,9579
561,8152,9299
562,8310,9239
563,8055,8915
564,8172,8656
565,8031,8865
566,8330,9275
567,8444,9152
568,8844,9741
569,8355,9288
570,8109,9215
571,8844,9673
572,8387,9052
573,8385,9132
574,8308,9478
575,8450,9109
576,8512,9150
577,8346,9365
578,8644,9763
579,8383,9253
580,8560,9390
581,8266,9077
582,8167,8577
583,8378,9318
584,8064,9168
585,8182,9226
586,8294,8899
587,8611,9684
588,7943,8865
589,8734,9397
590,8615,9766
591,8387,9484
592,8362,9429
593,8714,9533
594,8278,8717
595,8217,9438
596,8589,9487
597,8399,9142
598,8680,9498
599,8597,9467
600,8498,9243
601,8498,9389
602,8061,8896
603,8803,9344
604,8757,9270
605,8137,9109
606,8494,9472
607,8200,9211
608,8861,9715
609,8431,9650
610,8551,9086
611,8213,9236
612,8702,9556
613,8491,9440
614,8244,9407
615,9060,9834
616,8414,9293
617,8447,9210
618,8511,9081
619,7928,9002
620,8178,8885
621,8221,9292
622,7951,8661
623,8188,9238
624,8259,8985
625,8212,9305
626,8228,9457
627,8475,9205
628,8370,9205
629,8428,9282
630,7965,8919
631,8381,9262
632,7797,8899
633,8930,9849
634,8089,8821
635,8278,9493
636,8595,9668
637,8547,9230
638,8611,9562
639,7741,8663
640,8422,9026
641,8056,8895
642,8368,9452
643,7870,8597
644,8422,9300
645,8516,9189
646,8916,9483
647,8451,9194
648,7920,8831
649,7988,8980
650,8285,8798
651,8462,9108
652,7920,8726
653,7926,8779
654,8100,8973
655,8205,9000
656,8462,9516
657,8038,9108
658,8178,9074
659,8817,9920
660,8276,9055
661,8094,8873
662,8425,9396
663,8023,9141
664,8358,9171
665,8296,9360
666,8709,9133
667,8007,9038
668,8480,9284
669,8610,9745
670,7910,9004
671,8392,9588
672,7713,8857
673,8204,8970
674,8307,9192
675,7720,8445
676,8244,9272
677,8181,9372
678,8618,9450
679,8696,9306
680,8068,9231
681,8054,8876
682,8314,9043
683,7938,8959
684,7985,8924
685,8242,9069
686,8010,9070
687,8296,9189
688,8136,8810
689,8202,9021
690,8568,9201
691,8405,9430
692,8234,9253
693,8276,9096
694,8126,8854
695,8273,8962
696,8776,9711
697,7981,9298
698,8134,9414
699,8685,9570
700,8778,9415
701,8385,9335
702,8476,9245
