# DigitalOscilloscope capture
# format_version=2
# fs_hz=410256.41025641025
# n_bits=14
# timestamp=2026-08-18T01:14:06
# capture_name=capture_gain_100_repeat_4.csv
# decim_factor=195
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=100.00
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=100.00
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8024,7889
1,8074,7812
2,8245,8282
3,7592,7719
4,8314,8494
5,8191,7885
6,8614,8402
7,8092,7603
8,8004,7697
9,8208,8079
10,8274,7895
11,8166,7729
12,8444,8422
13,8050,7979
14,8833,8633
15,8310,8094
16,8105,8300
17,8290,8394
18,8055,8167
19,8116,7962
20,8066,7541
21,8278,7939
22,8518,8303
23,8153,8359
24,8360,8217
25,8212,8131
26,8423,8076
27,8316,8121
28,9062,8725
29,8510,8374
30,7967,8263
31,8067,8311
32,8574,8356
33,8845,8714
34,7798,7556
35,8562,8231
36,8441,8062
37,8113,8116
38,7974,8023
39,8261,7908
40,8129,8513
41,7977,7983
42,8197,8208
43,8438,7940
44,8119,8164
45,8688,8096
46,8981,8501
47,8301,8612
48,8415,8241
49,7854,7876
50,8365,7998
51,8503,8617
52,8352,7988
53,8244,8188
54,7841,7852
55,8462,8127
56,8395,8400
57,8220,8320
58,7902,7675
59,8684,8941
60,8199,7870
61,8789,8692
62,8428,8256
63,7580,7533
64,8195,8218
65,8526,7735
66,7900,7743
67,8342,8527
68,8162,8066
69,8176,8032
70,8473,7710
71,8270,8275
72,8281,8140
73,8114,8222
74,8178,7897
75,7967,7495
76,8474,8651
77,8550,8043
78,8098,8065
79,8243,7632
80,8402,8532
81,8730,8626
82,7932,8292
83,8435,8283
84,8188,7803
85,8210,8155
86,8227,8131
87,8546,8485
88,8364,8494
89,8248,8302
90,8345,8392
91,8087,8429
92,8278,8528
93,8228,8105
94,8287,7785
95,8295,8090
96,8393,8540
97,8432,8610
98,8224,8117
99,8516,8342
100,8417,8180
101,8694,8162
102,8221,8183
103,8177,8339
104,8143,8066
105,7928,7458
106,8309,8361
107,8705,8492
108,8140,8007
109,8210,7924
110,8065,7944
111,8534,8010
112,8786,8670
113,8374,8369
114,8758,8961
115,9318,8705
