# DigitalOscilloscope capture
# format_version=2
# fs_hz=410256.41025641025
# n_bits=14
# timestamp=2026-08-18T01:20:55
# capture_name=capture_gain_25_gnd_1.csv
# decim_factor=195
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=25.00
# firmware_afe_ch1_offset_pct=49.99
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=25.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8182,7833
1,8244,8016
2,8274,8246
3,8260,8277
4,8220,8178
5,8225,8560
6,8206,8541
7,8231,8010
8,8215,8419
9,8237,8437
10,8285,8267
11,8231,8356
12,8285,8167
13,8196,7832
14,8211,8398
15,8279,7798
16,8259,8206
17,8161,8607
18,8219,8299
19,8280,8150
20,8278,8093
21,8277,8248
22,8191,8259
23,8296,8119
24,8253,8134
25,8273,8171
26,8208,8204
27,8262,8334
28,8230,8221
29,8227,8185
30,8288,7986
31,8256,8641
32,8245,8203
33,8287,8269
34,8260,8181
35,8259,8324
36,8306,7781
37,8244,8264
38,8283,8210
39,8252,8326
40,8245,8263
41,8211,8374
42,8282,7986
43,8235,8090
44,8249,8004
45,8280,8239
46,8213,8114
47,8229,8090
48,8273,8357
49,8290,8370
50,8232,8283
51,8279,8391
52,8232,8134
53,8222,7993
54,8280,7965
55,8302,7884
56,8261,8464
57,8258,7984
58,8302,8200
59,8230,8045
60,8279,8255
61,8285,8318
62,8246,8220
63,8306,8269
64,8230,7829
65,8297,8081
66,8235,8109
67,8243,8030
68,8245,8089
69,8288,8243
70,8275,7851
71,8258,8270
72,8259,8272
73,8226,7962
74,8267,8331
75,8282,8118
76,8268,8521
77,8273,8214
78,8241,8034
79,8263,7844
80,8222,7904
81,8323,8060
82,8246,8326
83,8275,8370
84,8290,8221
85,8228,8419
86,8243,8159
87,8230,8015
88,8280,8244
89,8221,8431
90,8258,8462
91,8214,8315
92,8209,7790
93,8216,8050
94,8246,8353
95,8245,7833
96,8182,8194
97,8220,8244
98,8179,8150
99,8282,8196
100,8242,8047
