# DigitalOscilloscope capture
# format_version=2
# fs_hz=816326.5306122449
# n_bits=14
# timestamp=2026-08-18T01:25:04
# capture_name=capture_gain_25_sine.csv
# decim_factor=98
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=25.00
# firmware_afe_ch1_offset_pct=49.99
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=25.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,3452,3474
1,3559,3464
2,3594,3680
3,3612,3641
4,3598,3574
5,3731,3845
6,3751,3837
7,3777,3708
8,3844,3681
9,3765,3810
10,3756,3990
11,3915,4064
12,3903,3807
13,3885,3673
14,4038,3947
15,3996,3954
16,4117,3944
17,4276,3625
18,4060,4136
19,4116,4315
20,4228,4173
21,4327,4306
22,4196,4491
23,4243,4292
24,4350,4375
25,4379,4266
26,4443,4435
27,4469,4340
28,4409,4236
29,4599,4418
30,4601,4356
31,4501,4374
32,4627,4502
33,4750,4612
34,4748,4721
35,4844,4747
36,4822,4710
37,4885,4807
38,4954,4826
39,5057,4878
40,4985,4996
41,5032,4795
42,5097,5121
43,5052,4828
44,5139,5086
45,5169,5240
46,5286,5169
47,5305,5169
48,5340,5479
49,5447,5124
50,5390,5204
51,5434,5346
52,5536,5332
53,5616,5513
54,5592,5533
55,5664,5572
56,5749,5616
57,5675,5707
58,5761,5760
59,5771,5751
60,5870,5677
61,5884,5747
62,5988,5856
63,5942,5965
64,6038,6025
65,6040,5892
66,6142,6018
67,6078,6377
68,6118,6282
69,6242,6112
70,6162,6277
71,6294,6201
72,6317,6373
73,6329,6399
74,6444,6408
75,6531,6409
76,6528,6504
77,6589,6602
78,6678,6598
79,6703,6867
80,6691,6529
81,6747,6792
82,6845,6977
83,6904,6843
84,6889,6871
85,7012,6979
86,6961,6971
87,7072,7041
88,7048,7379
89,7154,7129
90,7244,7194
91,7286,7214
92,7302,7217
93,7291,7233
94,7300,7092
95,7424,7552
96,7412,7399
97,7478,7411
98,7578,7583
99,7600,7606
100,7682,7544
101,7666,7585
102,7659,7595
103,7736,7759
104,7847,7698
105,7840,7867
106,7818,7675
107,7968,7847
108,8010,7906
109,8056,7846
110,8162,8109
111,8145,8202
112,8178,7937
113,8196,8275
114,8225,7804
115,8324,8107
116,8410,8278
117,8416,8308
118,8393,8410
119,8532,8388
120,8523,8495
121,8536,8497
122,8627,8548
123,8694,8547
124,8729,8668
125,8735,8853
126,8841,8859
127,8827,8622
128,8898,8909
129,8853,8768
130,8913,8958
131,8978,8989
132,9020,8992
133,8996,9206
134,9106,8873
135,9199,9269
136,9231,9493
137,9239,8893
138,9254,9479
139,9268,9356
140,9394,9531
141,9454,9233
142,9496,9381
143,9491,9530
144,9584,9394
145,9640,9443
146,9656,9702
147,9685,9738
148,9758,9959
149,9725,9720
150,9805,9643
151,9876,9915
152,9944,9896
153,9954,9747
154,10013,9885
155,10038,9974
156,10014,10077
157,10091,9999
158,10120,10054
159,10174,9917
160,10174,9793
161,10207,10274
162,10145,9894
163,10273,9827
164,10331,10394
165,10408,10622
166,10404,10266
167,10480,10507
168,10469,10525
169,10590,10444
170,10640,10707
171,10543,10736
172,10598,10691
173,10701,10505
174,10743,10675
175,10723,10865
176,10805,10805
177,10834,10746
178,10842,10741
179,10908,10997
180,10854,10980
181,11017,10999
182,11114,10997
183,11072,11041
184,11106,11195
185,11122,10990
186,11145,11242
187,11125,11172
188,11113,11371
189,11247,11414
190,11271,11219
191,11191,11281
192,11301,11422
193,11486,11458
194,11462,11464
195,11468,11369
196,11480,11467
197,11603,11589
198,11480,11554
199,11516,11547
200,11656,11475
201,11677,11485
202,11622,11532
203,11724,11695
204,11712,11538
205,11713,11527
206,11868,11797
207,11844,11781
208,11887,11908
209,11920,11808
210,11920,11856
211,11906,11911
212,11991,12135
213,11944,11942
214,12001,12037
215,11960,12104
216,12027,12136
217,12008,12247
218,12133,12147
219,12167,12221
220,12117,12331
221,12228,12368
222,12143,12474
223,12235,12135
224,12133,12378
225,12130,12436
226,12219,12181
227,12314,12197
228,12281,12110
229,12360,12407
230,12387,12247
231,12449,12522
232,12449,12306
233,12455,12427
234,12516,12496
235,12474,12387
236,12579,12576
237,12659,12540
238,12534,12613
239,12561,12887
240,12698,12746
241,12650,12581
242,12701,12633
243,12701,12704
244,12763,12843
245,12765,12704
246,12782,12729
247,12716,12804
248,12718,12801
249,12826,13015
250,12885,12773
251,12885,12855
252,12904,12864
253,12890,12942
254,12903,12692
255,12940,13060
256,12850,12955
257,12848,13055
258,12993,13009
259,13006,12985
260,12907,12818
261,13004,12979
262,13064,13156
263,13081,13050
264,13034,13031
265,12948,13138
266,13046,13114
267,13015,13029
268,13085,13045
269,13039,13210
270,13139,13136
271,13106,13040
272,13163,12957
273,13040,13099
274,13127,13159
275,13169,13135
276,13159,13172
277,13122,13046
278,13080,13145
279,13114,13271
280,13173,13149
281,13260,13208
282,13163,13236
283,13178,13107
284,13287,13193
285,13220,13199
286,13253,13335
287,13268,13260
288,13260,13258
289,13271,13302
290,13333,13110
291,13231,13139
292,13334,13328
293,13288,13527
294,13341,13412
295,13282,13439
296,13342,13255
297,13313,13212
298,13274,12828
299,13227,13381
300,13218,13431
301,13222,13207
302,13312,13166
303,13294,13393
304,13178,13040
305,13227,13520
306,13260,13465
307,13241,13340
308,13280,13178
309,13161,13282
310,13192,13431
311,13259,13209
312,13184,13274
313,13267,13223
314,13191,13342
315,13102,13059
316,13252,13104
317,13092,13234
318,13098,13148
319,13159,13029
320,13167,13196
321,13047,13106
322,13080,13085
323,13025,13033
324,13144,13090
325,12981,13037
326,13076,12953
327,12980,13053
328,12933,12993
329,13039,13023
330,12977,12946
331,13005,13057
332,13054,13038
333,13020,12837
334,12997,13016
335,13018,13035
336,12947,12959
337,12921,12979
338,12906,12849
339,12935,12701
340,12869,12851
341,12906,12815
342,12889,12816
343,12822,12954
344,12812,12809
345,12864,12812
346,12720,12668
