# DigitalOscilloscope capture
# format_version=2
# fs_hz=410256.41025641025
# n_bits=14
# timestamp=2026-08-18T00:57:56
# capture_name=capture_gain_50_gnd.csv
# decim_factor=195
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8276,8178
1,8403,8248
2,8296,8326
3,8244,7870
4,8181,7952
5,8264,8112
6,8126,8040
7,8273,7642
8,8345,8087
9,7995,7963
10,8411,8229
11,8110,8323
12,8066,7932
13,8251,8201
14,8396,8232
15,8369,8040
16,8404,8311
17,8324,8086
18,8241,8078
19,8306,7879
20,8200,8043
21,8275,8140
22,8526,8253
23,8484,8246
24,8109,8318
25,8069,7804
26,8266,7924
27,8437,8267
28,8236,8123
29,8455,8145
30,8459,8069
31,8336,8086
32,8200,8056
33,8238,7941
34,8337,8278
35,8532,8282
36,8243,8398
37,8293,7904
38,8108,8032
39,8291,8050
40,8258,7969
41,8322,8155
42,8245,8004
43,8298,8023
44,8340,7970
45,8356,8213
46,8219,7970
47,8341,7934
48,8220,8215
49,8223,7698
50,8391,7854
51,8351,8170
52,8431,8053
53,8236,7996
54,8244,8064
55,8396,8045
56,8350,8132
57,8341,8224
58,8545,8050
59,8291,8026
60,8148,7881
61,8385,8342
62,8419,8274
63,8524,8281
64,8391,7598
65,8207,8413
66,8245,8048
67,8200,8021
68,8334,7854
69,8340,7923
70,8233,8222
71,8406,8174
72,8340,8160
73,8425,8278
74,8201,7666
75,8417,8186
76,8350,7945
77,8521,7986
78,8450,7853
79,8417,7816
80,8419,8006
81,8391,8010
82,8070,8061
83,8382,8219
84,8237,8089
85,8419,8035
86,8345,8134
87,8144,7652
88,8482,8131
89,8338,8295
90,8190,7937
91,8250,8020
92,8421,8157
93,8442,8294
94,7980,7974
95,8207,8176
96,8347,7963
97,8383,8257
98,8344,8010
99,8370,8247
100,8305,7802
101,8331,8014
102,8208,7950
103,8272,8164
104,8304,8190
105,8210,8222
106,8310,7964
107,8333,8268
108,8668,8159
109,8360,8106
110,8236,7839
111,8324,7923
112,8427,8293
113,8250,7982
114,8375,8185
115,8374,8370
116,8484,7898
117,8456,8283
118,8525,7893
119,8317,8213
120,8410,7692
121,8284,8328
122,8362,8038
123,8290,8127
124,8319,8164
125,8300,8004
126,8259,8071
127,8192,8257
128,8448,8169
129,8330,8068
130,8258,7697
131,8313,8112
132,8254,8082
133,8411,8263
134,8343,8260
135,8246,8123
136,8170,8219
137,8253,7959
138,8309,8331
139,8106,7946
140,8387,7997
141,8363,8133
142,8098,8195
143,8290,8161
144,8198,7833
145,8392,8157
146,8503,8232
147,8237,8266
148,8425,8182
149,8285,7893
150,8370,8196
151,8256,7982
152,8376,8212
153,8109,8131
154,8152,8204
155,8442,8197
156,8349,8219
157,8354,8217
158,8216,8174
159,8576,8136
160,8363,8540
161,8147,8012
162,8327,7918
163,8387,8264
164,8276,8036
165,8312,7940
166,8092,8183
167,8435,8461
168,8399,8231
169,8299,8269
170,8386,8276
171,8300,8304
172,8346,8149
173,8222,8092
174,8488,8198
175,8528,7884
176,8255,7844
177,8151,8166
178,8120,7586
179,8394,8122
180,8308,7679
181,8323,7876
182,8326,7858
183,8207,7979
184,8043,7962
185,8343,8181
186,8413,8115
187,8345,8151
188,8110,8091
189,8452,8024
190,8227,7850
191,8473,8158
192,8423,8041
193,8411,8174
194,8303,8263
195,8317,8646
196,8535,8281
197,8287,8095
198,8318,8128
199,8246,8149
200,8139,7946
201,8293,8264
202,8376,8109
203,8249,8112
204,8352,8226
205,8435,8284
206,8360,7960
207,8394,7998
208,8481,8451
209,7919,7849
210,8219,8048
211,8421,7974
212,8221,7785
213,8204,7854
214,8407,8284
215,8334,8008
216,8298,7922
217,8602,8423
218,8362,8177
219,8260,8182
220,8249,8121
221,8350,8190
222,8407,8189
223,8195,8102
224,8049,8098
225,8234,8389
226,8228,7903
227,8297,8048
228,8211,8181
229,8517,8012
230,8574,8362
231,8264,8112
232,8174,8229
233,8311,7942
234,8299,7864
235,8444,8178
236,8253,8221
237,8137,8076
238,8298,8177
239,8392,7662
240,8372,8340
241,8388,7781
242,8285,7900
243,8327,7860
244,8196,8000
245,8350,7978
246,8387,8083
247,8423,8218
248,8275,8105
249,8220,8069
250,8280,7826
251,8284,8132
252,8400,8124
253,7909,8118
254,8288,8158
255,8433,8070
256,8219,7873
257,8211,7969
258,8245,8227
259,8258,7901
260,8460,8234
261,8178,8178
262,8253,7936
263,8290,7996
264,8335,8061
265,8696,8400
266,8286,8033
267,8180,8305
268,8449,8033
269,8368,7850
270,8459,8281
271,8385,8137
272,8371,8140
273,8282,8166
274,8125,8250
275,8062,7673
276,8265,7923
277,7959,7984
278,8220,8113
279,8241,8085
280,8518,7993
281,8239,8066
282,8418,8078
283,8231,8095
284,8268,7886
285,8100,8301
286,8440,8242
287,8320,8025
288,8245,8215
289,8380,8154
290,8364,8145
291,8439,8442
292,8334,7995
293,8281,8241
294,8408,7995
295,8185,8153
296,8092,7972
297,8232,8412
298,8349,7859
299,8286,7993
300,8354,8158
301,8550,8329
302,8403,8136
303,8082,8030
304,8152,8131
305,8450,7943
306,8274,8087
307,8474,8182
308,8251,8328
309,8373,8253
310,8348,8200
311,8363,8272
312,8271,7995
313,8417,8085
314,8410,8169
315,8409,7940
316,8165,8078
317,8440,8395
318,8242,7902
319,8175,8178
320,8541,7972
321,8395,8332
322,8233,7976
323,8364,8002
324,8304,8079
325,8122,7853
326,8284,8099
327,8274,8285
328,8278,8044
329,8473,7942
330,8322,8042
331,8315,8407
332,8274,8248
333,8152,8213
334,8222,8244
335,8249,8137
336,8205,8089
337,8370,8415
338,8244,8093
339,8332,8319
340,8140,7877
341,8286,7928
342,8405,7948
343,8261,7953
344,8323,8073
345,8100,8065
346,8444,8251
347,8197,8183
348,8307,8281
349,8334,8099
350,8227,8134
351,8235,8050
352,8247,8206
353,8309,8017
354,8207,7958
355,8213,7920
356,8350,8138
357,8395,7975
358,8388,8051
359,8390,7997
360,8756,8089
361,8355,8163
362,8643,8075
363,8410,8032
364,8531,8270
365,8485,8185
366,8440,8513
367,8432,8183
368,8109,7937
369,8194,8027
370,8327,8051
371,8369,8059
372,8423,8245
373,8185,8394
374,8353,7918
375,8452,8240
376,8375,7690
377,8245,8040
378,8259,7945
379,8340,7828
380,8611,8121
381,8217,8166
382,8330,8079
383,8272,8137
384,8225,8151
385,8472,8071
386,8288,7768
387,8302,8341
388,8158,8115
389,8266,7760
390,8249,8081
391,8317,7947
392,8456,8041
393,8231,8115
394,8125,7916
395,8265,8144
396,8318,8207
397,8238,7966
398,8398,8059
399,8121,8220
400,8060,7970
401,8105,8123
402,8525,8089
403,8210,8211
404,8497,8233
405,8532,8181
406,8231,8046
407,8523,8215
408,8548,8261
409,8189,8067
410,8246,8121
411,8333,7940
412,8388,8078
413,8249,8232
414,8445,8076
415,8376,8380
416,8401,8192
417,8410,7789
418,8391,8395
419,8261,8238
420,8324,8247
421,8384,8131
422,8276,8157
423,8214,7929
424,8630,8237
425,8381,8287
426,8147,8094
427,8545,8192
428,8346,8265
429,8270,7797
430,8315,8123
431,8362,8125
432,8437,8469
433,8315,7875
434,8355,8360
435,8457,8216
436,8288,8115
437,8240,7898
438,8520,8203
439,8325,7799
440,8129,7777
441,8180,7974
442,8191,8040
443,8233,8102
444,8365,8326
445,8143,8146
446,8179,7907
447,8471,7737
448,8178,8019
449,8312,8219
450,8264,7860
451,8272,8410
452,8278,8164
453,8114,8108
454,8100,8124
455,8226,8345
456,8313,7990
457,8353,8275
458,8224,8034
459,8429,8244
460,8273,8120
461,8519,7851
462,8211,7946
463,8458,8138
464,8254,8156
465,8238,8364
466,8139,8113
467,8583,8166
468,8300,8027
469,8251,8238
470,8415,8165
471,8334,7930
472,8185,8317
473,8271,8010
474,8212,8154
475,8396,7835
476,8303,8036
477,8347,7729
478,8446,8262
479,8362,8224
480,8189,8075
481,8233,8082
482,8243,8258
483,8321,7774
484,8187,7942
485,8336,8002
486,8234,7961
487,8111,8137
488,8115,7834
489,8384,8100
490,8533,8066
491,8232,7916
492,8457,7795
493,8222,7823
494,8442,8211
495,8404,8314
496,8360,8297
497,8368,8182
498,8108,7771
499,8378,8263
500,8258,7877
501,8520,8307
502,8318,8072
503,8408,7998
504,8503,8258
505,8288,8164
506,8311,7569
507,8311,8158
508,8310,8083
509,8511,8155
510,8401,7983
511,8185,7980
512,8140,8051
513,8236,8078
514,8389,8218
515,8488,8256
516,8287,8142
517,8287,8204
518,8271,7949
519,8261,8288
520,8454,8196
521,8277,8081
522,8222,7988
523,8214,8283
524,8465,8121
525,8167,8245
526,8096,7857
527,8332,8225
528,8342,7936
529,8300,7986
530,8059,7995
531,8436,8193
532,8317,7577
533,8239,7709
534,8370,8117
535,8234,8034
536,8381,8235
537,8249,7962
538,8281,8275
539,8567,8049
540,8417,8139
541,8309,8261
542,8410,8115
543,8247,7877
544,8228,8036
545,8347,8079
546,8245,8215
547,8423,8455
548,8196,8218
549,8349,8326
550,8339,8090
551,8213,8061
552,8472,8163
553,8201,8082
554,8408,8145
555,8209,8351
556,8202,7931
557,8264,8163
558,8202,8134
559,8595,8254
560,8408,8175
561,8283,7972
562,8300,8306
563,8333,8206
564,8272,7834
565,8354,8370
566,8389,8478
567,8398,8260
568,8266,8399
569,8217,8122
570,8446,8067
571,8371,8095
572,8273,8132
573,8207,7950
574,8153,8172
575,8341,8278
576,8436,8088
577,8355,8203
578,8168,8045
579,8257,7787
580,8258,8390
581,8279,8093
582,8256,8122
583,8225,8239
584,8272,8084
585,7883,8398
586,8559,8145
587,8322,7822
588,8462,8214
589,8546,8103
590,8285,8189
591,8418,8513
592,8316,8116
593,8409,8394
594,8398,7767
595,8286,8305
596,8304,8237
597,8373,8282
598,8201,7870
599,8265,8076
600,8336,8116
601,8285,8211
602,8378,8162
603,8243,8091
604,8255,8086
605,8283,8153
606,8159,8403
607,8271,7973
608,8315,8040
609,8287,8063
610,8411,8345
611,8286,8261
612,8314,8022
613,8474,8089
614,8144,8117
615,8463,7960
616,8307,8006
617,8228,8183
618,8218,8131
619,8208,8265
620,8281,8089
621,8142,8183
622,8208,8161
623,8358,7699
624,8367,7846
625,8227,7965
626,8409,7656
627,8381,8132
628,8458,8023
629,8244,8069
630,8278,8038
631,8353,7671
632,8206,8018
633,8168,8066
634,8271,8528
635,8442,8235
636,8217,7812
637,8526,8128
638,8378,8099
639,8306,8291
640,8297,8429
641,8131,8136
642,8260,7812
643,8435,8189
644,8225,7976
645,8058,7830
646,8398,7932
647,8422,8250
648,8355,8103
649,8641,8288
650,8267,8086
651,8292,8087
652,8393,8461
653,8217,8188
654,8236,8078
655,8290,7773
656,8181,8024
657,8387,8013
658,8457,8265
659,8336,7881
660,8355,8172
661,8160,7998
662,8290,8139
663,8324,8273
664,8447,8201
665,8341,7651
666,8375,8141
667,8082,7661
668,8341,7810
669,8243,8082
670,8244,8076
671,8216,8005
672,8355,8401
673,8209,8213
674,8340,7861
675,8095,8058
676,8313,8083
677,8441,8317
678,8497,8131
679,8255,7845
680,8320,7598
681,8298,8202
682,8330,7962
683,8440,8091
684,8177,8009
685,8344,8271
686,8460,7997
687,8343,8542
688,8348,8346
689,8280,7668
690,8569,8397
691,7974,7742
692,8115,8147
693,8248,7851
694,8405,8200
695,8333,8183
696,8204,7897
697,8398,8331
698,8367,8118
699,8417,8267
700,8176,8292
701,8234,8207
702,8331,8114
703,8180,8086
704,8286,8062
705,8181,8200
706,8300,8240
707,8328,8287
708,8282,8095
709,8452,8418
710,8192,7979
711,8363,8089
712,8469,8105
713,8436,8210
714,8364,8192
715,8331,8237
716,8450,8309
717,8258,8038
718,8301,8167
719,8418,8116
720,8119,8199
721,8316,8038
722,8386,7721
723,8178,8111
