# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-19T20:16:06
# capture_name=correct_frame.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=2
# adc_format=Offset Binary
index,ch1_raw,ch2_raw
0,13019,12846
1,13015,12906
2,12945,12871
3,12986,12930
4,13047,12935
5,13036,12925
6,12965,13036
7,12994,12996
8,12967,12990
9,13055,13122
10,12987,13045
11,13251,13142
12,13276,13115
13,13239,13164
14,13287,13181
15,13054,13043
16,13297,13186
17,13215,13273
18,13310,13255
19,13215,13272
20,13252,13219
21,13222,13289
22,13216,13246
23,13205,13278
24,13234,13240
25,13274,13243
26,13305,13291
27,13520,13356
28,13456,13405
29,13245,13305
30,13479,13358
31,13307,13335
32,13490,13436
33,13506,13477
34,13479,13364
35,13493,13422
36,13463,13520
37,13455,13461
38,13539,13561
39,13493,13566
40,13766,13617
41,13726,13660
42,13770,13622
43,13705,13639
44,13537,13568
45,13723,13659
46,13747,13679
47,13760,13659
48,13738,13677
49,13737,13664
50,13798,13707
51,13822,13705
52,13715,13773
53,13812,13808
54,13967,13898
55,14022,13893
56,13816,13841
57,14043,13883
58,13804,13808
59,14061,13956
60,14036,13869
61,13803,13847
62,13998,13928
63,14026,13865
64,13963,14022
65,14043,14066
66,13964,13977
67,14005,14068
68,14021,13988
69,14281,14128
70,14006,14083
71,14257,14181
72,14072,14090
73,14235,14173
74,14075,14101
75,14240,14132
76,14249,14189
77,14209,14107
78,14244,14123
79,14243,14186
80,14280,14122
81,14244,14176
82,14263,14183
83,14215,14146
84,14329,14214
85,14316,14187
86,14254,14304
87,14230,14234
88,14239,14228
89,14482,14400
90,14313,14354
91,14466,14366
92,14313,14354
93,14473,14367
94,14535,14400
95,14567,14397
96,14478,14413
97,14567,14466
98,14550,14379
99,14573,14467
100,14508,14576
101,14495,14502
102,14535,14541
103,14579,14474
104,14474,14532
105,14589,14610
106,14509,14526
107,14517,14577
108,14582,14528
109,14578,14614
110,14740,14620
111,14720,14611
112,14512,14524
113,14775,14697
114,14742,14682
115,14811,14702
116,14820,14734
117,14752,14779
118,14723,14789
119,14761,14827
120,14745,14802
121,14744,14811
122,14798,14761
123,14765,14829
124,14814,14763
125,14811,14767
126,14727,14746
127,14840,14928
128,14796,14753
129,15066,14885
130,14728,14802
131,15027,14960
132,14819,14834
133,15006,15067
134,15003,14883
135,15022,15085
136,15020,14953
137,15093,14989
138,15101,15003
139,15000,15014
140,15081,14956
141,15054,15035
142,15037,14989
143,14987,15041
144,15050,15065
145,15004,15071
146,15007,15044
147,15061,15015
148,14999,15064
149,15073,15106
150,15078,15104
151,15301,15190
152,15068,15029
153,15318,15214
154,15240,15124
155,15316,15163
156,15093,15132
157,15331,15234
158,15245,15172
159,15352,15252
160,15232,15168
161,15281,15346
162,15326,15160
163,15333,15385
164,15268,15164
165,15279,15346
166,15285,15200
167,15329,15222
168,15236,15314
169,15234,15310
170,15346,15258
171,15316,15150
172,15333,15353
173,15266,15274
174,15491,15430
175,15282,15368
176,15515,15393
177,15568,15406
178,15513,15438
179,15556,15408
180,15282,15293
181,15271,15337
182,15494,15367
183,15560,15393
184,15510,15441
185,15524,15415
186,15537,15482
187,15533,15478
188,15512,15561
189,15521,15465
190,15495,15516
191,15507,15525
192,15588,15508
193,15522,15587
194,15509,15578
195,15540,15633
196,15532,15606
197,15490,15557
198,15520,15393
199,15530,15589
200,15543,15474
201,15522,15602
202,15558,15582
203,15548,15551
204,15548,15609
205,15829,15664
206,15562,15512
207,15592,15628
208,15567,15548
209,15592,15625
210,15544,15599
211,15523,15544
212,15551,15618
213,15489,15505
214,15819,15661
215,15551,15627
216,15754,15633
217,15821,15659
218,15593,15616
219,15821,15658
220,15589,15628
221,15832,15656
222,15820,15662
223,15759,15686
224,15759,15689
225,15841,15756
226,15820,15653
227,15860,15768
228,15603,15634
229,15855,15756
230,15851,15750
231,15848,15766
232,15797,15662
233,15860,15773
234,15813,15785
235,15796,15857
236,15774,15830
237,15809,15810
238,15847,15739
239,15830,15840
240,15849,15751
241,15841,15871
242,15868,15758
243,15821,15781
244,15765,15810
245,15807,15856
246,15849,15898
247,15829,15786
248,15775,15832
249,15818,15781
250,15805,15861
251,15824,15794
252,15851,15878
253,15823,15786
254,15775,15785
255,15752,15771
256,15753,15813
257,15783,15852
258,15783,15790
259,15799,15805
260,16011,15886
261,15825,15777
262,15785,15847
263,15868,15902
264,16019,15945
265,16028,15962
266,15799,15842
267,15830,15789
268,16089,15935
269,16064,15956
270,16083,15973
271,15869,15894
272,16006,15868
273,16004,15949
274,16037,15931
275,16109,16021
276,16014,15905
277,16093,15935
278,16030,15906
279,16003,15940
280,15861,15882
281,16065,15955
282,16027,15949
283,16049,16005
284,16080,15912
285,16004,15878
286,16043,15975
287,16066,15957
288,16108,15978
289,16023,15911
290,16034,15934
291,16025,15943
292,16070,15917
293,16077,15924
294,16007,15875
295,16109,16022
296,16043,15935
297,16069,15910
298,15859,15879
299,16016,15966
300,16097,16018
301,16006,16026
302,16015,16078
303,16042,15932
304,16091,15926
305,16084,15922
306,16050,15981
307,16097,15988
308,16116,16001
309,16021,16077
310,16002,16065
311,16094,15972
312,16092,15965
313,15807,15884
314,16084,15924
315,16083,15949
316,16122,16025
317,16035,15984
318,16125,16017
319,15842,15854
320,16014,16031
321,16014,15958
322,16030,15942
323,16090,15932
324,16072,15912
325,16042,15978
326,15857,15879
327,16086,15916
328,16023,15937
329,16011,15947
330,15852,15900
331,16011,15946
332,16022,15938
333,15847,15887
334,16002,15882
335,15780,15869
336,15860,15890
337,16064,15966
338,16005,15943
339,16009,15941
340,16012,15955
341,15798,15806
342,16055,16003
343,16111,16029
344,16066,15967
345,15822,15845
346,16082,15953
347,15855,15938
348,16025,15967
349,15791,15784
350,15867,15874
351,15792,15670
352,15793,15796
353,15836,15794
354,15842,15884
355,16000,15946
356,15850,15868
357,15784,15804
358,15744,15762
359,15848,15766
360,15750,15838
361,15862,15809
362,15769,15782
363,15775,15787
364,15771,15776
365,15801,15862
366,15772,15832
367,15867,15735
368,15834,15798
369,15752,15823
370,15825,15795
371,15869,15760
372,15765,15833
373,15813,15791
374,15744,15758
375,15830,15678
376,15801,15714
377,15839,15723
378,15846,15739
379,15854,15749
380,15785,15671
381,15783,15678
382,15814,15710
383,15761,15836
384,15821,15675
385,15871,15816
386,15609,15600
387,15796,15739
388,15826,15707
389,15799,15731
390,15781,15677
391,15608,15605
392,15772,15656
393,15761,15691
394,15546,15626
395,15563,15568
396,15587,15611
397,15529,15599
398,15538,15589
399,15498,15525
400,15537,15590
401,15615,15508
402,15534,15619
403,15554,15531
404,15489,15561
405,15580,15541
406,15526,15421
407,15572,15585
408,15501,15442
409,15749,15693
410,15497,15485
411,15526,15605
412,15593,15553
413,15601,15482
414,15515,15385
415,15566,15443
416,15568,15454
417,15608,15496
418,15564,15409
419,15525,15459
420,15510,15436
421,15491,15568
422,15544,15483
423,15496,15448
424,15549,15475
425,15276,15332
426,15524,15466
427,15283,15362
428,15271,15335
429,15277,15350
430,15282,15353
431,15499,15403
432,15576,15414
433,15330,15359
434,15328,15353
435,15317,15330
436,15296,15276
437,15284,15361
438,15298,15288
439,15577,15413
440,15241,15301
441,15252,15268
442,15250,15138
443,15244,15262
444,15263,15266
445,15284,15162
446,15315,15284
447,15322,15202
448,15316,15156
449,15309,15148
450,15283,15217
451,15300,15145
452,15325,15145
453,15100,15169
454,15318,15157
455,15258,15196
456,15090,15109
457,15310,15191
458,15023,15088
459,15083,14983
460,15015,15075
461,15232,15127
462,14992,14998
463,15338,15228
464,15082,15125
465,15299,15142
466,15011,15081
467,15065,15081
468,15049,15060
469,15010,15079
470,15063,14910
471,15063,14952
472,15066,14952
473,15033,14990
474,15004,15061
475,15032,14981
476,15009,14948
477,14995,14939
478,15045,14918
479,15042,14893
480,15046,14887
481,15002,14939
482,14742,14803
483,14832,14858
484,15007,14887
485,14984,14916
486,14999,14926
487,14818,14717
488,14782,14866
489,14804,14774
490,14735,14806
491,14735,14748
492,14763,14694
493,14729,14802
494,14563,14597
495,14574,14592
496,14728,14685
497,14740,14669
498,14498,14497
499,14571,14595
500,14520,14601
501,14757,14633
502,14802,14646
503,14493,14537
504,14551,14504
505,14473,14494
506,14528,14559
507,14583,14544
508,14513,14466
509,14534,14547
510,14566,14486
511,14545,14502
512,14582,14486
513,14495,14496
514,14475,14541
515,14512,14380
516,14483,14353
517,14563,14432
518,14530,14398
519,14267,14363
520,14509,14399
521,14494,14415
522,14490,14370
523,14549,14388
524,14296,14267
525,14465,14358
526,14217,14237
527,14246,14209
528,14248,14132
529,14223,14224
530,14259,14328
531,14261,14327
532,14225,14294
533,14254,14181
534,14230,14301
535,14277,14130
536,14253,14207
537,13992,14010
538,14013,14012
539,13961,14022
540,13966,13971
541,14298,14137
542,14026,14046
543,14055,14098
544,13995,13884
545,14054,13931
546,13958,13972
547,14044,14011
548,13960,14025
549,14017,14022
550,13962,13892
551,13963,13831
552,14020,13862
553,13816,13842
554,13797,13829
555,14059,13970
556,13772,13785
557,13955,13901
558,13699,13715
559,13771,13779
560,13707,13732
561,13782,13804
562,13696,13782
563,13760,13737
564,13765,13616
565,13800,13720
566,13527,13489
567,13733,13675
568,13753,13674
569,13559,13586
570,13775,13614
571,13535,13548
572,13450,13532
573,13503,13578
574,13533,13495
575,13530,13477
576,13507,13476
577,13514,13353
578,13449,13382
579,13450,13394
580,13446,13337
581,13458,13382
582,13454,13404
583,13466,13384
584,13238,13305
585,13470,13346
586,13214,13270
587,13278,13303
588,13192,13273
589,13267,13159
590,13200,13088
591,13198,13272
592,13237,13195
593,13307,13204
594,13203,13274
595,13249,13098
596,13188,13129
597,13188,13149
598,13033,12940
599,13010,12965
600,12976,12902
601,12929,12936
602,13026,12984
603,12960,13041
604,12949,13021
605,13034,12946
606,12952,12854
607,12948,12895
608,12933,12806
609,13055,12996
610,12965,12909
611,12934,12992
612,12945,12869
613,12749,12718
614,12733,12733
615,12736,12751
616,12740,12726
617,12719,12771
618,12756,12778
619,12778,12686
620,12735,12663
621,12758,12598
622,12735,12685
623,12735,12664
624,12773,12668
625,12471,12479
626,12524,12550
627,12466,12517
628,12503,12475
629,12470,12476
630,12462,12540
631,12517,12416
632,12478,12424
633,12450,12389
634,12522,12411
635,12508,12385
636,12465,12388
637,12482,12347
638,12428,12362
639,12223,12281
640,12428,12307
641,12286,12370
642,12177,12203
643,12210,12259
644,12239,12210
645,12249,12205
646,12273,12178
647,12174,12232
648,12161,12233
649,12225,12126
650,12025,12057
651,11933,11929
652,12010,12055
653,11965,12031
654,12027,11970
655,11930,11980
656,11921,11930
657,11932,11983
658,11911,11977
659,11944,12003
660,11928,11854
661,11979,11809
662,11955,11888
663,11922,11840
664,11708,11774
665,11697,11767
666,11671,11734
667,11716,11689
668,11690,11685
669,11774,11675
670,11657,11677
671,11648,11603
672,11670,11594
673,11722,11568
674,11678,11563
675,11725,11552
676,11707,11662
677,11431,11489
678,11440,11520
679,11467,11313
680,11417,11483
681,11452,11394
682,11498,11416
683,11394,11277
684,11396,11344
685,11419,11302
686,11395,11330
687,11490,11397
688,11201,11179
689,11201,11179
690,11193,11065
691,11239,11123
692,11236,11138
693,11153,11100
694,11251,11157
695,11257,11144
696,11249,11278
697,11255,11207
698,11196,11147
699,10962,10976
700,11170,11111
701,10978,11022
702,10896,10971
703,10920,10984
704,10938,10877
705,10974,10807
706,10884,10947
707,10939,10888
708,10907,10836
709,10892,10837
710,10963,10805
711,10742,10780
712,10681,10740
713,10734,10625
714,10725,10760
715,10651,10718
716,10742,10706
717,10682,10614
