# DigitalOscilloscope capture
# format_version=2
# fs_hz=4000000.0
# n_bits=14
# timestamp=2026-08-15T23:17:21
# capture_name=debug_1:1_offset.csv
# decim_factor=20
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=normal
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=45.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=45.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,2850,3041
1,3010,3056
2,3125,3281
3,3096,3168
4,3276,3187
5,3128,3240
6,3175,3274
7,3130,2937
8,3245,3289
9,3105,2723
10,3231,3019
11,2938,3162
12,2968,3043
13,2815,3058
14,2890,3131
15,2720,2781
16,2845,3160
17,2854,3026
18,2905,2958
19,3161,3159
20,2812,3401
21,2975,3270
22,3022,3209
23,3069,3063
24,3094,2992
25,3053,3372
26,2949,3237
27,2711,3278
28,3114,3414
29,2728,3405
30,2913,3179
31,2883,2951
32,2861,3398
33,2878,3382
34,2598,2994
35,2942,3141
36,2941,3208
37,3013,2988
38,2681,3116
39,3013,3293
40,3018,3119
41,2962,3315
42,3112,3250
43,2806,3083
44,2994,2971
45,2982,3426
46,2888,3108
47,2813,3086
48,2680,2794
49,3157,3290
50,2906,3168
51,2782,3198
52,3146,2837
53,2934,3183
54,2943,3287
55,2945,2880
56,2837,3161
57,3073,3177
58,2975,2865
59,3407,3267
60,2839,2952
61,3222,3197
62,3215,3283
63,3015,2883
64,3003,2879
65,3142,3068
66,3073,3410
67,3006,3181
68,3156,3135
69,2867,2960
70,3129,2892
71,2867,2924
72,2857,3206
73,2726,3151
74,2721,3165
75,3301,3096
76,3084,3039
77,3022,3204
78,3054,2656
79,3128,3092
80,2982,2948
81,2953,2724
82,3175,3318
83,3137,3163
84,2873,2993
85,2917,3294
86,2940,3023
87,3081,2906
88,2751,3067
89,2834,3312
90,3286,2777
91,2767,3219
92,2920,3083
93,2709,3218
94,3073,3184
95,3025,2813
96,3002,3129
97,2852,2881
98,3170,2875
99,3172,3107
100,2955,3163
101,2878,2663
102,2752,2865
103,3033,2829
104,2846,3065
105,2919,3048
106,3028,3260
107,2805,3200
108,3059,3155
109,2902,2989
110,3016,3076
111,2954,3131
112,3194,3056
113,3185,3160
114,3188,2794
115,3185,2989
116,3324,3315
117,2974,3040
118,3068,2992
119,2922,3048
120,2923,3037
121,2991,3044
122,2999,3215
123,2964,2820
124,2951,2882
125,2841,3089
126,2828,3084
127,3321,2854
128,3036,2931
129,3139,3041
130,2950,2940
131,3055,2915
132,3133,2929
133,2958,2981
134,3014,3001
135,2916,3135
136,3276,3112
137,2458,3062
138,2970,2875
139,2878,2938
140,2572,3052
141,2973,3064
142,2607,2860
143,2812,2741
144,3173,3085
145,2855,2795
146,3061,3055
147,3143,2933
148,2692,2862
149,2982,3040
150,2731,3031
151,2807,3150
152,2684,2906
153,2713,2855
154,2738,3127
155,2828,3067
156,2743,2982
157,2883,2995
158,2929,3013
159,2583,3210
160,3203,3041
161,3110,3002
162,2890,3080
163,2924,3012
164,3171,3267
165,2715,2876
166,2852,2975
167,3145,3062
168,2764,3111
169,2990,2758
170,2644,3264
171,3034,2898
172,2736,3058
173,2687,2887
174,3197,2958
175,2860,2985
176,2911,2986
177,2960,3074
178,2842,3226
179,3006,3108
180,2817,2820
181,2806,2877
182,2739,2750
183,2859,2984
184,3086,2863
185,2842,2879
186,2621,3018
187,2873,3061
188,2770,3045
189,2906,2987
190,2830,3120
191,2881,3119
192,2778,3083
193,2979,2952
194,2950,3213
195,3120,3026
196,2930,3076
197,2876,2863
198,2881,3102
199,3060,3094
200,3113,3020
201,2697,2965
202,3083,3007
203,2907,2882
204,2897,3100
205,3016,2857
206,2765,2988
207,2969,3064
208,2602,3055
209,3137,3093
210,2913,3084
211,3070,2657
212,2974,3143
213,3067,3421
214,2936,2897
215,3045,2819
216,2922,2985
217,3155,3048
218,3052,3225
219,2850,3060
220,2869,2908
