# DigitalOscilloscope capture
# format_version=2
# fs_hz=4000000.0
# n_bits=14
# timestamp=2026-08-23T16:12:25
# capture_name=debug_compensation_after_c_changes.csv
# decim_factor=20
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=0.0002048
# requested_seconds_per_div=0.0002
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=1
# firmware_afe_ch1_gain_pct=0.00
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=0.00
# firmware_afe_ch2_offset_pct=50.01
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=0.0000
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=3.48838972897e-05
# calibration_offset_v_ch1=-0.00018202478925
# calibrated_volts_per_div_ch1=0.0714422216493
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=0.0000
# afe_offset_pct_ch2=50.0100
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=3.48838972897e-05
# calibration_offset_v_ch2=-2.6739495195e-05
# calibrated_volts_per_div_ch2=0.0714422216493
# displayed_volts_per_div_ch2=raw_adc_codes
index,ch1_raw,ch2_raw
0,1881,1942
1,1752,1701
2,1904,2014
3,1813,1831
4,1872,1846
5,1739,1875
6,1841,1860
7,1900,1796
8,1824,1857
9,1951,1865
10,1646,1928
11,1852,1568
12,1826,1768
13,1836,1865
14,1817,1827
15,1930,1894
16,1999,1924
17,1988,1995
18,1842,1511
19,1974,1984
20,1851,1592
21,1922,1789
22,1935,1789
23,1993,1931
24,1895,1957
25,1727,1986
26,1801,1815
27,1690,1898
28,1891,1966
29,1863,1752
30,1816,1828
31,1771,1845
32,2072,1956
33,1817,1880
34,1835,1792
35,2014,1764
36,1923,1870
37,2101,1951
38,1861,1846
39,1876,1802
40,1828,1831
41,1852,1895
42,1845,1808
43,1723,1888
44,1719,1721
45,1712,1792
46,1921,2134
47,1701,1896
48,1876,2055
49,1790,1860
50,1906,1998
51,1822,1729
52,2030,1884
53,1991,1816
54,2096,1861
55,1790,1940
56,2008,1760
57,1991,2082
58,1956,1758
59,1896,2044
60,1876,1847
61,1852,1719
62,1922,2095
63,1911,1813
64,1971,1844
65,2016,1885
66,2023,1912
67,2051,2294
68,1780,1904
69,2074,2031
70,2109,1924
71,2032,1861
72,1977,1798
73,1819,1790
74,2060,1993
75,1761,1987
76,1986,1790
77,1613,1687
78,1872,1889
79,1922,1914
80,1911,1862
81,1906,1741
82,1847,2020
83,2016,1840
84,1826,1711
85,1957,1991
86,2020,1456
87,2020,1803
88,1778,1859
89,1996,1832
90,1880,1858
91,2008,1739
92,1874,1912
93,1718,1886
94,1661,1859
95,2014,1842
96,2001,1731
97,1928,1839
98,1933,1880
99,2075,1835
100,1918,1976
101,1992,1869
102,1942,1761
103,2014,1937
104,2372,1991
105,1922,1992
106,1857,1755
107,1877,1766
108,1924,1782
109,1852,1808
110,1999,1913
111,1988,1711
112,1837,1735
113,1977,1990
114,1928,1867
115,2164,1903
116,1988,1892
117,1978,1825
118,2014,1904
119,1794,1868
120,2138,1875
121,1654,1818
122,1908,1845
123,1725,2004
124,1808,1898
125,2156,1872
126,1850,1862
127,2006,1852
128,1668,2121
129,1984,1898
130,1768,1788
131,1788,1857
132,1978,1897
133,2027,2120
134,2160,2052
135,1906,1910
136,2035,1798
137,1927,1811
138,2127,1812
139,1970,1728
140,1979,1822
141,1794,1882
142,2055,1878
143,2015,1590
144,1931,1813
145,1966,1857
146,1924,1837
147,1957,1886
148,1986,1867
149,1800,2009
150,2334,1542
151,2021,1794
152,2014,1841
153,1816,1899
154,2092,1873
155,2036,1923
156,1826,1836
157,1712,1846
158,1925,1533
159,1930,1885
160,1711,1888
161,1864,1637
162,1750,1974
163,2035,1915
164,1869,1845
165,1932,1866
166,1973,2019
167,1952,1774
168,2108,1930
169,1934,1829
170,2084,1896
171,2045,1753
172,1885,1874
173,1960,1840
174,1886,1759
175,1969,1904
176,1922,2071
177,2066,1849
178,2043,1888
179,2064,1945
180,1926,1744
181,2013,1930
182,2060,1966
183,2131,2069
184,1997,1847
185,2009,1942
186,1994,1814
187,1950,1707
188,1932,1885
189,1830,1875
190,1986,1889
191,1909,1898
192,1872,1897
193,1785,1878
194,1906,1773
195,1987,1586
196,2027,1535
197,1981,1830
198,1878,1915
199,1962,1910
200,1928,1852
201,2053,1872
