# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-16T03:53:05
# capture_name=debug_overshoot.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=48.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=48.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,4753,11821
1,4785,11991
2,4755,11806
3,4710,11874
4,4816,11799
5,4768,11858
6,4767,11762
7,4796,12051
8,4805,11719
9,4756,11891
10,4875,11797
11,4641,11851
12,4869,11998
13,4807,11836
14,4759,11932
15,4743,11581
16,4724,11855
17,4858,11821
18,4841,11971
19,4753,11711
20,4845,11905
21,4757,11741
22,4875,11795
23,4762,11836
24,4746,11879
25,4874,11861
26,4740,11854
27,4850,11868
28,4747,11721
29,4783,11817
30,4808,11770
31,4744,11801
32,4788,11880
33,4864,11874
34,4729,11927
35,4738,11742
36,4879,12003
37,4743,11668
38,4887,11829
39,4767,11788
40,4887,12031
41,4755,11973
42,4738,11880
43,4856,11870
44,4872,11679
45,4774,11849
46,4930,11993
47,4735,11795
48,4744,11729
49,4864,11833
50,4815,11941
51,4756,11847
52,4857,12003
53,4779,11693
54,4776,12126
55,4818,11746
56,4790,12022
57,4779,11721
58,4796,11933
59,4718,11870
60,4821,11758
61,4889,11892
62,4801,11837
63,4739,11818
64,4855,11795
65,4768,11780
66,4890,11777
67,4710,11627
68,4805,11812
69,4761,11782
70,4862,11886
71,4803,11815
72,4874,11818
73,4833,12029
74,4825,11707
75,4867,11799
76,4855,11915
77,4738,11702
78,4800,11826
79,4875,11948
80,4844,11857
81,4656,11735
82,4859,11940
83,4774,11874
84,4786,11815
85,4779,12004
86,4780,11772
87,4901,11833
88,4708,11886
89,4737,11739
90,4933,11780
91,4815,11910
92,4830,11832
93,4813,11855
94,4784,11862
95,4828,11805
96,4723,11716
97,4870,11951
98,4861,11668
99,4740,11755
100,4714,11817
101,4791,11830
102,4809,11831
103,4824,11781
104,4850,11918
105,4793,11809
106,4765,11774
107,4879,11838
108,4788,11804
109,4812,11866
110,4770,11965
111,4757,11736
112,4940,11987
113,4695,11742
114,4755,11824
115,4823,11808
116,4754,11934
117,4861,11824
118,4834,11865
119,4857,11897
120,4722,11719
121,4803,11798
122,4853,11955
123,4731,11814
124,4830,11827
125,4837,11874
126,4781,12010
127,4697,11929
128,4894,11955
129,4759,11678
130,4785,11813
131,4739,11809
132,4815,11952
133,4855,11858
134,4753,11821
135,4802,11822
136,4766,11732
137,4650,11866
138,4820,12010
139,4845,11793
140,4783,11688
141,4803,11832
142,4765,11977
143,4713,11773
144,4928,11990
145,4630,11781
146,4726,11946
147,4828,11778
148,4825,11921
149,4823,11896
150,4663,11744
151,4759,11740
152,4793,12019
153,4741,11707
154,4839,11941
155,4812,11666
156,4719,11889
157,4732,11827
158,4729,11854
159,4762,11868
160,4666,11838
161,4740,11858
162,4751,11824
163,4778,11796
164,4804,11795
165,4667,11823
166,4810,11828
167,4674,11822
168,4660,11827
169,4758,11834
170,4831,11811
171,4774,11839
172,4656,11889
173,4761,11852
174,4802,11891
175,4802,11874
176,4746,11819
177,4753,11931
178,4773,11751
179,4727,11824
180,4801,11983
