# DigitalOscilloscope capture
# format_version=2
# fs_hz=1600000.0
# n_bits=14
# timestamp=2026-08-30T16:10:46+00:00
# capture_name=decimation_100kHz_D50_06.csv
# decim_factor=50
# requested_decim_factor=50
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=0.000512
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=745
# firmware_status_timestamp=2026-08-30T16:10:46+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=50
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0321
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=decimation
# series_id=decimation_100kHz_D50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=100000
# generator_amplitude_vpk=0.12
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# decimation_study_point=100 kHz, D = 50
# decimation_study_expected_factor=50
# effective_sample_rate_hz=1600000
# expected_samples_per_period=16
# series_total=10
# repetition_index=6
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,2430,2513
1,3960,4383
2,6319,6713
3,9454,8800
4,11745,11645
5,13741,13563
6,14702,14678
7,14850,14553
8,13433,13722
9,11577,11980
10,9423,9193
11,6446,6718
12,4442,4169
13,2565,2451
14,2140,1366
15,1708,2439
16,3362,3666
17,5590,5511
18,8013,8186
19,10538,10968
20,13108,12600
21,14469,14061
22,14896,14965
23,14133,14241
24,12719,12437
25,10543,10076
26,7665,7712
27,5389,4729
28,3183,2750
29,1923,1981
30,2152,1477
31,2960,2274
32,4798,4941
33,7203,6871
34,9836,9804
35,12308,12222
36,13986,13753
37,14563,15328
38,14691,14331
39,13629,12827
40,11265,11323
41,9031,8666
42,6047,6000
43,3807,3489
44,2088,2618
45,1604,1660
46,2727,1715
47,4134,3499
48,6598,5843
49,8274,9635
50,11542,11010
51,13639,13130
52,14528,14814
53,14474,15298
54,14067,13872
55,12369,11841
56,9651,9539
57,7338,6548
58,4625,4697
59,2809,2756
60,1874,2153
61,1987,1898
62,3367,3041
63,5049,5197
64,7786,7665
65,10470,10248
66,12702,12994
67,14283,14415
68,14898,14833
69,14721,13904
70,12965,12789
71,10771,10327
72,7870,8167
73,5328,5668
74,3490,3501
75,2100,1890
76,2120,1493
77,2656,2544
78,4334,4548
79,6498,6959
80,9374,9478
81,11754,11953
82,13697,13867
83,14809,14795
84,14661,14701
85,13588,13663
86,11615,11390
87,9106,9107
88,6419,6568
89,4617,3599
90,2638,2305
91,1978,1246
92,2105,2227
93,3415,3592
94,5816,5776
95,8484,8213
96,10939,11144
97,13235,12977
98,14491,14362
99,14761,14851
100,14274,13764
101,12538,12318
102,10347,9719
103,7773,7185
104,4997,5075
105,3111,2878
106,1955,1891
107,2127,2012
108,2864,2966
109,4744,5228
110,7443,7022
111,10129,9821
112,12474,12466
113,14113,14325
114,14920,14779
115,14395,14875
116,13110,13202
117,10979,11336
118,8592,8374
119,6057,5521
120,3659,3617
121,2542,1847
122,1868,1771
123,2336,2585
124,4270,3821
125,6497,6394
126,9050,8844
127,11752,11471
128,13604,13066
129,14518,14880
130,14554,15214
131,14262,13504
132,12003,11628
133,9634,9466
134,6938,6676
135,4393,4479
136,2723,2641
137,1771,2138
138,2243,2101
139,3693,2923
140,5443,5486
141,7985,7948
142,10488,10880
143,12838,12797
144,14377,14322
145,15035,14517
146,14366,14298
147,12794,12688
148,10698,10448
149,7884,8091
150,5386,5210
151,3399,3154
152,1943,2228
153,1913,1947
154,2782,2909
155,4383,4626
156,7246,6699
157,9709,9606
158,12121,12144
159,13679,14068
160,14924,14854
161,14570,14844
162,13645,13451
163,11641,11360
164,8997,8882
165,6130,6416
166,4009,3943
167,2457,2347
168,1869,1994
169,2243,2587
170,3959,3605
171,6080,5993
172,8606,8429
173,11357,11264
174,13410,13316
175,14504,14504
176,15050,14694
177,14321,13835
178,12222,12561
