# DigitalOscilloscope capture
# format_version=2
# fs_hz=16000000.0
# n_bits=14
# timestamp=2026-08-30T16:09:21+00:00
# capture_name=decimation_1MHz_D5_05.csv
# decim_factor=5
# requested_decim_factor=5
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=5.12e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=724
# firmware_status_timestamp=2026-08-30T16:09:21+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=5
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0051
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=decimation
# series_id=decimation_1MHz_D5
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=1000000
# generator_amplitude_vpk=0.12
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# decimation_study_point=1 MHz, D = 5
# decimation_study_expected_factor=5
# effective_sample_rate_hz=16000000
# expected_samples_per_period=16
# series_total=10
# repetition_index=5
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,3819,3416
1,2668,3083
2,2080,2072
3,1764,1499
4,1714,1696
5,2035,2187
6,2757,2603
7,4012,3428
8,5194,5130
9,6530,6569
10,8162,7976
11,9871,9492
12,11224,11483
13,12638,12822
14,13583,13600
15,14596,14346
16,15365,14689
17,15186,14986
18,14858,14633
19,14244,14121
20,13242,13159
21,11663,12806
22,10894,10233
23,9337,8703
24,7775,7532
25,5880,6064
26,4749,4265
27,3391,3234
28,2463,2579
29,1959,1809
30,1850,1209
31,2088,1224
32,2369,2305
33,3198,2990
34,4295,3966
35,5725,5416
36,7189,7057
37,8673,8663
38,10338,10109
39,11453,11859
40,13124,12786
41,13948,13818
42,14785,14693
43,15002,14850
44,14947,15187
45,14726,14616
46,13957,13850
47,12928,12811
48,11847,11275
49,10194,10091
50,8656,8216
51,7151,6747
52,5550,5186
53,4322,4091
54,3324,2691
55,2428,2281
56,1916,1739
57,1971,1025
58,1906,1966
59,2733,1841
60,3886,2495
61,4743,4595
62,6110,6098
63,7716,7518
64,9474,8714
65,10994,10174
66,12130,12037
67,13203,13394
68,14012,14442
69,14904,14620
70,15180,14845
71,14913,14868
72,14596,14371
73,13789,13388
74,12395,12595
75,10974,11445
76,9915,9113
77,8107,7590
78,6537,6795
79,5089,5113
80,3917,3678
81,2939,2682
82,2068,1917
83,1645,1742
84,1867,1729
85,2179,2034
86,3087,2574
87,3903,3682
88,5030,5031
89,6878,6084
90,8285,8001
91,9685,9930
92,11430,10706
93,12400,12790
94,13755,13623
95,14419,14386
96,14735,15287
97,15100,14825
98,14681,14884
99,14069,14433
100,13306,13178
101,11901,12309
102,10814,10582
103,9322,8768
104,7891,7038
105,6056,6069
106,4707,4415
107,3191,3720
108,2398,2630
109,1992,1606
110,1769,1396
111,1909,1697
112,2342,2351
113,3127,2862
114,4410,4124
115,5802,5262
116,7070,6753
117,8348,8944
118,10413,9894
119,11952,11519
120,12851,13077
121,13770,13989
122,14639,14856
123,15219,14702
124,14783,15331
125,14742,14273
126,14149,13590
127,12688,13300
128,11618,11674
129,10202,10098
130,8702,8531
131,7211,6725
132,5606,5455
133,4225,3964
134,3160,2902
135,2407,2016
136,1579,1811
137,1597,1772
138,1895,2005
139,2492,2494
140,3582,3467
141,4814,4399
142,6346,5752
143,7932,7287
144,9326,9098
145,10501,10952
146,12124,12361
147,13514,13039
148,14464,13772
149,14999,14740
150,15182,14989
151,15114,14830
152,14506,14099
153,13498,13608
154,12361,12869
155,11394,10688
156,9928,9381
157,7885,8232
158,6616,6415
159,5030,4994
160,3881,3307
161,2856,2875
162,2170,1930
163,1662,1453
164,1743,1869
165,2231,1844
166,2917,2645
167,3886,3598
168,5352,4782
169,6532,6713
170,7863,8330
171,9697,9394
172,11420,11106
173,12912,12275
174,13587,13783
175,14430,14654
176,15060,14815
177,14895,15199
178,14791,14862
