# DigitalOscilloscope capture
# format_version=2
# fs_hz=8000000.0
# n_bits=14
# timestamp=2026-08-30T16:10:21+00:00
# capture_name=decimation_500kHz_D10_09.csv
# decim_factor=10
# requested_decim_factor=10
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=0.0001024
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=738
# firmware_status_timestamp=2026-08-30T16:10:21+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=10
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x00A1
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=decimation
# series_id=decimation_500kHz_D10
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=500000
# generator_amplitude_vpk=0.12
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# decimation_study_point=500 kHz, D = 10
# decimation_study_expected_factor=10
# effective_sample_rate_hz=8000000
# expected_samples_per_period=16
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,12754,12716
1,10088,9746
2,6580,6897
3,4240,3819
4,2120,2370
5,1990,1458
6,2811,2324
7,5122,4327
8,8101,7027
9,10831,10964
10,13476,13412
11,15048,14517
12,15067,14595
13,13629,13096
14,11140,10669
15,7959,7665
16,4806,5041
17,2812,2264
18,1802,1582
19,2205,1926
20,4033,3721
21,6843,6644
22,9893,10062
23,12677,12496
24,14561,14649
25,15042,14867
26,13941,14110
27,11885,11918
28,9095,9025
29,5976,5557
30,3550,2859
31,1999,1575
32,1885,1728
33,3366,2912
34,5558,5534
35,8764,8902
36,12106,11345
37,13945,13978
38,15085,14846
39,14545,14483
40,12718,12873
41,9775,10143
42,6974,6796
43,4468,3805
44,2337,1814
45,1866,1424
46,2654,2456
47,4938,4532
48,8087,7174
49,10983,10413
50,13500,12925
51,15169,14182
52,15128,14308
53,13293,13727
54,10933,10970
55,7932,7739
56,5117,4666
57,2746,2344
58,1457,1848
59,2069,2294
60,3753,3969
61,6595,6888
62,9709,9918
63,12344,13119
64,14833,13828
65,14650,15483
66,14161,14223
67,12085,11622
68,9007,8954
69,5965,5734
70,3508,3162
71,1951,1516
72,1932,1747
73,3366,2818
74,5820,5796
75,8975,8493
76,12073,11189
77,14058,13969
78,15022,14871
79,14762,13751
80,12841,12394
81,9846,10234
82,6706,6941
83,4066,4011
84,2346,1849
85,1729,1468
86,2485,2705
87,4732,4908
88,7470,8000
89,10847,10865
90,13505,13499
91,14565,14935
92,14634,14778
93,13585,13305
94,11227,10767
95,7959,7514
96,4659,5130
97,2565,2821
98,1500,1798
99,2290,1943
100,4214,3797
101,6865,6529
102,10337,9549
103,12910,12369
104,14534,14461
105,14999,14869
106,14403,13662
107,11746,12096
108,9348,8416
109,5702,6062
110,3253,3190
111,2004,1806
112,1845,1616
113,3287,3117
114,5667,5706
115,8774,8779
116,11885,11613
117,13605,14227
118,15154,14695
119,14806,14194
120,12439,13161
121,9912,9935
122,7015,6423
123,3868,4053
124,2043,2457
125,1987,1193
126,2529,2729
127,4966,4273
128,7952,7329
129,10933,10952
130,13207,13575
131,14788,15025
132,14988,14763
133,13302,13483
134,11222,10722
135,8025,7815
136,5132,4756
137,2888,2434
138,1669,1917
139,2193,2164
140,3876,3901
141,6664,6765
142,9878,9950
143,12693,12365
144,14560,14439
145,15298,14561
146,14101,13984
147,12146,11517
148,9033,9050
149,5926,5561
150,3665,2741
151,1751,1727
152,1917,1441
153,3412,3164
154,5405,6079
155,8926,8472
156,11826,11977
157,14165,13891
158,15206,14702
159,14486,14686
160,12665,12995
161,9623,10422
162,6987,6726
163,4163,3876
164,2190,2125
165,1834,1321
166,2702,2459
167,5077,4401
168,7784,7489
169,11050,10502
170,13567,13198
171,15001,14445
172,15040,14576
173,13551,13571
174,11262,10559
175,7909,7958
176,5236,4601
177,2887,2468
178,2071,1349
179,2044,2392
180,3997,3554
181,6658,6855
182,9793,9942
183,12692,12778
184,14435,14552
185,14730,15148
186,14023,14210
187,12098,11552
188,8778,8997
189,5309,6467
190,3109,3417
191,1882,1866
192,1773,2135
193,3357,3051
194,6137,5182
195,9258,8225
196,11801,11736
197,14180,13730
198,15322,14694
199,14664,14326
200,12897,12797
201,10224,10020
202,6949,6843
203,4148,4010
204,2228,2299
205,1642,1372
206,2525,2804
207,4805,4784
208,7765,7801
209,11352,10274
210,13456,13344
211,14624,15177
212,15083,14593
213,13901,13015
214,11432,10456
215,7860,7938
216,5085,4721
217,2584,2643
218,1754,1532
219,2233,1914
220,4423,3293
221,6731,7053
222,10178,9450
223,12543,12691
224,14425,14714
225,15163,14698
226,14071,14280
227,12028,11793
228,8900,8845
