# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T16:08:38+00:00
# capture_name=decimation_5MHz_D1_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=710
# firmware_status_timestamp=2026-08-30T16:08:38+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=decimation
# series_id=decimation_5MHz_D1
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.12
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# decimation_study_point=5 MHz, D = 1
# decimation_study_expected_factor=1
# effective_sample_rate_hz=80000000
# expected_samples_per_period=16
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,13311,13684
1,11643,12074
2,9291,9318
3,6720,7324
4,4732,3987
5,2848,2507
6,1847,1984
7,2502,1356
8,3415,2475
9,5167,4498
10,7183,7273
11,9911,9509
12,12234,11961
13,13603,13685
14,14333,15073
15,14637,14605
16,13266,13805
17,11444,11760
18,9215,9391
19,6699,6822
20,4638,4110
21,2749,2484
22,2030,1903
23,2498,1366
24,3117,2896
25,5161,4456
26,7261,7057
27,10173,9259
28,12023,12026
29,13695,14087
30,14634,14781
31,14412,14756
32,13280,13784
33,11454,11767
34,9232,9557
35,6858,6722
36,4618,4391
37,2967,2785
38,2176,1257
39,2037,1535
40,3383,2590
41,5042,4543
42,7395,6828
43,9990,9734
44,12160,11834
45,13558,14157
46,14730,14300
47,14089,15433
48,13708,13441
49,11633,11721
50,9091,9737
51,6992,6516
52,4508,4411
53,2879,2503
54,2141,1634
55,2205,1407
56,3396,2331
57,4877,4648
58,7408,6888
59,9978,9547
60,11924,12288
61,13748,13757
62,14785,14634
63,14346,15123
64,13104,14061
65,11725,11670
66,9278,9377
67,6637,7239
68,4710,4093
69,2965,2492
70,1971,1766
71,2357,1150
72,2905,2877
73,5448,4431
74,7538,6983
75,9833,10080
76,12175,11989
77,13639,13889
78,14655,14726
79,14454,14926
80,13239,13927
81,11589,11975
82,9334,9422
83,6838,6616
84,4271,4537
85,2932,2502
86,2240,1477
87,2281,1638
88,3137,2739
89,5320,4358
90,7350,7173
91,9923,9345
92,12006,12208
93,13832,14009
94,14632,14579
95,14227,15051
96,13449,13632
97,11315,12062
98,9459,9200
99,6721,6912
100,4529,4364
101,2827,2502
102,2089,1468
103,2285,1400
104,3203,2904
105,5149,4473
106,7444,7023
107,10017,9315
108,11905,12409
109,13752,13812
110,14521,14615
111,14243,14932
112,13527,13691
113,11426,12253
114,9319,9237
115,6809,7006
116,4492,4263
117,2872,2755
118,2171,1420
119,2395,1574
120,3246,2786
121,5081,4662
122,7506,6978
123,10102,9370
124,11808,12531
125,13829,13705
126,14687,14945
127,14434,14848
128,13384,13773
129,11373,12279
130,9469,9089
131,6705,6820
132,4419,4342
133,2810,2760
134,2320,1419
135,2291,1559
136,3122,2901
137,4982,4522
138,7623,6767
139,10097,9301
140,11718,12516
141,13897,13854
142,14935,14472
143,14278,15225
144,13290,13779
145,11462,12139
146,9757,9045
147,6322,7095
148,4524,4364
149,3009,2471
150,2174,1557
151,2308,1191
152,3108,3070
153,5311,4255
154,7344,7186
155,10036,9401
156,11823,12362
157,13927,13915
158,14519,15022
159,14396,14598
160,13157,13897
161,11530,12203
162,9465,9082
163,6609,7040
164,4517,4423
165,3083,2214
166,2045,1742
167,2403,1481
168,3157,3039
169,5169,4459
170,7339,6914
171,10016,9486
172,11965,12293
173,13630,14024
174,14579,14718
175,14477,14736
176,13311,13944
177,11376,12198
178,9461,9029
179,6852,6762
180,4288,4681
181,3297,2191
182,1957,1737
183,2185,1533
184,3200,2853
185,5157,4389
186,7337,7003
187,9997,9457
188,11957,12324
189,13727,13979
190,14628,14657
191,14404,14867
192,13159,13999
193,11700,11735
194,9288,9253
195,6622,6971
196,4702,4491
197,3052,2461
198,2044,1660
199,2202,1381
200,3190,2762
201,5266,4266
202,7299,7120
203,9918,9833
204,12153,12026
205,13768,13733
206,14537,14972
207,14394,14768
208,13231,13960
209,11646,11573
210,8999,9304
211,6745,6947
212,4629,4426
213,3063,2413
214,2115,1559
215,1975,1602
216,3380,2559
217,5170,4547
218,7344,6976
219,9857,9659
220,12055,12091
221,13877,13887
222,14570,14732
223,14191,15325
224,13694,13414
225,11335,12375
226,9436,9074
227,6644,6826
228,4564,4798
229,2962,2312
230,1959,1438
231,2262,1505
232,3129,3022
233,5367,4134
234,7175,7228
235,9969,9490
236,12134,12274
237,13762,13849
238,14372,15043
239,14417,14926
240,13552,13409
241,11321,12285
242,9559,9240
243,6434,7374
244,4855,4077
245,2743,2473
246,2160,1208
247,1984,1896
248,3541,2455
249,5316,4129
250,7178,7426
251,10135,9081
252,11687,12343
253,14044,13678
254,14450,14876
255,14299,14991
256,13509,13803
257,11521,11746
258,9232,9009
259,6462,7280
260,4639,4328
261,3085,2267
262,2024,1691
263,2095,2016
264,3527,2292
265,5101,4204
266,7265,7188
267,9927,9859
268,12384,11977
269,13669,14027
270,14331,15015
271,14523,14469
272,13290,13820
273,11615,12008
274,9269,9374
275,6605,7120
276,4819,3850
277,2612,2551
278,2143,1791
279,2399,1478
280,3215,2638
281,5194,4723
282,7478,6853
283,9638,9758
284,12218,11937
285,13783,13846
286,14340,15074
287,14375,15033
288,13593,13480
289,11462,11994
290,9106,9536
291,6764,6571
292,4581,4723
293,2979,2449
294,2071,1399
295,2031,1691
296,3365,2645
297,5279,4133
298,7360,7301
299,10004,9591
300,11976,12082
301,13972,13702
302,14419,14775
303,14183,15166
304,13741,13395
305,11486,12246
306,9356,9410
307,6536,7209
308,4737,3904
309,3030,2375
310,1937,1805
311,1957,1925
312,3602,2275
313,5127,4397
314,7228,7446
315,9927,9319
316,12239,11900
317,13613,14127
318,14438,14820
319,14385,14830
320,13505,13491
321,11332,11972
322,9195,9402
323,6776,6977
324,4628,4557
325,2825,2292
326,1989,1676
327,2315,1453
328,3273,2905
329,5156,4055
330,7161,7206
331,10216,9601
332,12101,12295
333,13665,13838
334,14590,14671
335,14264,15105
336,13416,13795
337,11697,11731
338,9002,9617
339,6997,6670
340,4444,4698
341,3054,2101
342,1950,1772
343,2481,1385
344,3376,2309
345,4971,4788
346,7591,6551
347,9776,9927
348,12229,12046
349,13646,14074
350,14667,14750
351,14262,15082
352,13429,13635
353,11598,11812
354,9123,9593
355,6989,6565
356,4432,4488
357,3103,2328
358,2012,1628
359,2283,1459
360,3258,2818
361,5180,4437
362,7282,6706
363,9774,9853
364,12274,11781
365,13633,14075
366,14582,14754
367,14322,14918
368,13365,13633
369,11653,11709
370,9175,9683
371,6848,6667
372,4477,4653
373,3125,2093
374,1693,2152
375,2675,1267
376,3228,2657
377,4984,4249
378,7269,7303
379,10214,9168
380,11944,12298
381,13665,14072
382,14567,14933
383,14538,14781
384,13290,13725
385,11551,12010
386,9151,9427
387,6708,6746
388,4617,4114
389,2892,2641
390,1982,1868
391,2504,1175
392,3138,2838
393,5146,4349
394,7418,7346
395,10032,9451
396,11991,12142
397,13608,14062
398,14668,14876
399,14473,14690
400,13291,13853
401,11502,11981
402,9204,9481
403,7186,6484
404,4326,4722
405,2958,2309
406,2052,1618
407,2429,1259
408,2984,2991
409,5183,4377
410,7434,7127
411,10060,9411
412,11849,12291
413,13796,13753
414,14712,14659
415,14219,15244
416,13601,13638
417,11400,12352
418,9379,9004
419,6544,7387
420,4734,4087
421,2826,2764
422,2050,1751
423,2391,1081
424,3191,2771
425,5022,4526
426,7219,7063
427,10096,9431
428,12035,12163
429,13712,13861
430,14504,14795
431,14240,15242
432,13472,13455
433,11309,12067
434,9333,9258
435,6699,6817
436,4719,4240
437,2882,2677
438,2038,1568
439,2350,1381
440,3298,2394
441,4907,4928
442,7633,6928
443,9939,9303
444,11994,12155
445,13628,13877
446,14538,14970
447,14642,14377
448,12934,14200
449,11578,11673
450,9322,9520
451,6919,6811
452,4488,4403
453,2874,2443
454,2222,1580
455,2180,1666
456,3396,2278
457,4952,5014
458,7710,6706
459,9844,9560
460,11931,12117
461,13623,14000
462,14658,14652
463,14436,14752
464,13275,13687
465,11417,12179
466,9309,9243
467,6913,6560
468,4415,4395
469,2850,2593
470,2165,1259
471,2160,1631
472,3207,2471
473,5245,4517
474,7440,6858
475,9869,9594
476,11985,12243
477,13685,13737
478,14570,15004
479,14430,15007
480,13290,13571
481,11538,12235
482,9366,9191
483,6605,6808
484,4697,4514
485,2876,2321
486,2253,1383
487,2057,1834
488,3277,2606
489,5389,4357
490,7038,7512
491,10060,9291
492,12069,12256
493,13694,14118
494,14502,14701
495,14270,14753
496,13369,13573
497,11428,11956
498,9224,9445
499,6703,6661
500,4625,4049
501,2810,2769
502,2130,1467
503,2278,1577
504,3359,2377
505,5080,4803
506,7417,7073
507,9829,9465
508,12146,11582
509,13504,14579
510,14822,14555
511,14176,15013
512,13461,13446
513,11380,12040
514,9211,9605
515,6950,6480
516,4422,4676
517,3045,2291
518,1923,1869
519,2442,1257
520,3072,2951
521,5202,4281
522,7321,7113
523,10038,9403
524,11938,12080
525,13539,14057
526,14611,14677
527,14361,14683
528,13202,13802
529,11395,12250
530,9535,9186
531,6643,6806
532,4386,4291
533,2897,2586
534,2189,1739
535,2215,1514
536,3122,2870
537,5324,4302
538,7247,7168
539,10106,9360
540,12007,12297
541,13710,14161
542,14622,14445
543,14317,15042
544,13387,13680
545,11304,12227
546,9416,8999
547,6877,6989
548,4349,4705
549,3126,1961
550,1874,1634
551,2240,1818
552,3446,2366
553,4990,4602
554,7393,6833
555,9922,9717
556,12117,12256
557,13785,13906
558,14398,14823
559,14375,14751
560,13215,13961
561,11750,11763
562,9073,9461
563,6724,6660
564,4561,4579
565,3039,2454
566,2132,1537
567,2022,1517
568,3297,2669
569,5414,4020
570,7087,7344
571,9972,9327
572,12008,11933
573,13753,14120
574,14678,14452
575,14162,15340
576,13480,13622
577,11422,11672
578,9287,9378
579,6781,6841
580,4294,4529
581,3146,2138
582,2281,1401
583,1973,1834
584,3234,2565
585,5250,4201
586,7493,6897
587,9717,9908
588,12247,12009
589,13738,13736
590,14524,14680
591,14138,15112
592,13517,13518
593,11394,11879
594,9154,9279
595,6783,7060
596,4689,4363
597,3022,2289
598,1990,1600
599,2111,1739
600,3414,2474
601,5108,4394
602,7217,6836
603,9891,9736
604,12242,12093
605,13502,14093
606,14704,14495
607,14257,14848
608,13118,14032
609,11744,11713
610,9260,9295
611,6562,6966
612,4590,4269
613,2982,2516
614,2103,1313
615,2069,1864
616,3548,2173
617,4897,4869
618,7559,6546
619,9723,9707
620,11987,12222
621,13933,13614
622,14486,14643
623,14342,14971
624,13282,14048
625,11656,11563
626,9098,9268
627,6749,6925
628,4516,4566
629,3039,2398
630,2322,1403
631,1896,1696
632,3115,2865
633,5483,3860
634,7157,7218
635,9774,9769
636,12016,12079
637,13958,13925
638,14476,14738
639,14129,15218
640,13502,13222
641,11404,12310
642,9310,9201
643,6834,6713
644,4441,4665
645,3016,2208
646,2152,1305
647,2076,1769
648,3222,2824
649,5339,4255
650,7354,7057
651,9800,9813
652,12064,12045
653,13761,13842
654,14575,14628
655,14147,14994
656,13399,13847
657,11687,11802
658,9245,9527
659,6729,6685
660,4446,4507
661,3100,2179
662,1960,1543
663,2275,1639
664,3118,2764
665,5308,4290
666,7417,6849
667,9676,9976
668,12273,12066
669,13850,13800
670,14557,14759
671,14253,15125
672,13314,13599
673,11774,11812
674,9171,9497
675,6671,6872
676,4553,4431
677,3198,2074
678,1752,1922
679,2364,1417
680,3197,2489
681,4990,4892
682,7650,6754
683,9619,9723
684,12064,12056
685,13622,14044
686,14588,14689
687,14202,15001
688,13513,13603
689,11320,12025
690,9462,9322
691,6674,6790
692,4371,4373
693,3089,2306
694,2134,1707
695,2298,1566
696,3238,2605
697,5135,4332
698,7292,7272
699,10103,9387
700,11940,12207
701,13822,13872
702,14523,14801
703,14364,15082
704,13471,13254
705,11261,11963
706,9250,9649
707,6790,6947
708,4627,4048
709,2882,2483
710,2166,1534
711,2128,1720
712,3414,2586
713,5221,4462
714,7412,7181
715,9817,9446
716,12068,11835
717,13616,14103
718,14590,14818
719,14377,14721
720,13287,13745
721,11523,11792
722,9018,9809
723,6952,6622
724,4466,4349
725,2742,2534
726,2033,1798
727,2478,1180
728,3067,2669
729,5136,4395
730,7352,6939
731,9921,9629
732,12102,12211
733,13758,13803
734,14438,14907
735,14433,14868
736,13288,14024
737,11577,11677
738,9009,9633
739,6865,6855
740,4636,4129
741,2837,2474
742,2039,1655
743,2180,1569
744,3409,2426
745,5077,4447
746,7225,6992
747,9924,9719
748,12229,11835
749,13908,13715
750,14273,15412
751,14622,14401
752,13334,13700
753,11389,12399
754,9378,9264
755,6889,6573
756,4491,4507
757,3055,2291
758,1991,1841
759,2336,1373
760,3339,2648
761,4969,4863
762,7466,6787
763,9866,9495
764,12002,12041
765,13577,13926
766,14633,14926
767,14384,14718
768,13258,14020
769,11628,11790
770,9116,9602
771,6821,6383
772,4431,4557
773,3086,2183
774,1901,1971
775,2352,1373
776,3128,2761
777,5254,4365
778,7320,7314
779,9862,9419
780,12102,12181
781,13840,13448
782,14260,15216
783,14537,14862
784,13363,13657
785,11516,11972
786,9188,9582
787,6774,6747
788,4541,4230
789,2842,2352
790,1964,1715
791,2319,1467
792,3290,2521
793,5004,4398
794,7472,7184
795,9750,9720
796,12139,11969
797,13713,13904
798,14331,15086
799,14531,14646
800,13412,13643
801,11448,12135
802,9304,9538
803,6871,6608
804,4381,4602
805,3146,2041
806,1923,2034
807,2449,1491
808,3165,2308
809,5094,4537
810,7432,7265
811,9885,9810
812,12361,11954
813,13477,14088
814,14434,14731
815,14492,14813
816,13363,13809
817,11490,11974
818,9159,9645
819,6831,6757
820,4680,4215
821,2737,2475
822,2080,1440
823,2131,1790
824,3481,2401
825,5025,4438
826,7165,7098
827,10122,9374
828,12182,11830
829,13521,14255
830,14785,14452
831,14336,15067
832,13236,13980
833,11812,11458
834,8993,9649
835,6771,6616
836,4573,4259
837,3048,2540
838,1985,1993
839,2488,999
840,3037,2986
841,5321,4110
842,7272,7090
843,9849,9803
844,12128,12183
845,13685,13831
846,14457,14903
847,14356,14745
848,13520,13968
849,11528,11848
850,9171,9713
851,6694,6899
852,4709,3962
853,2900,2796
854,2261,1653
855,2175,1658
856,3303,2526
857,5165,4202
858,7376,7422
859,9868,9312
860,11989,12033
861,13771,13939
862,14578,15071
863,14392,14754
864,13415,13669
865,11541,12104
866,9126,9277
867,6686,6775
868,4810,4290
869,2880,2785
870,2107,1575
871,2389,1311
872,3270,2586
873,5069,4547
874,7512,6995
875,9837,9710
876,12111,12108
877,13785,13835
878,14489,15017
879,14464,14812
880,13241,13862
881,11586,12044
882,9353,9242
883,6552,6760
884,4488,4553
885,3203,2502
886,2140,1587
887,2192,1414
888,3276,2878
889,5377,4093
890,7136,7298
891,10036,9490
892,11996,11987
893,13794,13881
894,14635,14645
895,14286,15176
896,13454,13477
897,11593,11646
898,9025,9667
899,7098,6441
900,4329,4605
901,2903,2617
902,2189,1276
903,2278,1500
904,3210,2759
905,4861,4613
906,7561,6718
907,9955,9368
908,11956,12331
909,13552,14479
910,14930,14149
911,14107,15189
912,13403,13698
913,11361,12482
914,9704,8770
915,6496,7126
916,4590,4596
917,2938,2561
918,2274,1328
919,2190,1506
920,3091,2868
921,5217,4428
922,7440,6997
923,9842,9332
924,11851,12453
925,14026,13595
926,14549,14776
927,14242,15003
928,13314,13795
929,11561,11968
930,9328,9225
931,6673,6973
932,4506,4276
933,3085,2419
934,2153,1460
935,2250,1707
936,3154,2412
937,5107,4390
938,7606,6776
939,9873,9935
940,12041,12343
941,13845,13599
942,14435,14869
943,14386,14742
944,13153,14085
945,11609,11909
946,9677,8901
947,6506,7067
948,4380,4803
949,3289,2208
950,2125,1637
951,2245,1427
952,3102,2978
953,5158,4549
954,7469,6878
955,9942,9734
956,11889,12307
957,13921,13898
958,14834,14399
959,14035,15451
960,13487,13427
961,11621,11843
962,9160,9418
963,6789,6938
964,4592,4407
965,3008,2320
966,2138,1650
967,2286,1559
968,3204,2638
969,5183,4501
970,7432,6791
971,9828,9738
972,12021,12091
973,13845,13904
974,14677,14787
975,14283,15081
976,13495,13433
977,11408,12372
978,9355,9047
979,6664,6709
980,4502,4542
981,3082,2529
982,2193,1258
983,2084,1625
984,3255,2597
985,5130,4507
986,7356,6961
987,9858,9553
988,12062,12315
989,13795,13949
990,14582,14823
991,14413,14995
992,13396,13942
993,11803,11573
994,9009,9576
995,6755,6553
996,4435,4775
997,3130,2322
998,1888,1678
999,2362,1397
1000,3319,2692
1001,5051,4643
1002,7492,6867
1003,9770,9534
1004,12059,12247
1005,13782,13787
1006,14582,14862
1007,14223,14977
1008,13422,14091
1009,11831,11866
1010,9068,9475
1011,6597,6807
1012,4708,4270
1013,3035,2690
1014,2055,1585
1015,2322,1539
1016,3234,2623
1017,5093,4640
1018,7561,6699
1019,9948,9815
1020,11934,12206
1021,13852,13792
1022,14706,14673
1023,14229,15268
1024,13507,13467
1025,11487,12332
1026,9512,9022
1027,6458,7275
1028,4680,4198
1029,2939,2495
1030,2271,1433
1031,2162,1533
1032,3193,2773
1033,5231,4413
1034,7620,6746
1035,9683,10087
1036,12392,11687
1037,13605,14018
1038,14631,15070
1039,14493,14711
1040,13255,14106
1041,11620,11534
1042,9127,9656
1043,6774,7035
1044,4603,4279
1045,2988,2158
1046,2100,1614
1047,2030,1869
1048,3486,2480
1049,5177,4189
1050,7333,7276
1051,9945,9527
1052,12045,12177
1053,13975,13693
1054,14357,14885
1055,14234,15063
1056,13687,13473
1057,11510,11919
1058,9172,9658
1059,6765,6788
1060,4685,4269
1061,3136,2400
1062,1968,1707
1063,2249,1582
1064,3363,2786
1065,5464,4282
1066,7089,7301
1067,9862,9681
1068,12233,11965
1069,13785,13936
1070,14466,14982
1071,14264,14967
1072,13510,13516
1073,11634,12029
1074,9166,9604
1075,6825,6526
1076,4572,4569
1077,2980,2431
1078,2186,1396
1079,1990,1890
1080,3579,2386
1081,5038,4709
1082,7201,7314
1083,10067,9318
1084,12001,12416
1085,13970,13626
1086,14277,15022
1087,14451,15003
1088,13501,13779
1089,11629,11590
1090,9067,9572
1091,6702,7165
1092,4667,4208
1093,3049,2098
1094,1862,1894
1095,2336,1529
1096,3344,2621
1097,5211,4367
1098,7425,7314
1099,9892,9728
1100,12036,12210
1101,13905,13869
1102,14538,14893
1103,14249,14859
1104,13382,13746
1105,11805,11975
1106,9180,9451
1107,6513,6800
1108,4756,4216
1109,2944,2553
1110,2066,1450
1111,2139,1814
1112,3564,2084
1113,4920,4815
1114,7335,7017
1115,10015,9702
1116,12229,11824
1117,13550,14088
1118,14542,14809
1119,14345,14936
1120,13545,13643
1121,11618,11718
1122,8965,9792
1123,7004,6801
1124,4606,4418
1125,3009,2355
1126,1901,1826
1127,2215,1609
1128,3307,2757
1129,5016,4542
1130,7396,6760
1131,9837,9906
1132,12290,12187
1133,13799,13653
1134,14254,15106
1135,14482,14694
1136,13329,14081
1137,11714,11676
1138,9081,9726
1139,6841,6961
1140,4682,4165
1141,2555,2586
1142,2406,1261
1143,2239,1522
1144,3153,2796
1145,5307,4037
1146,7276,7014
1147,9992,9507
1148,12239,11782
1149,13734,14054
1150,14515,14813
1151,14295,15140
1152,13776,13328
1153,11457,12172
1154,9262,9332
1155,6723,6971
1156,4590,4142
1157,3102,2089
1158,1717,1747
1159,2372,1633
1160,3663,2131
1161,4964,4606
1162,7158,6995
1163,9895,9253
1164,12123,12214
1165,13933,13644
1166,14351,15284
1167,14533,15074
1168,13421,13776
1169,11589,11774
1170,8941,9768
1171,6995,6613
1172,4621,4481
1173,2919,2622
1174,2171,1398
1175,2129,1748
1176,3442,2530
1177,5066,4405
1178,7384,7200
1179,10129,9371
1180,11886,12288
1181,13792,13750
1182,14391,15084
1183,14506,14728
1184,13385,13792
1185,11429,11901
1186,9233,9559
1187,6793,6808
1188,4513,4239
1189,3161,2233
1190,1890,1831
1191,2438,1050
1192,3281,2770
1193,5205,4575
1194,7288,7084
1195,10075,9490
1196,12142,11794
1197,13672,14248
1198,14514,14950
1199,14442,14708
1200,13581,13806
1201,11351,12388
1202,9362,9449
1203,6998,6706
1204,4550,4417
1205,2878,2704
1206,2185,1528
1207,2332,1063
1208,3157,2844
1209,5160,4802
1210,7690,6721
1211,9649,9913
1212,12259,11940
1213,13511,13991
1214,14643,14575
1215,14219,15205
1216,13650,13659
1217,11338,12081
1218,9354,9303
1219,6715,6750
1220,4484,4568
1221,3270,2214
1222,1751,1797
1223,2347,1477
1224,3477,2518
1225,5051,4762
1226,7365,7251
1227,10028,9568
1228,12150,11952
1229,13428,14407
1230,14714,14923
1231,14498,14584
1232,13255,13710
1233,11596,12382
1234,9269,9433
1235,6697,6569
1236,4634,4303
1237,2946,2840
1238,2214,1710
1239,2501,850
1240,2942,2952
1241,5268,4650
1242,7402,6688
1243,9960,9527
1244,12015,12306
1245,13832,13926
1246,14620,14634
1247,14279,15061
1248,13576,13724
1249,11601,12023
1250,9249,9362
1251,6946,6614
1252,4425,4727
1253,3169,2082
1254,1663,2155
1255,2528,1278
1256,3392,2484
1257,4886,4540
1258,7460,7042
1259,10106,9208
1260,11909,12356
1261,13596,14316
1262,14724,14780
1263,14543,14803
1264,13310,13891
1265,11387,12174
1266,9420,9173
1267,6881,6985
1268,4584,4597
1269,2939,2464
1270,1902,1602
1271,2332,1349
1272,3297,2833
1273,5390,4641
1274,7226,7046
1275,10109,9460
1276,12150,11778
1277,13518,14276
1278,14821,14696
1279,14345,14983
1280,13277,13860
1281,11445,11812
1282,9410,9208
1283,6629,7154
1284,4731,4216
1285,3047,2358
1286,1988,1847
1287,2509,1091
1288,2956,3223
1289,5504,4427
1290,7318,6927
1291,9920,9624
1292,12156,12041
1293,13898,14118
1294,14575,14904
1295,14245,15031
1296,13592,13341
1297,11456,12263
1298,9197,9527
1299,6967,6641
1300,4524,4374
1301,2914,2546
1302,1863,1799
1303,2519,1230
1304,3266,2878
1305,5125,4473
1306,7177,7362
1307,10262,9121
1308,11913,12330
1309,13606,14012
1310,14491,15047
1311,14713,14649
1312,13320,13627
1313,11163,12366
1314,9469,9251
1315,7008,6781
1316,4263,4505
1317,2977,2399
1318,2205,1737
1319,2350,1470
1320,3270,2605
1321,4845,5013
1322,7834,6675
1323,9752,9735
1324,12010,12205
