# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:33:55+00:00
# capture_name=freq_2vpp_1to100_50MHz_06.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=6001
# firmware_status_timestamp=2026-08-24T00:33:55+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_50MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=50000000
# generator_amplitude_vpk=3.5
# generator_offset_v=0.001
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=6
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,9250,5125
1,7133,9764
2,8144,8277
3,9337,5386
4,7131,10711
5,9258,6608
6,7948,7762
7,7310,10359
8,9793,5189
9,7210,9134
10,8088,8484
11,8690,5824
12,6703,10481
13,9594,6280
14,8662,7058
15,7289,10142
16,9689,5120
17,7363,9726
18,7917,8558
19,9061,5763
20,6953,10561
21,9304,6547
22,7989,7033
23,7340,10302
24,9421,4964
25,7248,9407
26,8144,8342
27,9395,5973
28,6894,10412
29,9361,6240
30,8483,7121
31,7342,9878
32,9537,5084
33,7466,9268
34,8083,7969
35,9526,5395
36,6868,10725
37,9186,6045
38,8730,7174
39,7078,9809
40,9964,5345
41,7117,9674
42,8332,8573
43,8980,5684
44,6756,10233
45,9273,6380
46,8412,7304
47,7241,10273
48,9731,5190
49,7254,9198
50,8254,8549
51,9369,5333
52,6796,10550
53,9095,6446
54,8354,7472
55,7649,10128
56,9490,5084
57,7475,9035
58,8136,8263
59,9315,5420
60,6778,10517
61,9260,6742
62,8297,7742
63,7258,10305
64,9579,5220
65,7415,9120
66,8302,8129
67,9084,5514
68,7065,10460
69,9338,6086
70,8344,7146
71,7383,10283
72,9590,5257
73,7280,9302
74,8059,8605
75,9194,5904
76,6778,10375
77,9028,6367
78,7993,7893
79,7236,10088
80,9642,5318
81,6848,9621
82,8394,8397
83,9194,5672
84,6893,10414
85,9309,6133
86,8031,7331
87,7449,10081
88,9705,5127
89,7178,9135
90,8313,8622
91,9381,5696
92,6517,10267
93,9437,6254
94,8111,7218
95,7533,10128
96,9919,5344
97,6925,9123
98,8514,8346
99,9316,5435
100,6469,10318
101,9439,6400
102,8479,7188
103,7287,10249
104,9538,5079
105,7273,9435
106,8114,8539
107,9433,5524
108,6942,10377
109,9237,6309
110,8151,7930
111,7179,10448
112,9830,5204
113,7452,9182
114,8091,8150
115,9558,5350
116,6814,10513
117,8925,6184
118,8095,7637
119,7572,10148
120,9596,5161
121,7052,9581
122,7998,8294
123,9349,5344
124,6864,10578
125,9177,6101
126,8079,7323
127,7147,10133
128,9609,5080
129,7330,9084
130,8320,8145
131,9401,5626
132,6604,10284
133,9376,6433
134,8236,7195
135,7283,9780
136,9823,5335
137,7497,9139
138,8216,7977
139,9304,5485
140,6868,10470
141,9545,6708
142,8534,7420
143,7051,10117
144,9590,5038
145,7252,9327
146,7991,8240
147,9190,5401
148,7043,10569
149,8947,6577
150,8401,7647
151,7296,10028
152,9402,5094
153,7059,9761
154,7866,8638
155,9563,5604
156,6990,10453
157,8917,6007
158,8322,7473
159,7118,10325
160,9775,5258
161,7383,8988
162,8028,8158
163,9744,5472
164,6450,10417
165,9150,6289
166,8650,7010
167,7446,10255
168,9690,5152
169,6917,9159
170,8200,8359
171,9094,5584
172,6835,10446
173,9207,6042
174,8399,7286
175,7300,10387
176,9598,5029
177,7080,9442
178,8406,8634
179,9374,5600
180,6516,10233
181,9147,6073
182,8480,7647
183,7023,10196
184,9958,5264
185,7115,9146
186,8351,8418
187,9185,5292
188,6719,10471
189,9166,6407
190,8101,7433
191,7398,10359
192,9643,5062
193,7142,9050
194,8280,8238
195,8880,5662
196,6998,10517
197,9611,6228
198,8673,7113
199,7393,9920
200,9791,4923
201,7172,9138
202,8181,8259
203,9190,5470
204,7050,10545
205,9093,6162
206,8502,7411
207,7034,9928
208,9813,5315
209,7134,9837
210,8065,8434
211,9497,5418
212,7167,10668
213,9246,6337
214,8538,7159
215,7082,9985
216,9445,5119
217,7300,9364
218,8209,8535
219,9050,5778
220,6953,10633
221,8708,6161
222,8857,7259
223,6898,9778
224,9957,5315
225,6817,9463
226,7995,8738
227,9096,5732
228,7085,10544
229,9299,6253
230,8333,6916
231,7264,10192
232,9519,5018
233,7007,9629
234,8057,8589
235,9734,5624
236,6504,10291
237,9319,6123
238,8337,7233
239,7397,10112
240,9610,5122
241,6816,9709
242,8098,8279
243,9601,5722
244,6679,10109
245,9240,6525
246,7899,7530
247,7556,10295
248,9462,5037
249,7643,9185
250,8342,8439
251,9020,5540
252,6801,10397
253,9258,6222
254,8617,7654
255,7194,10384
256,9620,5091
257,7081,9142
258,8146,8747
259,9052,5847
260,6888,10469
261,9241,6036
262,8448,7449
263,6963,10241
264,9641,5045
265,7284,9492
266,7871,8355
267,9563,5575
268,6563,10472
269,9311,6461
270,8587,7555
271,7263,9704
272,9640,5330
273,7438,9332
274,7722,8340
275,9667,5571
276,6604,10297
277,9565,6287
278,7859,7438
279,7209,10066
280,9710,5176
281,7618,9309
282,8217,8053
283,9534,5436
284,6728,10306
285,9280,6294
286,7994,7450
287,7340,10242
288,9955,5290
289,6857,9382
290,8080,8256
291,9342,5646
292,6764,10522
293,9119,6241
294,8728,7071
295,7155,10195
296,9470,4975
297,7316,9526
298,7951,8513
299,9461,5355
300,6905,10650
301,9138,6635
302,8259,7552
303,7079,10014
304,9390,5261
305,7699,9225
306,8030,8308
307,8985,5833
308,6712,10371
309,9288,6445
310,8180,7643
311,7322,10456
312,9797,5173
313,7410,9052
314,8080,8174
315,9105,5643
316,6947,10530
317,9427,6057
318,8352,6926
319,7295,9976
320,9665,5153
321,7173,8975
322,8025,8287
323,9518,5563
324,6474,10384
325,9470,6613
326,8165,6891
327,7369,10109
328,9722,5186
329,7035,9817
330,7996,8446
331,9609,5757
332,6684,10366
333,9337,6257
334,8025,7404
335,7378,10292
336,9524,5206
337,7230,9024
338,8215,8130
339,9379,5396
340,6769,10474
341,9149,6080
342,8296,7364
343,7059,10152
344,9790,5459
345,6904,8864
