# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:33:54+00:00
# capture_name=freq_2vpp_1to100_50MHz_02.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5997
# firmware_status_timestamp=2026-08-24T00:33:54+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_50MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=50000000
# generator_amplitude_vpk=2.8
# generator_offset_v=0.001
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=2
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,9375,6361
1,8056,7845
2,7350,9939
3,9736,4970
4,7412,9746
5,8004,7839
6,9098,5710
7,6704,10407
8,9327,5937
9,7959,7744
10,7509,9814
11,9612,5255
12,6874,9551
13,8588,8178
14,9115,5665
15,6685,10264
16,9618,6122
17,7778,7935
18,7672,10013
19,9384,5171
20,7051,9305
21,8445,7984
22,9080,6128
23,6671,10694
24,9469,6109
25,7934,7709
26,7229,10069
27,9932,5256
28,7009,9808
29,8039,8198
30,9499,5670
31,6516,10227
32,9383,6317
33,7678,7888
34,7230,10106
35,9534,5083
36,7356,9669
37,8572,7832
38,8898,5411
39,6986,10505
40,9544,5954
41,8187,7529
42,7189,9787
43,9586,5120
44,6868,9438
45,8341,7920
46,9193,5872
47,6934,10584
48,9528,6062
49,7745,7786
50,7592,9968
51,9530,5030
52,6918,9466
53,8440,7525
54,9101,5856
55,6570,10414
56,9318,5985
57,8215,7829
58,7189,9867
59,9740,5184
60,6988,9352
61,8474,7782
62,9146,5863
63,7009,10636
64,9268,6226
65,7674,7917
66,7431,9976
67,9923,5197
68,7180,9555
69,8060,8228
70,8993,5860
71,6957,10695
72,9131,6210
73,8116,7295
74,7530,9791
75,9628,5036
76,7386,9573
77,8305,8063
78,9049,5567
79,7235,10621
80,9464,5928
81,8231,7654
82,7231,9831
83,9786,5237
84,6905,9427
85,8067,7782
86,8730,5788
87,6865,10544
88,9560,5992
89,7988,7883
90,7336,10168
91,9339,5159
92,7056,9825
93,8305,8441
94,9075,6232
95,6711,10571
96,9296,6075
97,8235,7390
98,7262,9741
99,9740,5148
100,6838,9325
101,8355,8035
102,8877,6036
103,6544,10526
104,9559,5812
105,7930,7468
106,7623,9901
107,9650,5262
108,6936,9377
109,8561,7472
110,9129,5720
111,6645,10391
112,9364,6265
113,8001,7786
114,7245,9851
115,9800,5222
116,6894,9553
117,8649,8079
118,8881,5936
119,6705,10516
120,9674,6125
121,7844,7815
122,7412,9888
123,9865,5316
124,7123,9256
125,8404,7948
126,8879,6237
127,6674,10465
128,9878,6136
129,8164,7327
130,7382,9736
131,9633,5243
132,6804,9430
133,8562,7797
134,9010,5842
135,6604,10457
136,9510,5864
137,8340,7235
138,7323,9766
139,9542,5138
140,7070,9454
141,8322,7972
142,8928,5972
143,6968,10390
144,9400,6351
145,7908,8042
146,7571,10036
147,9437,5104
148,7139,9515
149,8483,7730
150,9204,5833
151,6620,10469
152,9518,6183
153,8217,7704
154,6974,9758
155,9572,5107
156,7252,9635
157,8542,8022
158,8780,5783
159,7253,10540
160,9384,6022
161,8260,7692
162,7405,9781
163,9513,5214
164,6986,9475
165,8379,8265
166,8951,6246
167,6820,10470
168,9425,6362
169,8209,7682
170,7403,9652
171,9894,5231
172,7201,9501
173,8295,7903
174,9470,5658
175,6586,10439
176,9304,6129
177,7981,7735
178,7338,10168
179,9846,5314
180,6974,9351
181,8468,8168
182,9014,5894
183,6499,10470
184,9543,5953
185,8217,7578
186,7423,9932
187,9746,5239
188,6848,9378
189,8271,8370
190,9077,5761
191,7010,10564
192,9337,6102
193,7919,7848
194,7187,9921
195,9772,5166
196,7296,9342
197,8358,7726
198,9530,5848
199,6468,10341
200,9613,5971
201,7729,7730
202,7459,10116
203,9580,5215
204,7304,9581
205,8228,7845
206,9286,5680
207,6949,10371
208,9257,6101
209,8090,7818
210,7466,9988
211,9637,5240
212,6964,9545
213,8241,8318
214,9436,5946
215,6757,10291
216,9385,5906
217,8250,7312
218,7531,9875
