# DigitalOscilloscope capture
# format_version=2
# fs_hz=800000.0
# n_bits=14
# timestamp=2026-08-16T02:13:03
# capture_name=offset_path_comparison_1kHz_1to100.csv
# decim_factor=100
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=48.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=48.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,5993,2747
1,5948,2856
2,6026,3138
3,6018,2849
4,5921,2929
5,5995,2936
6,6035,2812
7,6080,2958
8,6009,2963
9,6037,3031
10,6018,2953
11,5918,2876
12,6107,2888
13,6029,2809
14,5995,3057
15,5932,2611
16,6090,3106
17,6181,3150
18,5946,3002
19,6008,2821
20,5933,2865
21,6149,2861
22,6025,2931
23,6059,2948
24,6009,3035
25,5928,2906
26,5980,2918
27,6151,2955
28,6049,2954
29,5993,2936
30,5997,2979
31,5999,2742
32,6075,2997
33,5970,3031
34,6054,2975
35,5995,2673
36,5948,2782
37,6153,2982
38,5911,2873
39,5998,2951
40,5930,2743
41,5972,2895
42,5995,2942
43,5922,2836
44,6012,2933
45,6094,2920
46,5938,2899
47,6001,3078
48,5974,2837
49,6031,3176
50,6008,2722
51,6088,2993
52,5989,2971
53,6045,2922
54,6025,3093
55,5933,2721
56,5948,2878
57,6084,3141
58,5942,3052
59,5921,2744
60,6110,3052
61,5945,2775
62,6035,2874
63,6139,2860
64,6092,3146
65,6086,2741
66,6014,3074
67,5902,3142
68,6036,3145
69,6040,2921
70,5986,2933
71,5931,2960
72,5967,2914
73,5999,2891
74,6041,3031
75,6083,3165
76,5916,2899
77,5923,3083
78,6110,2915
79,6102,3020
80,6010,3147
81,6080,2900
82,5983,2728
83,6055,3140
84,5983,3004
85,6002,2754
86,5926,2920
87,6101,3038
88,5984,2808
89,6090,3203
90,5880,2837
91,5931,2869
92,6030,2810
93,6092,3218
94,6054,3095
95,6081,3127
96,6149,2957
97,5902,2864
98,6025,3124
99,5985,2927
100,6125,3082
101,6102,3024
102,6071,2957
103,5968,2925
104,6098,2906
105,6134,3014
106,6085,3011
107,5941,2953
108,6085,2745
109,6081,3070
110,6039,3018
111,6101,3028
112,6082,3026
113,5934,2768
114,5929,2962
115,5882,2954
116,10460,2725
117,10336,3072
118,10436,2654
119,10442,2692
120,10364,2924
121,10403,2966
122,10487,2853
123,10448,2814
124,10612,2925
125,10425,2811
126,10510,2950
127,10372,2841
128,10594,2978
129,10392,2792
130,10453,2780
131,10441,3022
132,10439,2946
133,10417,2953
134,10431,3041
135,10456,2784
136,10475,3006
137,10419,2933
138,10457,2797
139,10514,2871
140,10497,3062
141,10484,2878
142,10444,2825
143,10428,2719
144,10412,3014
145,10504,3002
146,10372,2822
147,10405,2690
148,10556,3212
149,10460,2806
150,10450,3042
151,10471,3032
152,10429,2943
153,10308,2895
154,10389,2950
155,10477,2932
156,10406,2926
157,10361,2946
158,10543,3028
159,10513,2714
160,10391,2787
161,10494,3152
162,10398,2757
163,10577,3156
164,10465,2864
165,10581,3033
166,10456,3001
167,10507,2722
168,10399,2701
169,10659,3067
170,10471,2933
171,10453,3043
172,10393,2853
173,10416,2603
174,10498,2860
175,10473,3019
176,10482,2953
177,10433,2912
178,10409,2664
179,10451,2783
180,10471,2788
181,10443,2895
182,10457,2753
183,10428,2831
184,10483,2604
185,10481,2897
186,10584,3015
187,10395,2654
188,10412,3021
189,10398,2837
190,10372,2895
191,10454,2967
192,10506,3239
193,10392,2613
194,10480,2972
195,10464,2911
196,10423,2666
197,10399,3038
198,10425,3074
199,10397,2868
200,10463,2992
201,10282,2924
202,10490,3064
203,10372,2970
204,10424,3002
205,10488,2978
206,10290,2890
207,10570,2960
208,10429,3028
209,10415,2959
210,10480,3086
211,10534,2997
212,10392,2828
213,10445,3010
214,10460,2896
215,10578,2976
216,10468,2929
217,10403,13644
218,10565,13595
219,10412,13471
220,10417,13390
221,10456,13322
222,10458,13356
223,10454,13613
224,10445,13531
225,10482,13398
226,10406,13582
227,10290,13261
228,10453,13439
229,10451,13464
230,10430,13642
231,10423,13440
232,10524,13337
233,10433,13437
234,10480,13563
235,10396,13449
236,10568,13502
237,10399,13515
238,10415,13496
239,10517,13377
240,10434,13371
241,10426,13465
242,10447,13206
243,10487,13491
244,10411,13466
245,10311,13310
246,10411,13299
247,10501,13511
248,10375,13444
249,10573,13519
250,10567,13421
251,10370,13438
252,10441,13500
253,10443,13263
254,10577,13337
255,10481,13356
256,10361,13200
257,10398,13422
258,10400,13334
259,10460,13323
260,10520,13422
261,10469,13455
262,10561,13566
263,10472,13330
264,10426,13485
265,10485,13581
266,10523,13830
267,10586,13449
268,10512,13445
269,10440,13053
270,10436,13574
271,10358,13320
272,10405,13509
273,10405,13250
274,10484,13316
275,10372,13486
276,10394,13537
277,10600,13461
278,10380,13360
279,10528,13621
280,10414,13454
281,10436,13451
282,10498,13470
283,10402,13414
284,10467,13419
285,10477,13288
286,10404,13435
287,10462,13616
288,10469,13527
289,10367,13260
290,10455,13289
291,10577,13490
292,10422,13454
293,10513,13589
294,10451,13281
295,10374,13360
296,10384,13410
297,10474,13453
298,10520,13474
299,10473,13427
300,10439,13610
301,10342,13501
302,10455,13306
303,10418,13722
304,10376,13641
305,10526,13566
306,10454,13273
307,10388,13334
308,10483,13494
309,10589,13426
310,10413,13592
311,10530,13585
312,10464,13334
313,10479,13050
314,10510,13580
315,10381,13426
316,10544,13528
317,10410,13386
318,10385,13298
319,10535,13574
320,10482,13358
321,10330,13299
322,10495,13710
323,10501,13523
324,10484,13456
325,10447,13406
326,10405,13444
327,10431,13313
328,10457,13264
329,10465,13589
330,10468,13528
331,10448,13594
332,10443,13628
333,10500,13301
334,10486,13441
335,10372,13463
336,10447,13281
337,10482,13400
338,10401,13475
339,10416,13339
340,10399,13328
341,10566,13439
342,10500,13307
343,10399,13333
344,10405,13707
345,10586,13293
346,10501,13419
347,10340,13429
348,10465,13435
349,10433,13298
350,10400,13426
351,10491,13245
352,10583,13535
353,10495,13202
354,10481,13364
355,10317,13244
356,10299,13371
357,10503,13532
358,10449,13655
359,10500,13589
360,10419,13694
361,10442,13537
362,10407,13534
363,10373,13437
364,10367,13316
365,10423,13384
366,10429,13660
367,10460,13515
368,10519,13487
369,10455,13367
370,10415,13549
371,10591,13659
372,10484,13441
373,10514,13459
374,10466,13450
375,10467,13342
376,10497,13376
377,10418,13347
378,10571,13304
379,10424,13438
380,10402,13449
381,10585,13302
382,10430,13394
383,10430,13591
384,10435,13273
385,10465,13321
386,10506,13594
387,10476,13653
388,10483,13372
389,10377,13145
390,10513,13619
391,10418,13321
392,10462,13424
393,10415,13506
394,10443,13312
395,10582,13458
396,10392,13196
397,10500,13645
398,10401,13616
399,10355,13425
400,10336,13307
401,10492,13530
402,10428,13520
403,10410,13173
404,10404,13456
405,10403,13339
406,10511,13355
407,10503,13233
408,10495,13349
409,10417,13530
410,10434,13233
411,10388,13538
412,10397,13431
413,10503,13333
414,10421,13512
415,10344,13181
416,10457,13421
417,10479,13464
418,10498,13307
419,10486,13522
420,10491,13347
421,10468,13426
422,10418,13564
423,10431,13432
424,10412,13299
425,10379,13385
426,10579,13526
427,10380,13111
428,10431,13459
429,10442,13095
430,10582,13534
431,10421,13270
432,10450,13362
433,10419,13340
434,10425,13732
435,10455,13615
436,10449,13638
437,10460,13298
438,10468,13265
439,10456,13486
440,10420,13350
441,10406,13467
442,10545,13526
443,10576,13316
444,10325,13287
445,10416,13423
446,10425,13229
447,10484,13463
448,10407,13174
