# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:03:37+00:00
# capture_name=noise_2vpp_20260823_200333_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=2e-07
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=705
# firmware_status_timestamp=2026-08-23T20:03:37+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.00404446079e-05
# calibrated_volts_per_div_ch1=0.0205628305569
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=9.85166992743e-06
# calibrated_volts_per_div_ch2=0.0201762200114
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=noise_2vpp_20260823_200333
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=1
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8300,8069
1,8297,8305
2,8147,7922
3,8391,8106
4,8229,8274
5,8271,7928
6,8247,8327
7,8344,8028
8,8191,8157
9,8300,8336
10,8253,7739
11,8147,8200
12,8282,7860
13,8239,8227
14,8326,8310
15,8390,8028
16,8132,7806
17,8351,8040
18,8178,8432
19,8514,8216
20,8118,7977
21,8175,8069
22,8282,8160
23,8165,8073
24,8340,8011
25,8391,7979
26,8257,8119
27,8229,8306
28,8058,7993
29,8421,8396
30,8090,7846
31,8344,8172
32,8257,8084
33,8342,7759
34,8106,8286
35,8319,8202
36,8186,8122
37,8215,8182
38,8344,8250
39,8116,7654
40,8367,8159
41,8138,7897
42,8236,8471
43,8246,8100
44,8254,7750
45,8234,8350
46,8235,8238
47,8222,7950
48,8194,7841
49,8194,8189
50,8233,7886
51,8330,8077
52,8344,8013
53,8134,8320
54,8331,8276
55,8210,8108
56,8350,8147
57,8259,8261
58,8116,7940
59,8364,8128
60,8196,7899
61,8119,8391
62,8280,8271
63,8390,8023
64,8186,8320
65,8406,8444
66,8087,8019
67,8309,8065
68,8266,8138
69,8358,8188
70,8298,8164
71,8160,8042
72,8466,8282
73,8174,8330
74,8300,8061
75,8237,8169
76,8172,7994
77,8310,8074
78,8125,7680
79,8372,8302
80,8260,8088
81,8346,8202
82,8175,7847
83,8166,8177
84,8450,8454
85,8115,8005
86,8393,8256
87,8193,7812
88,8391,8297
89,8226,8288
90,8162,7679
91,8204,8153
92,8339,8016
93,8238,8141
94,8254,7883
95,8222,8136
96,8189,8263
97,8243,8339
98,8210,8135
99,8307,8298
100,8279,8018
101,8283,8146
102,8337,8038
103,8279,8376
104,8238,8192
105,8248,8177
106,8194,8171
107,8250,8230
108,8288,7976
109,8202,7881
110,8382,8135
111,8077,7952
112,8324,8164
113,8122,7674
114,8337,8282
115,8303,8068
116,8196,8155
117,8475,8255
118,8173,8270
119,8217,8090
120,8211,7839
121,8335,8430
122,8216,8057
123,8270,7966
124,8374,8105
125,8103,8431
126,8230,8071
127,8393,8070
128,8107,8046
129,8340,8285
130,8191,8212
131,8440,8169
132,8214,8461
133,8271,8162
134,8268,7959
135,8161,7779
136,8431,8279
137,8266,8605
138,8356,8028
139,8213,8297
140,8196,7779
141,8350,8198
142,8189,7900
143,8269,8208
144,8268,8259
145,8206,7731
146,8329,8298
147,8269,8003
148,8275,8176
149,8405,7938
150,8199,7934
151,8172,8071
152,8253,8041
153,8171,8229
154,8221,8199
155,8341,7982
156,8391,8139
157,8321,8174
158,8149,7949
159,8406,7867
160,8108,8037
161,8286,8196
162,8308,8354
163,8198,8093
164,8273,7941
165,8256,8157
166,8557,8290
167,8164,7783
168,8226,7989
169,8323,8400
170,8182,7969
171,8327,8254
172,8389,8089
173,8221,8181
174,8267,8190
175,8250,8121
176,8137,8057
177,8372,7971
178,8204,8184
179,8153,7995
180,8312,8190
181,8191,8038
182,8381,8300
183,8187,8084
184,8344,8226
185,8260,8142
186,8282,8329
187,8485,8377
188,8276,7809
189,8274,8285
190,8249,7845
191,8175,8153
192,8222,7867
193,8327,8109
194,8097,8099
195,8244,7851
196,8232,8104
197,8392,8353
198,8121,7863
199,8331,8194
200,8293,8160
201,8049,7950
202,8402,8182
203,8277,7894
204,8224,8170
205,8328,7856
206,8100,8185
207,8284,7979
208,8212,8310
209,8385,8180
210,8341,8302
211,8238,7997
212,8266,8218
213,8077,7806
214,8333,7920
215,8328,8328
216,8197,7689
217,8331,8382
218,8312,8024
219,8232,8168
220,8210,8288
221,8228,7863
222,8274,8058
223,8271,8139
224,8124,8194
225,8388,8301
226,8215,7673
227,8260,8274
228,8265,7998
229,8294,8246
230,8217,7714
231,8344,8104
232,8207,7987
233,8250,7889
234,8196,8041
235,8300,7858
236,8105,7792
237,8264,8422
238,8324,8262
239,8165,8039
240,8347,8106
241,8241,8094
242,8414,8187
243,8165,8098
244,8407,8071
245,8261,8192
246,8160,8311
247,8233,8085
248,8256,8084
249,8488,8389
250,8111,8002
251,8426,7818
252,8125,7966
253,8182,8263
254,8180,8115
255,8254,8024
256,8397,8121
257,8186,8141
258,8255,8108
259,8243,7834
260,8238,8032
261,8244,7988
262,8302,8184
263,8116,8003
264,8278,8056
265,8247,7849
266,8237,8136
267,8102,7947
268,8314,8325
269,8280,8022
270,8269,8139
271,8413,8190
272,8308,8289
273,8208,7848
274,8122,7917
275,8167,7933
276,8330,8335
277,8221,7995
278,8293,7682
279,8247,8066
280,8293,8275
281,8255,8090
282,8214,7819
283,8114,7903
284,8240,8077
285,8211,8225
286,8344,7909
287,8124,8220
288,8260,7944
289,8330,8234
290,8181,8205
291,8328,8133
292,8119,8326
293,8328,7973
294,8248,8451
295,8335,8033
296,8178,8018
297,8319,8701
298,8355,8397
299,8257,8385
300,8203,8009
301,8305,8306
302,8149,8031
303,8235,8096
304,8356,8041
305,8186,8043
306,8181,8146
307,8186,7875
308,8218,8264
309,8359,8463
310,8236,8028
311,8198,8069
312,8285,8090
313,8286,7820
314,8288,7730
315,8238,8151
316,8195,8239
317,8194,8098
318,8170,8116
319,8291,7916
320,8458,8150
321,8241,8272
322,8322,7913
323,8124,8437
324,8207,8401
325,8193,7919
326,8320,8154
327,8272,7968
328,8247,8395
329,8300,8149
330,8271,8017
331,8210,8054
332,8267,8301
333,8149,7928
334,8314,8198
335,8333,8332
336,8286,8143
337,8096,8025
338,8346,8128
339,8271,8256
340,8278,7958
341,8337,8162
342,8046,8183
343,8491,8361
344,8101,8160
345,8417,8188
346,8085,8170
347,8224,8179
348,8265,7982
349,8314,7983
350,8326,8230
351,8127,8133
352,8276,8066
353,8304,8199
354,8231,8176
355,8125,7951
356,8473,8117
357,8288,8289
358,8252,8295
359,8322,8021
360,8298,8362
361,8199,7910
362,8222,8333
363,8347,7757
364,8123,7964
365,8312,8280
366,8277,8013
367,8265,8144
368,8168,7807
369,8254,8091
370,8393,8297
371,8299,8026
372,8175,7890
