# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:33:40+00:00
# capture_name=noise_2vpp_20260823_203338_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=2e-07
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=2633
# firmware_status_timestamp=2026-08-23T20:33:40+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.44
# firmware_afe_ch1_offset_pct=51.50
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=45.44
# firmware_afe_ch2_offset_pct=51.50
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=45.4400
# afe_offset_pct_ch1=51.5000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.05
# calibration_volts_per_code_ch1=2.44116517637e-05
# calibrated_volts_per_div_ch1=0.049995062812
# displayed_volts_per_div_ch1=0.05
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=45.4400
# afe_offset_pct_ch2=51.5000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.05
# calibration_volts_per_code_ch2=2.46406002339e-05
# calibrated_volts_per_div_ch2=0.0504639492791
# displayed_volts_per_div_ch2=0.05
# measurement_type=noise
# series_id=noise_2vpp_20260823_203338
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,14176,14584,0.146079324,0.157502717
1,15259,15379,0.172517143,0.177091994
2,15033,15060,0.16700011,0.169231642
3,13813,13949,0.137217895,0.141855936
4,12158,12203,0.0968166109,0.0988334475
5,9641,9416,0.0353724834,0.0301600947
6,6903,6820,-0.0314666191,-0.0338069035
7,4366,4168,-0.0933989796,-0.0991537753
8,2606,2823,-0.136363487,-0.132295383
9,1747,1626,-0.157333096,-0.161790181
10,1913,1810,-0.153280761,-0.157256311
11,3112,3034,-0.124011191,-0.127096216
12,4960,4940,-0.0788984585,-0.080131232
13,7518,6910,-0.0164534533,-0.0315892495
14,9899,9849,0.0416706896,0.0408294746
15,12517,12773,0.105580394,0.11287859
16,14347,14494,0.150253717,0.155285063
17,15255,15367,0.172419496,0.176796307
18,15051,15255,0.167439519,0.174036559
19,13869,13978,0.138584947,0.142570513
20,11898,12058,0.0904695814,0.0952605605
21,9404,9652,0.0295869219,0.0359752763
22,6990,6647,-0.0293428054,-0.0380697274
23,4558,4206,-0.0887119425,-0.0982174325
24,2693,3090,-0.134239673,-0.125716342
25,1819,1646,-0.155575457,-0.161297369
26,1916,1469,-0.153207526,-0.165658755
27,2973,2890,-0.127404411,-0.130644462
28,4905,4802,-0.0802410993,-0.0835316348
29,7470,7091,-0.0176252126,-0.0271293009
30,10146,9923,0.0477003675,0.042652879
31,12415,12583,0.103090405,0.108196876
32,14229,14489,0.147373142,0.15516186
33,15154,15410,0.16995392,0.177855852
34,15146,15272,0.169758626,0.17445545
35,14090,14131,0.143979922,0.146340525
36,11993,12235,0.0927886884,0.0996219467
37,9438,9370,0.0304169181,0.0290266271
38,6908,6719,-0.0313445609,-0.0362956041
39,4587,4499,-0.0880040046,-0.0909977367
40,2707,2896,-0.13389791,-0.130496619
41,1783,1316,-0.156454276,-0.169428767
42,1761,1873,-0.156991332,-0.155703953
43,2968,2706,-0.127526469,-0.135178333
44,5179,4637,-0.0735523068,-0.0875973338
45,7549,7289,-0.0156966921,-0.022250462
46,9978,10016,0.04359921,0.0449444548
47,12490,12638,0.104921279,0.109552109
48,14257,14443,0.148056668,0.154028392
49,15087,15029,0.168318339,0.168467784
50,15019,15089,0.166658347,0.16994622
51,13745,14080,0.135557902,0.145083854
52,12022,12696,0.0934966263,0.110981263
53,9656,9477,0.0357386582,0.0316631713
54,6701,6701,-0.0363977728,-0.0367391349
55,4509,4837,-0.0899081134,-0.0826692138
56,2735,2436,-0.133214384,-0.141831295
57,1741,1453,-0.157479566,-0.166053005
58,1779,1757,-0.156551923,-0.158562263
59,2991,2801,-0.126965001,-0.132837476
60,5110,4723,-0.0752367107,-0.0854782422
61,7400,7489,-0.0193340282,-0.017322342
62,10195,10074,0.0488965385,0.0463736096
63,12491,12573,0.104945691,0.10795047
64,14157,14461,0.145615503,0.154471923
65,15296,15048,0.173420374,0.168935955
66,14980,14866,0.165706292,0.164451366
67,13948,14239,0.140513468,0.14900171
68,11951,12105,0.091763399,0.0964186687
69,9446,9373,0.0306122113,0.0291005489
70,6793,6646,-0.0341519008,-0.038094368
71,4584,4817,-0.0880772396,-0.0831620258
72,2774,2560,-0.132262329,-0.138775861
