# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-09-02T19:15:51+00:00
# capture_name=freq_2vpp_1to100_20MHz_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=9542
# firmware_status_timestamp=2026-09-02T19:15:51+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.00174110947745
# calibrated_volts_per_div_ch1=3.56579220982
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.0017557001818
# calibrated_volts_per_div_ch2=3.59567397232
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_20MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=20000000
# generator_amplitude_vpk=3.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,6046,10979
1,8626,8806
2,10468,5340
3,7842,7532
4,5985,10929
5,8819,8588
6,10619,5237
7,7885,7462
8,5934,11030
9,8648,8762
10,10428,5302
11,7858,7511
12,6046,10922
13,8663,8694
14,10553,5304
15,7820,7522
16,6053,11030
17,8698,8747
18,10413,5295
19,7716,7684
20,6017,10937
21,8603,8957
22,10438,5278
23,7924,7340
24,5994,11001
25,8551,8938
26,10457,5306
27,7875,7539
28,5916,10976
29,8698,8779
30,10507,5341
31,7713,7615
32,6060,10980
33,8700,8742
34,10504,5319
35,7859,7447
36,6020,10979
37,8780,8748
38,10482,5239
39,7889,7413
40,6014,10961
41,8879,8632
42,10586,5315
43,7848,7379
44,6100,11015
45,8846,8599
46,10541,5244
47,7653,7663
48,5973,11004
49,8657,8819
50,10468,5311
51,7930,7485
52,6063,11061
53,8791,8799
54,10468,5213
55,7798,7435
56,5974,11042
57,8679,8809
58,10394,5257
59,7838,7460
60,5978,10982
61,8653,8825
62,10431,5353
63,7673,7651
64,5980,11127
65,8657,8827
66,10488,5344
67,7659,7602
68,6064,11008
69,8754,8694
70,10517,5205
71,7701,7631
72,5925,11090
73,8752,8636
74,10547,5194
75,7961,7483
76,5966,10966
77,8784,8819
78,10409,5244
79,7967,7378
80,6007,11003
81,8772,8700
82,10517,5339
83,7872,7454
84,5993,11001
85,8728,8783
86,10530,5358
87,7875,7399
88,6049,11057
89,8576,8954
90,10449,5300
91,7945,7281
92,5993,11031
93,8760,8634
94,10507,5304
95,7953,7371
96,6045,11037
97,8669,8733
98,10501,5377
99,7992,7363
100,5965,11078
101,8852,8662
102,10486,5284
103,7804,7444
104,5976,10963
105,8640,8930
106,10388,5284
107,7897,7414
108,6003,10991
109,8673,8765
110,10504,5315
111,7808,7485
112,6053,10950
113,8817,8668
114,10508,5229
115,7746,7429
116,5963,11038
117,8689,8875
118,10437,5338
119,7894,7533
120,5977,10909
121,8620,8812
122,10497,5346
123,7847,7598
124,5962,10973
125,8599,8886
126,10494,5266
127,7870,7354
128,6026,10995
129,8776,8771
130,10537,5238
131,7793,7592
132,6002,11031
133,8713,8786
134,10413,5280
135,7824,7385
136,6068,11046
137,8779,8761
138,10585,5179
139,7665,7586
140,6057,11045
141,8677,8954
142,10448,5328
143,7656,7628
144,6108,10947
145,8765,8771
146,10421,5233
147,7878,7449
148,6028,10895
149,8605,8892
150,10471,5274
151,7716,7595
152,6028,10947
153,8548,9024
154,10510,5338
155,7791,7675
156,5972,10995
157,8590,9035
158,10424,5292
159,7874,7446
160,6051,10997
161,8884,8652
162,10537,5187
163,7809,7413
164,6065,11015
165,8617,8826
166,10470,5313
167,7919,7403
168,5964,11016
169,8769,8756
170,10529,5298
171,7877,7425
172,5968,10995
173,8840,8731
174,10539,5323
175,7745,7663
176,6036,11035
177,8657,8742
178,10611,5288
179,7837,7398
180,6063,11057
181,8760,8813
182,10503,5228
183,7756,7600
184,6025,11041
185,8744,8737
186,10444,5293
187,7980,7271
188,5973,11011
189,8636,9058
190,10449,5307
191,7924,7325
192,6020,11016
193,8676,8737
194,10466,5274
195,7918,7395
196,6029,11082
197,8661,8920
198,10352,5269
199,7881,7408
200,6068,11021
201,8680,8768
202,10441,5228
203,7830,7524
204,6044,10999
205,8685,8654
206,10592,5230
207,7812,7470
208,6050,10979
209,8660,9018
210,10501,5357
211,7655,7615
212,5947,10965
213,8630,8827
214,10486,5383
215,7891,7459
216,5969,10986
217,8773,8709
218,10504,5217
219,7938,7262
220,5976,10917
221,8820,8593
222,10521,5247
223,7807,7408
224,6029,10969
225,8669,8852
226,10506,5399
227,7893,7496
228,6060,11032
229,8703,8770
230,10398,5296
231,7847,7499
232,6006,10996
233,8870,8621
234,10610,5284
235,7738,7632
236,6009,11107
237,8760,8614
238,10539,5263
239,7809,7459
240,5993,10959
241,8662,8848
242,10431,5310
243,7938,7403
244,5954,11040
245,8715,8668
246,10518,5295
247,7903,7369
248,6079,11086
249,8582,8995
250,10388,5303
251,7793,7688
252,6029,10971
253,8789,8658
254,10484,5280
255,7923,7416
256,6082,11030
257,8765,8609
258,10509,5308
259,7888,7460
260,6010,10943
261,8802,8689
262,10541,5266
263,7815,7638
264,5973,10956
265,8540,8927
266,10557,5413
267,7753,7452
268,5989,10990
269,8764,8788
270,10494,5255
271,8028,7389
272,6008,11000
273,8666,8747
274,10522,5313
275,7979,7266
276,6008,11001
277,8677,8765
278,10460,5292
279,7861,7399
280,6022,10953
281,8729,8610
282,10527,5337
283,7719,7607
284,5945,11106
285,8818,8681
286,10490,5318
287,7791,7631
288,6025,10970
289,8716,8759
290,10446,5221
291,7992,7379
292,5951,10962
293,8761,8660
294,10421,5211
295,7964,7285
296,5974,10951
297,8775,8811
298,10426,5323
299,7796,7547
300,6030,10903
301,8582,8978
302,10468,5341
303,7684,7630
304,5988,11089
305,8653,8827
306,10394,5314
307,7849,7495
308,6093,11015
309,8632,8857
310,10444,5302
311,7756,7605
312,5988,11097
313,8789,8674
314,10461,5274
315,8019,7344
316,5912,10956
317,8667,8792
318,10484,5283
319,7796,7607
320,5994,10953
321,8655,8740
322,10548,5310
323,7731,7638
324,6027,11088
325,8681,8838
326,10371,5256
327,7714,7587
328,6033,11114
329,8808,8608
330,10364,5254
331,7887,7515
332,6027,10926
333,8614,9026
334,10503,5349
335,7978,7421
336,6016,10982
337,8775,8603
338,10500,5226
339,7980,7369
340,6015,11098
341,8600,8920
342,10436,5277
343,7794,7596
344,5984,10940
345,8638,8843
346,10513,5313
347,7955,7406
348,5926,10956
349,8695,8884
350,10449,5282
351,7895,7419
352,6023,10975
353,8713,8718
354,10508,5350
355,7799,7628
356,6019,10944
357,8704,8805
358,10446,5309
359,7812,7409
360,6020,11042
361,8857,8712
362,10420,5270
363,8044,7250
364,6020,11025
365,8700,8737
366,10445,5303
367,7775,7603
368,6033,11110
369,8536,8812
370,10490,5328
371,7921,7430
372,6010,11010
373,8712,8792
374,10427,5272
375,7941,7275
376,5999,11010
377,8852,8594
378,10595,5243
379,7819,7421
380,6057,11045
381,8687,8745
382,10438,5379
383,8022,7389
384,5985,11067
385,8730,8741
386,10442,5274
387,7862,7386
388,6013,10996
389,8739,8895
390,10426,5260
391,7854,7347
392,5969,11011
393,8726,8801
394,10467,5285
395,7849,7488
396,5980,10945
397,8605,8861
398,10492,5217
399,7949,7355
400,6000,11040
401,8715,8711
402,10604,5291
403,7786,7618
404,5967,10960
405,8761,8624
406,10522,5275
407,7702,7550
408,5982,11050
409,8657,8841
410,10404,5303
411,7876,7540
412,6042,10945
413,8635,8850
414,10408,5328
415,7663,7688
416,5972,11065
417,8603,8811
418,10549,5347
419,7774,7645
420,5930,11035
421,8677,8717
422,10635,5316
423,7752,7592
424,5985,11008
425,8550,9011
426,10392,5303
427,7716,7591
428,6045,11029
429,8569,9055
430,10410,5334
431,8006,7351
432,6096,11011
433,8597,8927
434,10438,5285
435,7922,7498
436,5924,10987
437,8632,8861
438,10489,5278
439,7837,7655
440,5913,11012
441,8722,8820
442,10537,5324
443,7863,7427
444,6030,11037
445,8711,8808
446,10410,5248
447,7991,7289
448,5945,11008
449,8755,8749
450,10558,5320
451,7716,7557
452,5988,11118
453,8846,8707
454,10450,5313
455,7929,7373
456,5970,10973
457,8607,8859
458,10479,5312
459,7861,7361
460,6110,11021
461,8831,8692
462,10568,5298
463,7738,7566
464,5943,10995
465,8795,8669
466,10566,5272
467,7770,7631
468,5924,11015
469,8652,8957
470,10451,5303
471,7777,7521
472,5912,11010
473,8700,8900
474,10436,5283
475,7876,7460
476,6088,10998
477,8678,8782
478,10516,5325
479,7889,7492
480,5961,10930
481,8705,8699
482,10540,5339
483,7903,7326
484,6090,10987
485,8759,8636
486,10510,5329
487,7956,7442
488,5992,10931
489,8840,8663
490,10578,5296
491,7794,7610
492,5952,11026
493,8698,8822
494,10533,5405
495,7858,7465
496,6003,10937
497,8730,8886
498,10374,5270
499,7958,7411
500,6022,10947
501,8584,8942
502,10454,5319
503,7914,7403
504,5922,10976
505,8748,8803
506,10424,5306
507,7888,7491
508,6035,10963
509,8652,8819
510,10449,5292
511,7900,7386
512,6093,10979
513,8633,8760
514,10466,5328
515,7944,7304
516,6102,11021
517,8659,8945
518,10388,5239
519,7846,7405
520,6011,11079
521,8584,8841
522,10557,5386
523,7751,7644
524,5985,10949
525,8600,8895
526,10494,5281
527,7912,7418
528,6034,11043
529,8724,8830
530,10458,5233
531,8016,7339
532,5967,10968
533,8660,8764
534,10496,5278
535,7958,7398
536,5948,10934
537,8671,8842
538,10366,5340
539,7947,7291
540,6004,10971
541,8660,8807
542,10502,5343
543,7690,7621
544,5981,11019
545,8775,8576
546,10550,5354
547,7860,7399
548,5941,10995
549,8639,8813
550,10520,5336
551,7828,7533
552,6082,10918
553,8687,8773
554,10433,5263
555,7793,7440
556,5965,11066
557,8578,8872
558,10404,5379
559,7751,7548
560,6076,10998
561,8694,8749
562,10471,5337
563,7970,7362
564,6021,10996
565,8800,8737
566,10569,5258
567,7851,7383
568,5989,10983
569,8529,8993
570,10470,5292
571,7959,7315
572,6011,11037
573,8785,8756
574,10513,5312
575,7841,7453
576,5994,11008
577,8828,8653
578,10509,5292
579,7804,7383
580,5985,10976
581,8641,8814
582,10505,5379
583,7999,7504
584,5950,10982
585,8644,8893
586,10430,5242
587,7862,7422
588,6049,11004
589,8713,8829
590,10564,5334
591,7785,7471
592,6059,10881
593,8747,8737
594,10371,5234
595,7823,7422
596,6030,11042
597,8773,8740
598,10446,5318
599,7914,7351
600,6031,10965
601,8712,8818
602,10492,5307
603,7757,7614
604,6033,11105
605,8738,8814
606,10419,5271
607,7919,7338
608,6071,11063
609,8756,8637
610,10477,5194
611,8036,7278
612,6058,11030
613,8670,8756
614,10537,5269
615,7996,7388
616,5880,10979
617,8581,8983
618,10479,5303
619,7874,7442
620,6031,11021
621,8614,8913
622,10466,5319
623,7681,7583
624,6034,11010
625,8528,8955
626,10443,5299
627,7931,7349
628,6026,10974
629,8808,8686
630,10496,5187
631,7984,7447
632,5913,10967
633,8792,8695
634,10551,5275
635,7888,7443
636,5966,10906
637,8785,8846
638,10446,5324
639,7905,7377
640,6039,11018
641,8568,8951
642,10442,5386
643,7788,7638
644,5988,11065
645,8820,8619
646,10540,5256
647,8050,7365
648,5883,10925
649,8711,8899
650,10466,5263
651,7926,7467
652,5914,10926
653,8711,8805
654,10504,5308
655,7821,7488
656,6000,10983
657,8679,8793
658,10465,5315
659,7684,7554
660,5955,11102
661,8697,8723
662,10611,5283
663,7717,7579
664,6012,10989
665,8562,9086
666,10451,5369
667,7839,7457
668,6055,11026
669,8620,8838
670,10489,5254
671,7896,7446
672,5988,11001
673,8655,8683
674,10457,5328
675,7968,7347
676,6093,11106
677,8607,8934
678,10448,5354
679,7720,7606
680,6052,10947
681,8603,9025
682,10392,5260
683,7932,7490
684,6036,10965
685,8538,8949
686,10422,5311
687,7777,7606
688,6004,11011
689,8623,8847
690,10511,5348
691,7892,7429
692,6002,10989
693,8754,8619
694,10537,5162
695,7764,7647
696,5965,10906
697,8580,8902
698,10545,5413
699,7849,7413
700,5907,11028
701,8611,9077
702,10386,5308
703,7931,7378
704,6132,11061
705,8680,8778
706,10447,5275
707,7867,7534
708,5979,10922
709,8715,8730
710,10552,5259
711,7784,7410
712,6000,11011
713,8836,8649
714,10464,5266
715,7798,7375
716,6057,11006
717,8563,8845
718,10465,5296
719,7891,7486
720,5974,10973
721,8717,8875
722,10459,5265
723,7786,7476
724,5957,10977
725,8713,8743
726,10593,5353
727,7678,7540
728,6002,10965
729,8558,8999
730,10436,5233
731,7860,7432
732,6053,11017
733,8570,8880
734,10503,5311
735,7839,7430
736,5981,10950
737,8714,8778
738,10374,5357
739,7893,7354
740,6014,11039
741,8731,8606
742,10545,5285
743,7932,7280
744,6009,11046
745,8852,8622
746,10567,5235
747,7707,7604
748,6030,10953
749,8563,8891
750,10455,5228
751,7905,7425
752,5942,10983
753,8818,8751
754,10532,5250
755,7808,7641
756,5953,10890
757,8650,8741
758,10596,5303
759,7863,7432
760,5907,10982
761,8737,8838
762,10411,5316
763,7968,7344
764,6086,11006
765,8785,8597
766,10560,5295
767,7802,7464
768,5972,11011
769,8573,8987
770,10480,5374
771,7766,7583
772,5980,11021
773,8617,8855
774,10485,5382
775,7785,7643
776,5972,11032
777,8554,8846
778,10404,5257
779,7714,7678
780,6018,10944
781,8680,8911
782,10451,5266
783,7875,7492
784,6015,10971
785,8728,8889
786,10359,5247
787,7954,7470
788,6086,10975
789,8681,8757
790,10562,5328
791,7980,7344
792,6005,11031
793,8528,9061
794,10406,5342
795,7722,7602
796,5962,11179
797,8621,8867
798,10517,5297
799,7950,7420
800,5935,10986
801,8661,8813
802,10465,5347
803,7732,7626
804,6033,10957
805,8574,8924
806,10431,5265
807,7803,7499
808,6013,11033
809,8517,9049
810,10454,5315
811,7902,7388
812,6001,11033
813,8739,8701
814,10454,5287
815,7864,7456
816,5998,10954
817,8675,8831
818,10475,5238
819,7857,7508
820,5969,10951
821,8655,8837
822,10499,5372
823,7737,7690
824,5982,10965
825,8752,8682
826,10475,5302
827,7760,7509
828,6089,10986
829,8713,8699
830,10528,5366
831,7858,7452
832,5930,11018
833,8599,8989
834,10400,5280
835,7898,7474
836,6014,10940
837,8639,8828
838,10469,5382
839,7759,7668
840,5980,11101
841,8660,8824
842,10522,5346
843,7699,7606
844,5968,10986
845,8680,8871
846,10559,5254
847,7818,7466
848,6005,10992
849,8839,8647
850,10544,5189
851,7857,7415
852,6045,11021
853,8622,8978
854,10467,5285
855,7810,7529
856,5987,10943
857,8827,8613
858,10388,5252
859,7966,7367
860,6028,11083
861,8622,8938
862,10485,5305
863,7812,7526
864,5944,10964
865,8629,8865
866,10429,5309
867,7862,7484
868,6116,11021
869,8618,9003
870,10501,5374
871,7702,7629
872,6025,10967
873,8552,8967
874,10366,5289
875,7899,7450
876,6046,11061
877,8636,8936
878,10396,5322
879,7909,7386
880,6079,11033
881,8838,8572
882,10573,5255
883,7833,7504
884,5965,10943
885,8730,8636
886,10500,5218
887,7928,7320
888,5998,10999
889,8811,8670
890,10524,5280
891,7921,7383
892,5953,10933
893,8715,8852
894,10527,5341
895,7694,7620
896,5938,11052
897,8852,8654
898,10444,5270
899,7836,7456
900,6111,11003
901,8565,9025
902,10517,5322
903,7846,7523
904,5926,10948
905,8702,8709
906,10497,5326
907,7787,7486
908,5993,10975
909,8589,8970
910,10439,5344
911,7854,7437
912,6069,11000
913,8745,8698
914,10501,5314
915,7760,7430
916,5993,11001
917,8631,8896
918,10533,5269
919,7860,7510
920,5927,10929
921,8590,8977
922,10459,5325
923,7729,7522
924,6026,10962
925,8582,8886
926,10403,5285
927,7868,7446
928,6096,11097
929,8709,8731
930,10471,5331
931,7897,7477
932,6065,11010
933,8624,8908
934,10451,5300
935,7682,7557
936,6038,11058
937,8784,8661
938,10454,5289
939,7979,7340
940,6030,11050
941,8647,9116
942,10484,5363
943,7884,7477
944,5946,10972
945,8787,8613
946,10537,5244
947,7729,7709
948,6034,10925
949,8588,8745
950,10531,5318
951,7676,7653
952,5976,10923
953,8780,8702
954,10520,5352
955,7751,7424
956,6069,11027
