# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-09-02T19:08:02+00:00
# capture_name=freq_2vpp_1to100_2p002MHz_02.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=9288
# firmware_status_timestamp=2026-09-02T19:08:02+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.00174110947745
# calibrated_volts_per_div_ch1=3.56579220982
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.0017557001818
# calibrated_volts_per_div_ch2=3.59567397232
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_2p002MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=2001953
# generator_amplitude_vpk=3.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=2
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,6148,5586
1,6437,5753
2,6693,5815
3,7165,6030
4,7422,6094
5,7821,6493
6,8267,6687
7,8671,7111
8,9081,7463
9,9441,7858
10,9801,8225
11,10035,8581
12,10398,8947
13,10611,9409
14,10683,9544
15,10741,9953
16,10790,9993
17,10896,10436
18,10717,10524
19,10531,10598
20,10310,10603
21,10071,10638
22,9747,10503
23,9428,10319
24,8986,10127
25,8645,9879
26,8232,9589
27,7866,9262
28,7448,8778
29,7081,8445
30,6744,8212
31,6340,7757
32,6161,7313
33,5926,6914
34,5764,6656
35,5686,6419
36,5649,6103
37,5674,5925
38,5841,5751
39,5958,5788
40,6089,5644
41,6555,5731
42,6807,5834
43,7048,5893
44,7493,6232
45,7869,6509
46,8254,6777
47,8796,7072
48,9104,7474
49,9381,7823
50,9793,8234
51,10212,8654
52,10371,8983
53,10503,9289
54,10709,9592
55,10793,9991
56,10784,10034
57,10852,10504
58,10709,10552
59,10527,10488
60,10385,10654
61,10062,10628
62,9763,10494
63,9362,10280
64,9077,10139
65,8690,9817
66,8230,9521
67,7806,9296
68,7438,8919
69,7020,8397
70,6730,8163
71,6362,7540
72,6078,7290
73,5886,6922
74,5810,6715
75,5672,6289
76,5678,6194
77,5713,5837
78,5823,5725
79,5953,5696
80,6215,5621
81,6353,5697
82,6720,5795
83,7202,6018
84,7491,6122
85,7770,6361
86,8362,6806
87,8742,7037
88,9105,7544
89,9429,7873
90,9826,8335
91,10171,8434
92,10368,9013
93,10577,9315
94,10716,9637
95,10805,9989
96,10850,10137
97,10826,10386
98,10712,10608
99,10567,10624
100,10318,10790
101,10044,10590
102,9762,10590
103,9293,10224
104,9079,10073
105,8558,9879
106,8221,9478
107,7923,9210
108,7364,8841
109,7013,8523
110,6731,7978
111,6402,7691
112,6140,7240
113,5947,7056
114,5718,6562
115,5693,6359
116,5670,6150
117,5734,5860
118,5815,5819
119,6001,5714
120,6187,5639
121,6493,5747
122,6728,5756
123,7103,6058
124,7608,6226
125,7861,6374
126,8310,6767
127,8745,7123
128,9054,7473
129,9497,7904
130,9828,8067
131,10124,8588
132,10363,9031
133,10538,9323
134,10669,9542
135,10847,9955
136,10848,10270
137,10771,10421
138,10786,10549
139,10556,10520
140,10246,10542
141,10107,10630
142,9724,10362
143,9393,10278
144,9014,10127
145,8586,9845
146,8159,9517
147,7796,9204
148,7438,8723
149,7026,8304
150,6665,8285
151,6285,7623
152,6115,7293
153,5924,7091
154,5609,6504
155,5708,6275
156,5700,6045
157,5716,6008
158,5797,5685
159,5972,5871
160,6178,5715
161,6510,5759
162,6872,5888
163,7145,5924
164,7457,6176
165,7941,6540
166,8271,6717
167,8722,7167
168,9105,7451
169,9457,7939
170,9808,8093
171,10170,8708
