# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-09-02T18:58:15+00:00
# capture_name=freq_2vpp_1to100_996kHz_07.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=8846
# firmware_status_timestamp=2026-09-02T18:58:15+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.00174110947745
# calibrated_volts_per_div_ch1=3.56579220982
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.0017557001818
# calibrated_volts_per_div_ch2=3.59567397232
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_996kHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=996094
# generator_amplitude_vpk=3.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=7
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,6406,6062
1,6303,6126
2,6223,6282
3,6118,6490
4,5855,6533
5,5886,6723
6,5791,6902
7,5779,7088
8,5651,7056
9,5691,7385
10,5691,7570
11,5682,7692
12,5731,7944
13,5673,8189
14,5754,8318
15,5867,8450
16,5937,8697
17,6032,8822
18,6060,9042
19,6366,9315
20,6449,9192
21,6473,9465
22,6787,9766
23,6825,9792
24,6983,10059
25,7283,10085
26,7496,10249
27,7550,10219
28,7790,10394
29,7992,10456
30,8243,10605
31,8474,10585
32,8584,10477
33,8902,10743
34,8904,10485
35,9247,10514
36,9442,10527
37,9547,10517
38,9657,10430
39,9886,10411
40,10016,10205
41,10209,10130
42,10356,10094
43,10400,9882
44,10647,9774
45,10660,9655
46,10673,9525
47,10650,9296
48,10855,9037
49,10779,8930
50,10825,8710
51,10879,8695
52,10839,8410
53,10769,8163
54,10690,7987
55,10643,7766
56,10501,7526
57,10584,7517
58,10320,7140
59,10245,7103
60,10043,6845
61,10010,6743
62,9804,6581
63,9654,6437
64,9490,6385
65,9256,6238
66,9099,6033
67,8921,5898
68,8629,5862
69,8541,5784
70,8341,5753
71,8037,5658
72,7850,5808
73,7717,5640
74,7586,5724
75,7236,5662
76,7148,5698
77,6860,5755
78,6797,5974
79,6572,5946
80,6479,6029
81,6363,6103
82,6131,6262
83,6148,6352
84,5987,6479
85,5889,6675
86,5770,6835
87,5826,6978
88,5683,6932
89,5637,7452
90,5659,7592
91,5619,7651
92,5730,7976
93,5671,8058
94,5855,8304
95,5822,8417
96,5959,8689
97,6028,8919
98,6064,8998
99,6226,9243
100,6352,9216
101,6587,9626
102,6628,9643
103,6793,9838
104,7036,9979
105,7170,10017
106,7324,10131
107,7596,10461
108,7753,10404
109,7933,10482
110,8217,10563
111,8248,10502
112,8598,10668
113,8724,10541
114,8924,10537
115,9247,10605
116,9360,10523
117,9508,10505
118,9648,10533
119,9837,10316
120,9972,10292
121,10178,10189
122,10259,10082
123,10301,9959
124,10573,9839
125,10557,9661
126,10668,9513
127,10712,9450
128,10792,9171
129,10844,9017
130,10741,8724
131,10882,8662
132,10744,8386
133,10793,8248
134,10734,8127
135,10638,7806
136,10540,7644
137,10515,7607
138,10396,7313
139,10243,7092
140,10179,7143
141,9955,6696
142,9848,6629
143,9721,6483
144,9494,6323
145,9310,6237
146,9145,6114
147,8956,5886
148,8909,5977
149,8526,5838
150,8383,5818
151,8137,5704
152,7975,5774
153,7776,5589
154,7473,5624
155,7395,5678
156,7276,5785
157,6882,5672
158,6906,5885
159,6737,5920
160,6556,6013
161,6311,6006
162,6280,6251
163,6089,6317
164,6145,6524
165,5846,6534
166,5871,6732
167,5728,6935
168,5717,7000
169,5669,7305
170,5690,7450
171,5668,7712
