# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:20:01+00:00
# capture_name=freq_2vpp_1to100_14p502MHz_09.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5659
# firmware_status_timestamp=2026-08-24T00:20:01+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_14p502MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=14501953.125
# generator_amplitude_vpk=2.8
# generator_offset_v=0.001
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8506,8039
1,3866,2811
2,4723,3550
3,9169,8913
4,12626,13067
5,11342,11110
6,6290,5482
7,3615,2481
8,6701,6011
9,11279,11483
10,12466,12853
11,8488,8348
12,4355,2997
13,4572,3541
14,8958,8738
15,12556,12877
16,11245,11060
17,6179,5432
18,3725,2574
19,6464,5643
20,11155,11188
21,12567,12866
22,8647,8364
23,4447,3418
24,4378,3311
25,8683,8525
26,12894,13025
27,11251,11282
28,6366,5580
29,3853,2365
30,6047,5469
31,11139,11399
32,12771,13051
33,8853,8430
34,4532,3785
35,4185,3259
36,8980,8514
37,12385,12869
38,11515,11478
39,6632,5618
40,3541,2508
41,6359,5481
42,10604,10981
43,12699,12986
44,9359,8722
45,4468,3696
46,4421,3261
47,8537,8182
48,12315,12708
49,11652,11499
50,6388,5849
51,3814,2444
52,6106,5258
53,11145,11036
54,12484,12890
55,9322,9149
56,4884,3635
57,3835,2990
58,8528,7941
59,12544,12784
60,11810,11999
61,6968,6308
62,3557,2349
63,6127,5405
64,10470,10625
65,12566,12974
66,9561,9257
67,4807,3604
68,4153,3093
69,8150,7797
70,12224,12633
71,11972,11986
72,6918,6115
73,3587,2574
74,5665,4809
75,10472,10480
76,12754,13011
77,9745,9504
78,4917,4006
79,3972,2822
80,8126,7737
81,12164,12403
82,12233,12117
83,7074,6368
84,3790,2654
85,4954,4346
86,10577,10452
87,12818,13057
88,9896,9470
89,4894,4125
90,4076,2814
91,8145,7436
92,12361,12520
93,11987,12416
94,7365,6852
95,3782,2400
96,5396,4705
97,10440,10250
98,12803,13180
99,10058,9641
100,5229,4366
101,3815,2672
102,7873,7179
103,11988,12288
104,12169,12381
105,7458,7025
106,3837,2587
107,5384,4416
108,10325,10070
109,12760,13045
110,10036,10076
111,5390,4532
112,4055,2841
113,7044,6998
114,12499,12472
115,12125,12344
116,7566,7096
117,3627,2700
118,5452,4501
119,9735,9941
120,12962,13163
121,10146,10048
122,5360,4837
123,3730,2771
124,7287,6738
125,12097,12286
126,12261,12493
127,7798,7265
128,4245,2811
129,4953,4046
130,9902,9825
131,12944,13288
132,10138,10086
133,5854,4830
134,3962,2697
135,7091,6665
136,11328,11777
137,12635,12646
138,7930,7476
139,4077,2836
140,4740,3823
141,9774,9642
142,12662,13277
143,10736,10557
144,5590,4734
145,3563,2535
146,6875,6365
147,11558,11866
148,12882,12714
149,8052,7451
150,4067,2930
151,4767,3809
152,9608,9203
153,12489,13124
154,10989,10873
155,5692,4934
156,3648,2508
157,6847,6291
158,11372,11685
159,12446,12713
160,8522,7914
161,4198,3094
162,4583,3733
163,9478,9135
164,12725,13090
165,11023,10955
166,5925,5176
167,3457,2300
168,7031,6410
169,11348,11523
170,12703,12827
171,8746,8318
