# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:07:35+00:00
# capture_name=freq_2vpp_1to100_2p002MHz_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5245
# firmware_status_timestamp=2026-08-24T00:07:35+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_2p002MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=2001953.125
# generator_amplitude_vpk=2.8
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,9094,8866
1,8185,7674
2,6913,6704
3,5852,5499
4,5276,5038
5,4497,4246
6,3476,3542
7,3201,2921
8,2305,2384
9,2356,2179
10,1779,1813
11,1730,1878
12,1986,2017
13,2116,2058
14,2511,2439
15,3291,3004
16,4129,3835
17,4455,4412
18,5404,5258
19,6374,5865
20,7604,7171
21,8740,7978
22,9208,8838
23,10088,9615
24,11350,10501
25,12175,11499
26,12875,11959
27,13654,12987
28,14012,13222
29,14422,13602
30,14526,13617
31,14496,13868
32,14619,13783
33,14264,13403
34,13783,13044
35,13248,12446
36,12619,11880
37,11721,11124
38,11122,10444
39,9806,9370
40,9146,8618
41,7733,7628
42,7065,6634
43,6155,5842
44,5245,4890
45,4180,4084
46,3602,3422
47,2927,2827
48,2452,2394
49,1920,2136
50,1992,1818
51,2022,1970
52,1766,1809
53,2082,2190
54,2700,2406
55,3036,2849
56,4037,3796
57,4673,4477
58,5498,5197
59,6600,6094
60,7408,7009
61,8625,7979
62,9391,9104
63,10408,9842
64,11344,10616
65,12229,11488
66,12840,12021
67,13659,12877
68,13719,13242
69,14255,13442
70,14787,13764
71,14311,13905
72,14618,13879
73,14328,13517
74,13902,13176
75,12867,12290
76,12825,11974
77,11574,11030
78,11152,10440
79,10065,9604
80,8968,8656
81,7753,7509
82,7385,6781
83,5917,5748
84,5153,4941
85,4283,4135
86,3403,3435
87,2963,2843
88,2709,2406
89,1989,1953
90,1728,1835
91,2001,1720
92,2124,1982
93,2208,2097
94,2619,2452
95,3078,3113
96,3825,3677
97,4961,4604
98,5605,5582
99,6272,6053
100,7806,7249
101,8232,7945
102,9936,9125
103,10381,10069
104,11262,10688
105,12044,11473
106,12897,12105
107,13710,12853
108,14296,13410
109,14276,13651
110,14503,13698
111,14362,13714
112,14561,13714
113,14235,13395
114,14019,12968
115,13266,12669
116,12508,11896
117,11914,11127
118,10855,10352
119,10126,9334
120,8935,8514
121,8045,7498
122,6919,6481
123,5823,5707
124,4995,4729
125,4325,4201
126,3558,3397
127,2874,2837
128,2438,2288
129,2381,2074
130,1988,1848
131,1913,1724
132,2006,1965
133,2393,2252
134,2483,2579
135,3381,3156
136,3913,3920
137,4909,4541
138,5574,5395
139,6561,6211
140,7431,7120
141,8602,7960
142,9396,9017
143,10579,9907
144,11338,10605
145,12248,11643
146,13030,12393
147,13572,12683
148,14213,13393
149,14509,13645
150,14242,13719
151,14813,13842
152,14203,13589
153,14242,13421
154,13623,13018
155,13510,12685
156,12565,11908
157,11862,11159
158,10887,10390
159,9793,9347
160,9159,8600
161,7843,7621
162,7011,6541
163,6152,5788
164,4790,4732
165,4299,4014
166,3421,3418
167,2838,2756
168,2526,2301
169,2036,1979
170,1957,1825
171,1948,1853
172,1932,1711
173,2201,2193
174,2796,2588
175,3293,3088
176,3516,3658
177,4967,4484
178,5432,5253
179,6870,6165
180,7491,7184
181,8772,8094
182,9531,9126
183,10441,9905
184,11501,10746
185,12187,11487
186,12932,12224
187,13702,13065
188,14073,13429
189,14473,13765
190,14553,13600
191,14697,13706
192,14114,13707
193,13958,13345
194,14170,13130
195,13139,12597
196,12483,11642
197,11620,11221
198,10747,10265
199,9770,9323
200,9343,8547
201,7849,7420
202,6711,6528
203,5779,5714
204,5052,4837
205,4315,4138
206,3739,3438
207,2704,2681
208,2369,2229
209,2217,2027
210,1906,1916
211,1998,1869
212,2060,2071
213,2108,2158
214,2623,2580
215,3355,3326
216,3868,3590
217,4645,4561
218,5660,5180
219,6883,6343
220,7626,7213
221,8901,8219
222,9272,8873
223,10556,10236
224,11459,10697
225,12393,11679
226,12844,12252
227,13742,12907
228,14006,13440
229,14530,13693
230,14385,13740
231,14746,13908
232,14236,13673
233,13883,13235
234,14039,12862
235,13339,12654
236,12483,11719
237,11618,11017
238,10730,10209
239,9876,9350
240,8699,8209
241,7892,7416
242,6644,6556
243,5628,5604
244,5098,4904
245,4130,3844
246,3503,3257
247,2801,2880
248,2227,2321
249,2034,2033
250,1630,1708
251,1821,1817
252,1982,2058
253,2567,2148
254,2654,2598
255,3242,3261
256,3788,3661
257,4883,4661
258,5600,5309
259,6707,6241
260,7712,7258
261,8556,8218
262,9505,9044
263,10839,10061
264,11362,10876
265,12357,11548
266,12995,12345
267,13678,12859
268,14307,13425
269,14660,13706
270,14309,13694
271,14667,13718
272,14393,13678
273,14235,13383
274,13685,13057
275,13114,12585
276,12388,11847
277,11647,11085
278,10839,10101
279,9603,9107
280,8899,8445
281,7664,7349
282,6886,6422
283,6007,5683
284,5036,4834
285,3696,3909
286,3366,3177
