# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:31:47+00:00
# capture_name=freq_2vpp_1to100_35MHz_05.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5980
# firmware_status_timestamp=2026-08-24T00:31:47+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_35MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=35000000
# generator_amplitude_vpk=2.8
# generator_offset_v=0.001
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=5
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8570,6268
1,8212,9297
2,7987,7295
3,8308,7096
4,8388,9018
5,7981,5958
6,8567,10105
7,7954,5421
8,8436,9897
9,7723,6836
10,8199,8267
11,7981,8096
12,8501,6432
13,8173,9621
14,8003,5621
15,8319,10107
16,8120,5903
17,8466,9259
18,8204,7384
19,8392,7481
20,8353,9274
21,8238,5800
22,8206,9962
23,7949,5466
24,8357,9736
25,8056,6533
26,8411,8345
27,8104,8706
28,8183,6517
29,8286,9599
30,8014,5572
31,8713,10181
32,8152,5886
33,8013,8874
34,8343,7391
35,8303,7259
36,7835,8945
37,8381,6079
38,8537,10003
39,7701,5399
40,8798,9816
41,7751,6356
42,8616,8455
43,8305,8400
44,8064,6266
45,8182,9701
46,7736,5446
47,8469,10043
48,8084,6061
49,8841,9353
50,7925,7622
51,8544,7420
52,8125,9072
53,8177,5941
54,8266,10092
55,7794,5400
56,8687,9805
57,7822,6761
58,8470,8466
59,8442,8251
60,8157,6431
61,8306,9682
62,8139,5595
63,8367,10070
64,8102,5815
65,8606,9098
66,8131,7103
67,8146,7278
68,7982,9020
69,7993,5803
70,8411,10098
71,8110,5502
72,8567,9909
73,7945,6397
74,8166,8141
75,8328,8069
76,8281,6510
77,8045,9800
78,8426,5708
79,8327,10057
80,7884,6012
81,8362,8866
82,8344,7291
83,7972,7228
84,8334,9316
85,8169,5933
86,8448,10085
87,7793,5469
88,8824,9690
89,7662,6429
90,8440,8111
91,8430,8290
92,8253,6436
93,8485,9847
94,8120,5650
95,8161,9976
96,8469,5992
97,8012,8790
98,8315,7204
99,8328,7389
100,8069,9013
101,8200,6055
102,8527,10131
103,7794,5569
104,8685,9782
105,7904,6760
106,8399,8426
107,8426,8740
108,8270,6657
109,8403,9822
110,8019,5439
111,8348,10006
112,8129,5961
113,8239,8899
114,8013,7347
115,8705,7641
116,8184,9020
117,7702,5755
118,8279,10181
119,8118,5703
120,8652,9760
121,8108,6682
122,8399,7973
123,8315,8430
124,8243,6625
125,8035,9608
126,7909,5461
127,8374,10133
128,8314,6017
129,8617,9103
130,8018,7213
131,7999,7310
132,8324,9136
133,8140,5876
134,8361,10018
135,8005,5483
136,8528,9506
137,7959,6525
138,8204,8139
139,8095,8312
140,8391,6563
141,8462,9712
142,7935,5451
143,8557,10159
144,7923,6175
145,8520,9306
146,8364,7595
147,8105,7026
148,8404,9169
149,8193,6007
150,8432,9827
151,7828,5787
152,8475,9754
153,8086,6426
154,8632,8259
155,8023,8112
156,7991,6346
157,8192,9796
158,8063,5423
159,8364,10037
160,8034,5895
161,8726,9311
162,8009,7227
163,8322,7182
164,8229,9337
165,7905,5952
166,8350,10063
167,8325,5487
168,8377,9776
169,7998,6793
170,8567,8430
171,8078,8156
172,8371,6418
173,8291,9682
174,8024,5347
175,8337,9999
176,8164,5856
177,8217,9079
178,8115,7242
179,8420,7400
180,8146,9009
181,8329,5972
182,8169,10128
183,8332,5522
184,8112,9485
185,8002,6978
186,8441,8318
187,8109,8272
188,8128,6440
189,8542,9943
190,8082,5574
191,8519,10174
192,8176,5872
193,8049,8923
194,8074,7594
195,8536,7203
196,7971,9051
197,8250,6068
198,8337,9848
199,8125,5368
200,8105,9621
201,8077,6542
202,8371,8530
203,8124,8586
204,8191,6818
205,8139,9626
206,7719,5421
207,8360,9894
208,8205,5770
209,8334,8905
210,8153,7320
211,8248,7382
212,8168,9085
213,8142,5809
214,8380,10181
215,7955,5531
216,8680,9887
217,8078,6918
218,8318,8277
219,8107,8388
220,8371,6454
221,8248,9589
222,7990,5645
223,8258,9967
224,8291,6013
225,8390,9271
226,8460,7544
227,8297,7180
228,8049,9115
229,8379,6080
230,8334,10087
231,7788,5399
232,8377,9694
233,7970,6340
234,8831,8447
235,7995,8285
236,8049,6315
237,8397,9744
238,8482,5752
239,8203,10056
240,8306,6046
241,8229,8921
242,8117,7316
243,7954,7152
244,8224,9250
245,8200,6017
246,8805,10317
247,7721,5303
248,8358,9628
249,8015,6872
250,8129,8009
251,8275,8468
252,8225,6597
253,8641,9938
254,7818,5511
255,8464,10276
256,8123,5788
257,8781,9054
258,7987,7293
259,8195,7219
260,8058,9217
261,8260,5693
262,8572,10209
263,8150,5550
264,8508,9651
265,8027,6648
266,8247,7998
267,8344,8576
268,8293,6612
269,8330,9731
270,7973,5375
271,8369,10133
272,7896,5962
273,8185,8746
274,8069,7358
275,8138,7075
276,8445,9273
277,8268,5801
278,8267,10008
279,7940,5524
280,8553,9779
281,8028,6746
282,8745,8526
283,8102,8717
284,8111,6609
285,8218,9872
286,8197,5549
287,8560,9915
288,8002,5845
289,8332,8880
290,8138,7352
291,8341,7136
292,8163,9015
293,8096,5736
294,8088,10064
295,7861,5493
296,8418,9719
297,8392,6521
298,8343,8219
299,7983,8360
300,8330,6409
301,8419,9706
302,7953,5686
303,8381,9990
304,8087,5778
305,8350,9129
306,8052,7599
307,8496,7587
308,8269,8974
309,8121,5810
310,8366,10062
311,7857,5551
312,8418,9658
313,7969,6625
314,8226,8298
315,8177,8181
316,8060,6369
317,8534,9818
318,7925,5546
319,8295,10207
320,8145,6022
321,8900,9497
322,8043,7547
323,8423,7223
324,8166,8941
325,8146,5928
326,8333,10012
327,7960,5555
328,8654,9949
329,8149,6481
330,8239,8072
331,8254,8164
332,8285,6582
333,8365,9864
334,7849,5568
335,8555,10255
336,7932,6133
337,8637,8957
338,8126,7268
339,7943,7383
340,8278,8998
341,8230,5736
342,8722,10151
343,7977,5589
344,8125,9570
345,7863,6371
346,8270,8023
347,7880,8115
348,8444,6578
349,8152,9708
350,8076,5380
351,8566,10128
352,7921,6052
353,8376,9149
354,8235,7501
355,8288,7380
356,7788,9109
357,8321,5931
358,8319,10073
359,8120,5639
360,8304,9674
361,7942,6566
362,8241,8215
363,8247,8192
364,8317,6393
365,8120,9578
366,8084,5538
367,8048,10049
368,8378,5878
369,8248,9002
370,8218,7337
371,7876,7024
372,8209,9124
373,8065,5917
374,8505,10229
375,7902,5383
376,8537,9717
377,7781,6465
378,8668,8372
379,7835,8188
380,8509,6505
381,8064,9488
382,8244,5654
383,8131,10057
384,8141,6062
385,8619,9259
386,7956,7170
387,7931,7147
388,8375,9241
389,7989,5937
390,8486,10173
391,7859,5320
392,8469,9511
393,8323,6745
394,8119,7995
395,8099,8329
396,8050,6334
397,8365,9809
398,8231,5714
399,8262,10013
400,8203,5900
401,8189,8957
402,8277,7559
403,8284,7353
404,8298,9222
405,8113,5796
406,8390,10090
407,8273,5574
408,8533,9650
409,7912,6600
410,8117,8109
411,8408,8263
412,8320,6496
413,8473,9809
414,7890,5429
415,8062,9982
416,8292,5933
417,8521,8675
418,7912,7197
419,8540,7516
420,8329,9270
421,8139,5812
422,8265,9999
423,7934,5470
424,8302,9531
425,8204,6678
426,8390,8346
427,8133,8288
428,8291,6386
429,8312,9661
430,7904,5550
431,8410,9981
432,7988,5980
433,8452,9285
434,8442,7589
435,8504,7229
436,8014,9053
437,8348,5867
438,8237,9997
439,7873,5474
440,8761,9796
441,7929,6370
442,8233,8260
443,8341,8298
444,8063,6459
445,8309,9683
446,8075,5433
447,8626,10113
448,7832,5927
449,8727,9126
450,7971,7410
451,8398,7330
452,7830,8890
453,8059,5843
454,8427,10112
455,8116,5543
456,8199,9707
457,7908,6673
458,8643,8375
459,8283,8127
460,8028,6503
461,8370,9758
462,8143,5601
463,8178,9948
464,8325,5976
465,8738,9172
466,7652,7201
467,8307,7196
468,8200,9005
469,8114,5695
470,8312,9994
471,7873,5526
472,8392,9562
473,8371,6544
474,8258,8285
475,8168,8240
476,8279,6427
477,8161,9735
478,7981,5499
479,8612,10171
480,8139,5928
481,8239,9036
482,8494,7452
483,8063,7255
484,8249,9237
485,7993,5814
486,8468,10140
487,8201,5583
488,8513,9682
489,8183,6429
490,8517,8239
491,8132,8295
492,7963,6420
493,8266,9674
494,8003,5459
495,8490,9971
496,7924,5966
497,8319,8906
498,8394,7304
499,8458,7292
500,8168,9095
501,8249,6006
502,8478,10031
503,8045,5532
504,8129,9584
505,7953,6466
506,8471,8405
507,8562,8226
508,8074,6297
509,8263,9773
510,8129,5465
511,8657,10058
512,8101,6042
513,8260,8795
514,7943,7499
515,8622,7526
516,8118,9030
517,8225,5889
518,8198,10081
519,8081,5478
520,8535,9879
521,8098,6717
522,8581,8420
523,8122,8245
524,8198,6472
525,8587,9793
526,8201,5564
527,8068,9975
528,8080,5850
529,8514,8813
530,8130,7576
531,8405,7561
532,8434,9278
533,7901,5664
534,8687,10106
535,7954,5533
536,8360,9683
537,8406,6433
538,8472,7970
539,7992,7952
540,8233,6724
541,8203,9697
542,7915,5650
543,8602,10012
544,7992,5797
545,8249,9002
546,8079,7410
547,8513,7465
548,7976,9027
549,8265,5877
550,8434,10080
551,8082,5496
552,8173,9716
553,7974,6558
554,8208,8037
555,8530,8415
556,7970,6258
557,8314,9640
558,8014,5628
559,8467,10181
560,8189,5888
561,8443,9033
562,7775,7154
563,8612,7415
564,8014,9162
565,8335,5891
566,8139,9875
567,8103,5503
568,8321,9638
569,7744,6658
570,8421,8253
571,8114,8155
572,8189,6597
573,8303,9681
574,8068,5430
575,8243,9855
576,8229,5933
577,8491,9095
578,8020,7196
579,8301,7388
580,7993,9033
581,8574,6114
582,8257,10028
583,7904,5513
584,8323,9270
585,8066,6504
586,8472,8172
587,8185,8562
588,8152,6724
589,8194,9784
590,7951,5472
591,8409,10048
592,8296,6134
593,8330,9290
594,8162,7601
595,8208,7219
596,8021,8883
597,8486,5905
598,8519,10244
599,7680,5296
600,8601,9911
601,8219,6505
602,8540,8564
603,7976,8672
604,8100,6574
605,8398,9895
606,8342,5636
607,8422,9963
608,7724,5876
609,8217,8998
610,8154,7410
611,8501,7365
612,8187,9042
613,8197,6026
614,8244,9981
615,8198,5433
616,8409,9625
617,8055,6335
618,8361,8322
619,8088,8541
620,8283,6375
621,7976,9587
622,8387,5698
623,8535,10088
624,7586,5736
625,8541,8857
626,8232,7221
627,7962,7262
628,8329,9089
629,8426,5928
630,8157,10005
631,8415,5542
632,8291,9606
633,8083,6526
634,8495,8593
635,8143,8400
636,8412,6849
637,8485,9929
638,7729,5358
639,8520,9994
640,7803,5905
641,8491,9146
642,8285,7636
643,8192,7482
644,8461,8958
645,7860,5863
646,8576,10137
647,7932,5603
648,8546,9587
649,7811,6592
650,8486,8355
651,8098,8297
652,8048,6429
653,8342,9713
654,8027,5493
655,8356,10149
656,8220,6026
657,8527,9096
658,8470,7395
659,8308,7324
660,8181,8865
661,7860,6141
662,8474,10038
663,7735,5595
664,8693,9657
665,8165,6368
666,8354,8536
667,8214,8497
668,7991,6194
669,8376,9767
670,8073,5510
671,8067,9887
672,7910,6032
673,8582,9020
674,7984,7148
675,8340,7306
676,8035,9005
677,8230,5931
678,8332,10088
679,8082,5571
680,8607,9705
681,7905,6496
682,8323,8502
683,8176,8580
684,8207,6504
685,8522,9745
686,8220,5573
687,8132,9838
688,8045,6044
689,8352,8876
690,8113,7331
691,8272,7221
692,8586,9242
693,7879,5809
694,8527,10109
695,7858,5520
696,8572,9806
697,8191,6758
698,8260,8125
699,8257,8298
700,8295,6453
701,8122,9677
702,8088,5434
703,8427,10130
704,8073,6336
705,8344,9185
706,8091,7423
707,8287,7237
708,8213,8980
709,8140,6025
710,8264,9850
711,8258,5689
712,8441,9827
713,7934,6431
714,8356,8308
715,7825,8405
716,8201,6315
717,8405,9634
718,8175,5553
719,8388,10050
720,7666,5746
721,8768,9419
722,8169,7542
723,8498,7517
724,8078,9098
725,8039,5731
726,8502,10084
727,7947,5660
728,8398,9852
729,8214,6760
730,8168,8330
731,8217,8194
732,8223,6395
733,8127,9588
734,8205,5520
735,8549,10049
736,7738,5870
737,8727,9063
738,8307,7508
739,8070,7275
740,8282,9423
741,7994,5975
742,8498,10074
743,8145,5513
744,8574,9715
745,7605,6523
746,8768,8115
747,7993,8197
748,8196,6536
749,8274,9602
750,8132,5642
751,8356,10131
752,8041,6394
753,8339,9205
754,8248,7913
755,8437,7514
756,7962,9079
757,8345,6105
758,8468,10119
759,8185,5625
760,8248,9482
761,8106,6421
762,8251,8115
763,8237,8174
764,7992,6341
765,8458,9746
766,7898,5592
767,8163,10035
768,8459,6007
769,8263,9167
770,7892,7200
771,8201,7197
772,8425,9149
773,7884,5922
774,8566,10251
775,8043,5497
776,8251,9472
777,8086,6453
778,8565,8529
779,7890,8394
780,8374,6348
781,8358,9615
782,8008,5461
783,8529,10033
784,8053,5736
785,8241,8976
786,7924,7229
787,8116,7436
788,8178,8967
789,8515,6043
790,8217,9991
791,7842,5603
792,8401,9576
793,7867,6483
794,8518,8373
795,8214,8305
796,8139,6492
797,8171,9933
798,8227,5607
799,8284,10112
800,7836,6061
801,8624,9099
802,7894,7088
803,8386,7470
804,8406,9182
805,7978,5662
806,8378,10236
807,8037,5571
808,8366,9655
809,7822,6467
810,8664,8350
811,7739,8061
812,8574,6584
813,8050,9520
814,8056,5600
815,8349,10074
816,8372,5964
817,8469,9143
818,7893,7516
819,8169,7363
820,8276,9063
821,8074,5990
822,8226,10123
823,8053,5573
824,8254,9582
825,7741,6464
826,8428,8000
827,7777,8267
828,8524,6625
829,8416,9807
830,8043,5544
831,8336,10129
832,7984,6122
833,8377,9441
834,8230,7906
835,8339,7423
836,8136,8970
837,8170,5815
838,8400,10084
839,8038,5381
840,8368,9766
841,8177,6322
842,7932,8121
843,8137,8220
844,8233,6344
845,8001,9659
846,8284,5518
847,8537,10229
848,8039,6146
849,8211,9244
850,8274,7571
851,8335,7485
852,8397,9245
853,8197,6130
854,7876,9810
855,8279,5592
856,8646,9742
857,7705,6390
858,8466,8229
859,8292,8341
860,7781,6053
861,8821,9789
862,7587,5372
863,8708,10226
864,7919,5992
865,8481,9146
866,8008,7206
867,8504,7336
868,8128,9039
869,8054,5869
870,8298,10200
871,8255,5702
872,8306,9428
873,8255,6656
874,8327,8325
875,8327,8316
876,8076,6501
877,8222,9610
878,7942,5474
879,8409,10058
880,8002,5956
881,8513,9051
882,7854,7367
883,8563,7384
884,8011,8968
885,8533,6231
886,8267,10309
887,8173,5597
888,8266,9689
889,8338,6454
