# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:08:51+00:00
# capture_name=freq_2vpp_1to100_5MHz_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5255
# firmware_status_timestamp=2026-08-24T00:08:51+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_5MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=2.8
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,5501,5140
1,7972,7460
2,10953,10029
3,12470,11897
4,14273,13521
5,14915,13998
6,14242,13479
7,12707,12489
8,11022,10580
9,8429,8095
10,5760,5563
11,3821,3696
12,2080,2117
13,1822,1604
14,2037,1990
15,3909,3437
16,5436,5042
17,7990,7595
18,10485,9878
19,12981,12181
20,14481,13773
21,14674,14012
22,14454,13778
23,13004,12331
24,10916,10325
25,8344,8037
26,5850,5468
27,3658,3516
28,2087,2122
29,1452,1469
30,2116,1931
31,3774,3398
32,5495,5129
33,8007,7701
34,10595,9917
35,12848,12150
36,14110,13440
37,14684,14034
38,14602,13670
39,12825,12438
40,10991,10484
41,8468,8010
42,5656,5543
43,4065,3659
44,1919,2001
45,1910,1549
46,2120,2056
47,3484,3169
48,5412,5238
49,8043,7735
50,10799,10134
51,12536,11695
52,13999,13402
53,14909,14110
54,14337,13758
55,13068,12525
56,10959,10548
57,8548,7964
58,5577,5431
59,4013,3582
60,2252,2071
61,1442,1463
62,2237,1925
63,3459,3236
64,5635,5376
65,8214,7756
66,10376,9725
67,13016,12213
68,14392,13641
69,14499,13979
70,14233,13660
71,13318,12450
72,10882,10465
73,8517,8063
74,5731,5414
75,3522,3553
76,2255,1946
77,1634,1675
78,2152,2022
79,3768,3406
80,5353,4994
81,8010,7569
82,10820,10164
83,12755,11961
84,14331,13481
85,14688,13970
86,14357,13815
87,13023,12433
88,11042,10507
89,8463,7991
90,5770,5438
91,3568,3719
92,2326,2141
93,1396,1309
94,1928,1943
95,3669,3384
96,5448,5099
97,8272,7641
98,10566,9817
99,12851,12098
100,14114,13605
101,14952,14002
102,14368,13948
103,13133,12334
104,10557,10399
105,8550,7989
106,5753,5625
107,3829,3681
108,2085,2046
109,1628,1461
110,2502,2057
111,3244,3173
112,5855,5570
113,7977,7481
114,10576,10092
115,12477,11851
116,13926,13380
117,14959,14169
118,14602,13806
119,12774,12397
120,11062,10522
121,8316,8008
122,5846,5776
123,3767,3657
124,2271,2190
125,1584,1470
126,2292,1864
127,3511,3211
128,5408,5211
129,8213,7675
130,10828,10080
131,12695,12122
132,14036,13246
133,14692,14122
134,14250,13692
135,13328,12462
136,10463,10437
137,8568,8016
138,5876,5690
139,3391,3477
140,2162,2059
141,1962,1480
142,2120,2001
143,3245,3216
144,5419,5146
145,8190,7758
146,10376,9789
147,12630,12136
148,14389,13642
149,14570,13986
150,14534,13626
151,13103,12349
152,10901,10467
153,8482,7984
154,5812,5572
155,3702,3810
156,2247,2132
157,1532,1464
158,2451,1924
159,3127,3304
160,5545,5323
161,8236,7584
162,10550,9980
163,12806,12178
164,14201,13466
165,14789,14025
166,14214,13624
167,12948,12460
168,11100,10497
169,8165,7974
170,5916,5627
