# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:05:39+00:00
# capture_name=freq_2vpp_1to100_996kHz_03.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=4933
# firmware_status_timestamp=2026-08-24T00:05:39+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_996kHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=996093.75
# generator_amplitude_vpk=2.8
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=3
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,2218,2141
1,1811,2190
2,2686,2612
3,2880,2702
4,2663,2830
5,3652,3335
6,3389,3326
7,4431,3957
8,4323,4164
9,4668,4494
10,5225,4914
11,5562,5365
12,6325,5895
13,6494,6289
14,6882,6454
15,7676,7240
16,8029,7695
17,8620,8155
18,9191,8546
19,9491,9051
20,9841,9366
21,10528,9770
22,11130,10444
23,11353,10932
24,11581,11229
25,12638,11630
26,12434,11645
27,12595,12155
28,13270,12467
29,13752,12786
30,13786,13060
31,13885,13097
32,14199,13323
33,14324,13593
34,14216,13583
35,14536,13684
36,14343,13654
37,14657,13909
38,14529,13652
39,14438,13601
40,14031,13447
41,14292,13387
42,13934,13208
43,13845,12935
44,13444,12761
45,13137,12465
46,12946,12314
47,12702,11812
48,12035,11506
49,11880,11102
50,11329,10844
51,10932,10368
52,10339,9946
53,9916,9401
54,9448,9176
55,8985,8591
56,8470,7986
57,7829,7643
58,7662,7296
59,6994,6498
60,6434,6271
61,6105,5697
62,5586,5406
63,5236,5040
64,4502,4561
65,4700,4241
66,3780,3868
67,3693,3483
68,3436,3254
69,3020,3016
70,2678,2712
71,2411,2323
72,2093,2215
73,2173,2089
74,1952,1993
75,1978,1924
76,1910,1725
77,1857,1847
78,2042,1920
79,2179,1832
80,1999,2193
81,2319,2189
82,2718,2578
83,2602,2455
84,2689,2726
85,2976,3013
86,3527,3277
87,3948,3717
88,4381,3942
89,4670,4609
90,5094,4770
91,5374,5330
92,5976,5709
93,6349,6082
94,7208,6728
95,7195,6921
96,7781,7546
97,8591,7959
98,8862,8347
99,9263,8839
100,9533,9100
101,10649,9876
102,10824,10250
103,11151,10529
104,11659,10854
105,12064,11399
106,12756,11785
107,12808,12026
108,12978,12372
109,13431,12727
110,13914,12937
111,13918,13144
112,14212,13281
113,14230,13611
114,14370,13416
115,14777,13884
116,14184,13579
117,14472,13671
118,14338,13675
119,14631,13522
120,14229,13441
121,14352,13474
122,14063,13451
123,13906,13131
124,13514,12777
125,13212,12572
126,13201,12168
127,12818,12045
128,12117,11624
129,12153,11253
130,11330,10840
131,11090,10258
132,10678,10025
133,10136,9518
134,9599,9229
135,9248,8801
136,8296,8264
137,8278,7723
138,7777,7438
139,7156,6769
140,6678,6371
141,6119,6086
142,5634,5351
143,5608,5201
144,4725,4617
145,4607,4357
146,4125,3937
147,3682,3658
148,3441,3275
149,3127,2865
150,3114,2728
151,2553,2450
152,2508,2403
153,1894,2031
154,2341,2150
155,2011,1912
156,1750,2002
157,2082,1951
158,1998,1956
159,2206,2091
160,1826,1850
161,2438,2220
162,2214,2317
163,2478,2483
164,2603,2702
165,3299,2837
166,3533,3298
167,3623,3515
168,4290,3879
169,4655,4436
170,4920,4627
171,5351,5051
172,5693,5452
173,6331,5984
174,6746,6272
175,7206,6843
176,7895,7305
177,8387,7922
178,8640,7969
179,9144,8628
180,9513,9056
181,10153,9656
182,10771,10104
183,11170,10633
184,11273,10661
185,12109,11341
