# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T02:13:39+00:00
# capture_name=dft_interp_2vpp_1to100_5p007324MHz_09.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=942
# firmware_status_timestamp=2026-08-24T02:13:39+00:00
# software_git_commit=be69198
# software_git_dirty=false
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=1
# calibration_volts_per_code_ch1=0.000562513048986
# calibrated_volts_per_div_ch1=1.15202672432
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=1
# calibration_volts_per_code_ch2=0.000563632415019
# calibrated_volts_per_div_ch2=1.15431918596
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=dft_interpolation
# series_id=dft_interp_2vpp_1to100_5p007324MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5007324
# generator_amplitude_vpk=3.565
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,7756,7643
1,4868,4701
2,2888,2834
3,1515,1261
4,627,659
5,1758,1458
6,3215,3257
7,5560,5290
8,8726,8294
9,11686,11137
10,13948,13144
11,15036,14565
12,15457,14934
13,14946,14298
14,13214,12548
15,10369,10152
16,7911,7461
17,4826,4800
18,2556,2429
19,1194,1340
20,656,658
21,1714,1633
22,3277,2984
23,5970,5436
24,8737,8260
25,11283,10893
26,13920,13133
27,15204,14481
28,15528,15021
29,14857,14238
30,12947,12392
31,10779,10290
32,7531,7534
33,4748,4747
34,2714,2581
35,1081,1172
36,839,571
37,1639,1382
38,3249,3131
39,5741,5534
40,8989,8313
41,11861,11245
42,13930,13220
43,15224,14540
44,15666,14844
45,14779,14339
46,13086,12396
47,10624,10169
48,7359,7513
49,4923,4737
50,2675,2624
51,935,942
52,913,804
53,1510,1605
54,3449,3130
55,5922,5606
56,8921,8305
57,11628,11234
58,13969,13093
59,15174,14606
60,15777,14967
61,14745,14453
62,13137,12428
63,10375,10297
64,7462,7155
65,4863,4751
66,2474,2451
67,1307,1051
68,809,853
69,1414,1515
70,3536,3258
71,6349,5797
72,8673,8512
73,11955,11237
74,13859,13392
75,15146,14649
76,15733,14988
77,14733,14264
78,12780,12298
79,10599,10078
80,7090,7124
81,4876,4615
82,2643,2420
83,1030,1159
84,572,667
85,2021,1724
86,3353,3217
87,5767,5594
88,9414,8625
89,11581,11257
90,14215,13460
91,15312,14724
92,15610,14857
93,14791,14130
94,12932,12377
95,10499,9970
96,7020,7047
97,4798,4587
98,2287,2288
99,948,1109
100,856,731
101,1915,1756
102,3439,3255
103,6363,5803
104,9074,8662
105,11778,11148
106,14224,13451
107,15246,14790
108,15444,14892
109,14912,13990
110,12787,12308
111,9969,9724
112,7444,7129
113,4608,4627
114,2520,2330
115,937,1073
116,806,770
117,2138,1831
118,3394,3397
119,5866,5736
120,9250,8688
121,11908,11457
122,14035,13479
123,15604,14774
124,15314,14805
125,14665,14097
126,12761,12358
127,9971,9688
128,7460,6919
129,4519,4481
130,2237,2316
131,852,990
132,894,758
133,1917,1790
134,3386,3362
135,6244,6098
136,9486,8752
137,12091,11392
138,13966,13333
139,15559,14753
140,15348,14923
141,14501,14116
142,12453,12042
143,10203,9719
144,7272,7132
145,4330,4327
146,2427,2240
147,770,954
148,859,844
149,2105,1718
150,3371,3347
151,6206,5923
152,9546,8805
153,11895,11540
154,14330,13559
155,15486,14767
156,15225,14766
157,14648,14098
158,12587,12143
159,10010,9678
160,7260,7031
161,4366,4143
162,2127,2045
163,891,1114
164,761,855
165,1769,1684
166,3841,3465
167,6036,5814
168,9743,9211
169,12033,11266
170,14384,13619
171,15013,14683
172,15437,14759
173,14610,13854
174,12678,12178
175,9544,9203
176,7312,6974
