# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-27T20:27:47+00:00
# capture_name=power_pc_monitors_noise_05.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=1355
# firmware_status_timestamp=2026-08-27T20:27:47+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=1
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=1
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=power_pc_monitors_noise
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=5
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8158,8206
1,8222,8077
2,8173,8125
3,8241,8194
4,8234,8000
5,8191,8148
6,8213,8132
7,8162,8312
8,8290,8320
9,8108,7924
10,8229,8282
11,8193,8273
12,8214,8160
13,8306,8008
14,8118,8134
15,8218,8271
16,8176,7927
17,8189,8035
18,8123,8319
19,8222,8257
20,8244,8267
21,8220,7929
22,8275,8161
23,8259,8119
24,8210,8015
25,8272,8104
26,8214,8101
27,8203,8265
28,8256,8261
29,8257,8173
30,8207,7978
31,8283,8174
32,8261,8122
33,8253,8131
34,8180,8049
35,8113,8090
36,8271,8090
37,8173,8097
38,8252,8182
39,8199,8139
40,8280,8145
41,8272,8109
42,8213,8099
43,8231,8204
44,8108,8145
45,8230,8207
46,8118,8094
47,8267,8170
48,8233,8121
49,8238,8013
50,8194,8234
51,8204,7910
52,8190,8117
53,8261,8173
54,8220,8098
55,8195,7974
56,8284,8050
57,8174,8189
58,8202,8214
59,8217,8108
60,8185,8063
61,8265,8179
62,8175,8091
63,8252,8246
64,8217,7926
65,8132,7997
66,8216,8146
67,8235,8296
68,8297,8259
69,8184,8003
70,8182,8006
71,8272,8162
72,8177,8214
73,8294,8181
74,8199,8049
75,8208,8278
76,8256,8177
77,8211,8202
78,8329,8214
79,8222,8361
80,8273,8216
81,8145,7869
82,8210,8274
83,8216,7990
84,8234,8116
85,8195,8215
86,8216,8164
87,8272,8233
88,8282,8149
89,8192,8078
90,8284,8245
91,8256,8037
92,8119,8241
93,8260,7976
94,8200,8224
95,8294,8196
96,8175,7854
97,8223,8121
98,8243,8140
99,8195,8358
100,8296,8118
101,8189,8144
102,8267,8208
103,8208,8199
104,8262,8116
105,8227,7991
106,8194,8221
107,8277,8270
108,8279,7961
109,8180,8013
110,8276,8308
111,8269,8180
112,8259,8000
113,8185,8070
114,8184,8264
115,8235,8209
116,8270,7984
117,8260,8151
118,8259,8073
119,8179,8183
120,8272,7859
121,8218,8037
122,8196,8282
123,8168,8171
124,8221,8182
125,8196,8141
126,8283,8132
127,8230,8133
128,8291,8087
129,8201,8239
130,8175,8109
131,8268,8156
132,8200,8112
133,8224,8183
134,8260,8116
135,8194,7905
136,8216,8239
137,8210,8194
138,8274,8151
139,8190,8148
140,8216,8147
141,8262,8074
142,8197,7951
143,8273,8138
144,8192,8212
145,8290,8281
146,8191,8099
147,8243,8212
148,8264,8074
149,8184,8106
150,8232,7920
151,8186,8091
152,8189,8258
153,8270,7985
154,8265,8253
155,8269,8280
156,8227,8142
157,8175,8122
158,8221,8052
159,8280,8250
160,8222,8173
161,8174,8136
162,8175,8227
163,8258,8210
164,8169,7979
165,8239,7958
166,8206,8207
167,8348,8306
168,8189,7947
169,8209,8145
