# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-27T20:32:57+00:00
# capture_name=power_pc_monitors_p5_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=2379
# firmware_status_timestamp=2026-08-27T20:32:57+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.66
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=49.66
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=49.6600
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=1
# calibration_volts_per_code_ch1=0.00187691091408
# calibrated_volts_per_div_ch1=3.84391355203
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=49.6600
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=1
# calibration_volts_per_code_ch2=0.00189478891625
# calibrated_volts_per_div_ch2=3.88052770048
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=power_pc_monitors_p5
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=12.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,1923,2142
1,460,621
2,322,436
3,1349,1385
4,3483,3492
5,6144,5969
6,9397,9169
7,12211,12020
8,14601,14286
9,15998,15601
10,16157,15803
11,15156,14875
12,13066,12836
13,10178,10062
14,7142,7250
15,4249,4233
16,1710,1901
17,428,610
18,237,445
19,1349,1508
20,3348,3322
21,6402,6211
22,9257,9162
23,12202,11908
24,14815,14361
25,15985,15590
26,16213,15671
27,15084,14709
28,13073,12899
29,10174,10106
30,7103,6960
31,4190,4222
32,1787,2011
33,432,703
34,349,416
35,1214,1471
36,3396,3432
37,6170,5974
38,9463,9186
39,12178,11826
40,14674,14272
41,15971,15647
42,16059,15710
43,15197,14879
44,12999,12864
45,10237,10029
46,7176,7288
47,3971,4201
48,1797,1921
49,489,633
50,200,467
51,1381,1514
52,3290,3288
53,6186,6210
54,9415,9313
55,12322,11930
56,14601,14288
57,16006,15700
58,16149,15741
59,15080,14718
60,13071,12771
61,10306,10355
62,6975,7150
63,4219,4219
64,1880,2002
65,488,701
66,270,446
67,1258,1294
68,3467,3484
69,6258,6001
70,9291,9291
71,12171,11922
72,14586,14203
73,15969,15584
74,16213,15779
75,15157,14842
76,12952,12709
77,10084,10091
78,7225,7240
79,3899,4173
80,1870,2043
81,481,670
82,263,446
83,1261,1423
84,3426,3415
85,6341,6133
86,9280,9238
87,12343,12123
88,14626,14302
89,16006,15609
90,16152,15726
91,15170,14777
92,13078,12750
93,10228,10084
94,7097,7280
95,4073,4289
96,1838,1946
97,433,746
98,281,431
99,1292,1483
100,3436,3415
101,6266,6231
102,9222,9181
103,12497,12147
104,14634,14286
105,15866,15550
106,16134,15826
107,15136,14797
108,12981,12947
109,10190,10056
110,7192,7285
111,4164,4258
112,1861,2069
113,450,670
114,349,502
115,1203,1399
116,3425,3303
117,6209,6124
118,9441,9208
119,12205,12099
120,14801,14320
121,16001,15590
122,16115,15766
123,15109,14942
124,12976,12893
125,10138,10057
126,7193,7170
127,4021,4171
128,1861,2046
129,480,573
130,343,434
131,1264,1444
132,3386,3380
133,6360,6235
134,9265,9303
135,12231,11779
136,14747,14260
137,15912,15611
138,16109,15678
139,15196,14785
140,12984,12734
141,10082,10130
142,7099,7221
143,4245,4243
144,1709,2001
145,534,741
146,264,505
147,1230,1449
148,3470,3460
149,6274,6215
150,9352,9250
151,12226,11795
152,14617,14277
153,15923,15621
154,16125,15823
155,15189,14690
156,13069,12864
157,10169,10191
158,7092,7149
159,4089,4163
160,1874,2058
161,478,528
162,213,470
163,1403,1562
164,3314,3335
165,6192,6211
166,9225,9063
167,12270,11935
168,14769,14363
169,15913,15567
170,16142,15796
171,15177,14725
172,12969,12850
173,10160,10155
174,6975,6922
175,4177,4346
