# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-28T13:13:30+00:00
# capture_name=sine_10kHz.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=14370
# firmware_status_timestamp=2026-08-28T13:11:00+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=1
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=false
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=2
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=manual
index,ch1_raw,ch2_raw
0,587,8118
1,611,8034
2,547,8164
3,607,8102
4,640,8163
5,585,8089
6,552,8283
7,550,8092
8,593,8101
9,533,7980
10,642,8157
11,633,8166
12,571,7950
13,563,8264
14,605,8097
15,564,7967
16,651,8099
17,550,8060
18,611,7987
19,569,8140
20,533,8376
21,559,8198
22,618,8237
23,581,7913
24,604,7912
25,607,8002
26,646,7949
27,633,8350
28,597,8536
29,531,8470
30,430,8168
31,530,7942
32,614,7821
33,563,7842
34,633,8138
35,628,8391
36,648,8773
37,518,8244
38,530,8099
39,502,7825
40,540,7898
41,601,7776
42,719,8211
43,611,8247
44,507,8375
45,605,8311
46,535,8158
47,586,7965
48,592,7911
49,592,8009
50,600,8076
51,603,8080
52,564,8409
53,630,8322
54,526,8298
55,589,8115
56,541,8119
57,542,8060
58,598,7872
59,552,8033
60,561,8135
61,585,8280
62,515,8186
63,552,8043
64,559,8154
65,571,8193
66,526,8124
67,552,7917
68,511,8099
69,570,8048
70,579,8188
71,540,7875
72,550,8326
73,557,8110
74,586,8218
75,556,8076
76,555,8256
77,529,8084
78,572,8195
79,532,8119
80,517,7879
81,519,8099
82,609,7996
83,486,8218
84,567,7936
85,576,8211
86,641,8239
87,534,8235
88,555,8104
89,578,7864
90,505,7952
91,559,8029
92,557,8194
93,508,8216
94,546,8245
95,516,8129
96,520,8147
97,593,8093
98,569,8017
99,490,8147
100,570,8185
101,539,8289
102,540,8174
103,510,8092
104,603,8017
105,573,8186
106,583,8134
107,603,8023
108,503,8330
109,601,8286
110,576,8154
111,547,8162
112,563,8126
113,514,8034
114,563,8084
115,509,7997
116,548,8344
117,566,8249
118,526,8079
119,619,7977
120,489,8146
121,581,8081
122,569,8147
123,491,8135
124,531,8288
125,598,8125
126,581,8195
127,527,8062
128,518,8092
129,563,8174
130,585,7954
131,516,8246
132,637,8272
133,531,8234
134,582,8204
135,444,8159
136,561,7991
137,597,8016
138,537,8072
139,501,8140
140,551,8217
141,487,8235
142,556,8116
143,532,8140
144,594,8200
145,598,8213
146,617,7961
147,522,8109
148,578,8344
149,498,8133
150,592,7963
151,536,8067
152,622,8229
153,535,8302
154,552,8174
155,445,8180
156,581,8035
157,589,8164
158,561,8047
159,515,8074
160,538,8369
161,525,8186
162,577,8069
163,540,8107
164,518,8053
165,558,8196
166,489,8020
167,580,8178
