# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-09-02T19:14:45+00:00
# capture_name=freq_2vpp_1to100_18p496MHz_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=9492
# firmware_status_timestamp=2026-09-02T19:14:45+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.00174110947745
# calibrated_volts_per_div_ch1=3.56579220982
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.0017557001818
# calibrated_volts_per_div_ch2=3.59567397232
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_18p496MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=18496094
# generator_amplitude_vpk=3.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8330,9452
1,5966,10817
2,7640,7586
3,10329,5229
4,9513,8088
5,6413,11038
6,6717,8918
7,9660,5392
8,10253,6859
9,7276,10488
10,6035,10226
11,8725,6181
12,10597,5759
13,8370,9374
14,5913,10813
15,7590,7388
16,10453,5268
17,9361,7978
18,6418,11158
19,6615,8966
20,9830,5366
21,10209,6814
22,7080,10681
23,6151,10070
24,8730,6249
25,10434,5866
26,8372,9508
27,5964,10759
28,7693,7423
29,10413,5263
30,9381,8077
31,6315,11145
32,6795,8684
33,9751,5380
34,10084,7025
35,7080,10664
36,6151,10024
37,8871,6037
38,10475,5799
39,8175,9569
40,6012,10954
41,7745,7286
42,10401,5307
43,9169,8518
44,6269,11025
45,6821,8449
46,9878,5325
47,9925,7106
48,7053,10793
49,6205,9827
50,8927,6098
51,10377,5920
52,8192,9755
53,5919,10702
54,7929,6962
55,10581,5321
56,9070,8592
57,6115,10979
58,6902,8549
59,10025,5320
60,9906,7195
61,7025,10736
62,6130,10013
63,9147,5886
64,10542,5795
65,7865,9894
66,5920,10719
67,8113,6959
68,10485,5242
69,8972,8691
70,6191,11168
71,7116,8310
72,10007,5221
73,9891,7305
74,6942,10746
75,6181,9942
76,9164,5846
77,10484,5828
78,7882,9955
79,5926,10707
80,7966,7078
81,10465,5377
82,9005,8655
83,6231,11066
84,6998,8312
85,10009,5252
86,9904,7350
87,6718,10880
88,6355,9641
89,9208,5756
90,10425,5922
91,7726,10037
92,5970,10730
93,8029,6957
94,10521,5512
95,8966,8661
96,6083,10989
97,7029,8321
98,10067,5245
99,9685,7535
100,6779,10958
101,6268,9655
102,9372,5682
103,10457,6130
104,7824,10025
105,5956,10501
106,8171,6845
107,10510,5395
108,8738,8842
109,6114,11056
110,7089,8093
111,10006,5231
112,9711,7685
113,6744,10961
114,6416,9514
115,9287,5719
116,10432,6455
117,7777,9955
118,5935,10338
119,8261,6837
120,10511,5450
121,8589,9075
122,6093,11073
123,7331,7975
124,10138,5076
125,9766,7698
126,6612,10897
127,6506,9353
128,9407,5569
129,10425,6353
130,7737,10185
131,5955,10427
132,8421,6643
133,10536,5436
134,8563,9237
135,6058,10923
136,7346,7979
137,10116,5092
138,9672,7723
139,6655,10866
140,6520,9170
141,9438,5723
142,10309,6425
143,7518,10321
144,6000,10310
145,8614,6438
146,10595,5596
147,8515,9126
148,5934,10864
149,7361,7722
150,10274,5207
151,9598,7837
152,6490,11079
153,6510,9123
154,9460,5451
155,10203,6598
156,7545,10363
157,6065,10396
158,8580,6383
159,10533,5669
160,8498,9231
161,5965,10903
162,7476,7550
163,10287,5216
164,9639,7864
165,6432,11045
166,6524,9153
167,9635,5420
168,10325,6454
169,7250,10434
170,6084,10273
171,8594,6385
172,10548,5719
173,8246,9479
174,6024,10835
175,7520,7714
176,10217,5202
177,9573,8037
178,6500,11031
179,6594,8983
180,9610,5434
181,10197,6670
182,7175,10619
183,6114,10281
184,8638,6295
