# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-09-02T19:18:49+00:00
# capture_name=freq_2vpp_1to100_35MHz_07.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=9823
# firmware_status_timestamp=2026-09-02T19:18:49+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.00174110947745
# calibrated_volts_per_div_ch1=3.56579220982
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.0017557001818
# calibrated_volts_per_div_ch2=3.59567397232
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_35MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=35000000
# generator_amplitude_vpk=3.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=7
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,6644,8218
1,9362,7485
2,7722,9346
3,8222,6630
4,9336,10078
5,6810,6674
6,9942,9282
7,6462,7604
8,9765,8081
9,7176,8921
10,8829,6937
11,8330,9674
12,7298,6366
13,9785,9856
14,6455,6808
15,10137,8578
16,6629,8123
17,9253,7299
18,7689,9358
19,8206,6625
20,9173,9907
21,6779,6519
22,10043,9491
23,6367,7387
24,9853,8122
25,7298,9109
26,8959,7119
27,8450,9705
28,7369,6397
29,9626,9776
30,6515,6907
31,10067,8637
32,6652,8196
33,9206,7200
34,7587,9370
35,7832,6413
36,9087,9928
37,6736,6470
38,10007,9164
39,6383,7455
40,9952,8308
41,7210,9068
42,8823,6992
43,8616,9836
44,7399,6486
45,9612,9712
46,6371,6987
47,10073,8768
48,6550,8051
49,9327,7253
50,7596,9319
51,7828,6493
52,9062,9932
53,6760,6458
54,10162,9386
55,6291,7416
56,9829,8012
57,7141,8737
58,8617,6892
59,8398,9733
60,7349,6419
61,9609,9780
62,6434,6925
63,10048,8790
64,6743,8246
65,9214,7239
66,7614,9357
67,8004,6503
68,9372,10033
69,6770,6566
70,10048,9438
71,6417,7644
72,9869,8180
73,7012,8731
74,8721,6909
75,8461,9837
76,7202,6366
77,9677,9822
78,6451,6972
79,10096,8454
80,6701,8052
81,9354,7429
82,7887,9609
83,8161,6606
84,9154,9925
85,6668,6538
86,9966,9495
87,6365,7564
88,9928,8351
89,7096,8714
90,8583,6699
91,8531,9792
92,7355,6421
93,9616,9818
94,6318,6896
95,10078,8773
96,6552,8041
97,9465,7515
98,7708,9361
99,7803,6448
100,9119,9942
101,6764,6499
102,10052,9453
103,6395,7333
104,9816,7954
105,6967,8723
106,8809,6971
107,8667,9846
108,7342,6441
109,9576,9801
110,6287,7102
111,10070,8942
112,6653,8193
113,9443,7457
114,7905,9592
115,8014,6514
116,9013,9981
117,6634,6471
118,9964,9444
119,6402,7578
120,9913,8186
121,7297,9055
122,8973,6974
123,8512,9796
124,7281,6441
125,9798,9768
126,6591,6929
127,10071,8726
128,6644,8202
129,9277,7248
130,7688,9385
131,7832,6457
132,9099,9950
133,6790,6448
134,10042,9235
135,6372,7307
136,9796,8045
137,7081,8806
138,8844,7065
139,8543,9820
140,7390,6404
141,9688,9797
142,6462,6948
143,10077,8948
144,6682,8499
145,9507,7603
146,7812,9509
147,8110,6547
148,9202,9948
149,6865,6519
150,10166,9294
151,6367,7385
152,9827,7933
153,7085,8867
154,8770,6851
155,8290,9639
156,7090,6322
157,9606,9762
158,6517,6931
159,10036,8831
160,6739,8434
161,9435,7495
162,7658,9320
163,7937,6506
164,9047,9921
165,6676,6465
166,9945,9422
167,6371,7429
168,9802,7929
169,6966,8604
170,8830,6944
171,8652,9842
