# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-09-02T18:58:13+00:00
# capture_name=freq_2vpp_1to100_996kHz_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=8840
# firmware_status_timestamp=2026-09-02T18:58:13+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.00174110947745
# calibrated_volts_per_div_ch1=3.56579220982
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.0017557001818
# calibrated_volts_per_div_ch2=3.59567397232
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_996kHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=996094
# generator_amplitude_vpk=3.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,6494,6095
1,6288,6120
2,6157,6344
3,6101,6440
4,5973,6545
5,5898,6754
6,5871,6920
7,5765,7035
8,5601,7124
9,5691,7392
10,5753,7630
11,5664,7704
12,5675,7977
13,5833,8151
14,5761,8370
15,5857,8437
16,5967,8744
17,5986,8812
18,6110,9097
19,6287,9316
20,6372,9256
21,6591,9552
22,6657,9663
23,6920,9883
24,7063,10069
25,7199,10097
26,7425,10239
27,7650,10375
28,7841,10482
29,7970,10474
30,8248,10596
31,8455,10549
32,8623,10610
33,8750,10460
34,9078,10591
35,9212,10578
36,9439,10536
37,9463,10512
38,9713,10409
39,9915,10363
40,10098,10235
41,10137,10084
42,10297,9992
43,10443,9896
44,10565,9759
45,10607,9531
46,10707,9704
47,10690,9306
48,10794,9131
49,10749,8974
50,10830,8672
51,10846,8573
52,10826,8370
53,10738,8039
54,10766,8066
55,10667,7844
56,10577,7661
57,10550,7394
58,10273,7192
59,10292,7099
60,10050,6972
61,9942,6786
62,9921,6586
63,9666,6366
64,9369,6249
65,9358,6325
66,9013,6091
67,8930,5982
68,8730,5943
69,8492,5728
70,8370,5741
71,8138,5835
72,7975,5774
73,7696,5643
74,7557,5648
75,7229,5674
76,7207,5745
77,6876,5845
78,6792,5841
79,6687,5862
80,6378,6019
81,6436,6134
82,6201,6225
83,6066,6458
84,5920,6485
85,5921,6665
86,5826,6945
87,5784,7031
88,5698,7047
89,5708,7418
90,5588,7447
91,5644,7667
92,5706,8023
93,5821,8121
94,5706,8367
95,5813,8447
96,5962,8622
97,6036,8939
98,6058,9010
99,6327,9289
100,6374,9241
101,6588,9561
102,6647,9838
103,6850,9868
104,6917,9961
105,7202,10015
106,7358,10204
107,7613,10316
108,7762,10386
109,7892,10609
110,8163,10565
111,8406,10554
112,8602,10677
113,8648,10561
114,8965,10758
115,9154,10585
116,9272,10586
117,9539,10572
118,9672,10446
119,9714,10299
120,10016,10260
121,10174,10220
122,10368,10093
123,10302,9941
124,10531,9826
125,10674,9645
126,10576,9478
127,10763,9494
128,10723,9129
129,10853,8997
130,10751,8778
131,10850,8649
132,10766,8377
133,10719,8239
134,10745,8165
135,10673,7783
136,10617,7588
137,10539,7615
138,10351,7301
139,10332,7120
140,10193,7089
141,9984,6656
142,9835,6682
143,9708,6501
144,9404,6259
145,9356,6306
146,9183,6163
147,8959,5906
148,8788,5973
149,8611,5856
150,8434,5702
151,8063,5723
152,7964,5675
153,7810,5867
154,7586,5702
155,7316,5746
156,7239,5655
157,6994,5798
158,6815,5873
159,6621,5919
160,6461,5917
161,6421,6095
162,6169,6185
163,6106,6420
164,6002,6505
165,5902,6595
166,5875,6767
167,5768,6921
168,5643,6900
169,5674,7357
170,5683,7470
171,5616,7685
172,5772,7897
173,5704,8175
174,5706,8278
175,5845,8368
176,5938,8562
177,5951,8805
178,6041,9019
179,6230,9192
180,6264,9133
181,6516,9472
182,6656,9661
183,6747,9808
184,6940,9930
185,7102,10209
186,7309,10211
187,7390,10159
188,7703,10399
189,7856,10420
190,8135,10641
191,8295,10618
192,8456,10563
193,8734,10561
194,8893,10595
195,9053,10599
196,9156,10562
197,9546,10465
198,9649,10473
199,9797,10415
200,9987,10371
201,10111,10221
