# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T05:13:05+00:00
# capture_name=freq_2vpp_1to1_14p502MHz_02.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=4249
# firmware_status_timestamp=2026-08-30T05:13:05+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=false
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to1_14p502MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=14501953
# generator_amplitude_vpk=0.13
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=2
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,5722,1310
1,12681,4048
2,14093,11842
3,8377,15397
4,1621,10730
5,2086,2910
6,9295,1615
7,14801,8059
8,11896,14242
9,4348,14033
10,944,7005
11,5278,1272
12,12693,3910
13,14008,11644
14,8580,15697
15,2081,11343
16,2237,3177
17,8888,1214
18,14486,7872
19,12364,14271
20,4982,14191
21,853,6949
22,5066,1390
23,12465,3431
24,14469,11048
25,8589,15653
26,1835,11227
27,2453,3650
28,8866,974
29,14131,6943
30,12369,14557
31,5150,14617
32,929,7198
33,4824,1266
34,12253,3346
35,14536,11140
36,8914,15616
37,2065,11757
38,2172,3643
39,8584,1001
40,14320,7156
41,12720,14361
42,5225,14446
43,904,7687
44,4543,1179
45,12118,3339
46,14442,10823
47,9435,15250
48,2201,11577
49,1608,4078
50,8465,1364
51,14380,6253
52,12764,13853
53,5050,14611
54,1097,8023
55,4352,1781
56,11851,2850
57,14658,10315
58,9478,15429
59,2488,12118
60,1817,4071
61,7804,844
62,14094,6568
63,13224,13448
64,5720,14517
65,855,8396
66,4508,1873
67,11682,2501
68,14562,10133
69,9514,15055
70,2639,12309
71,1708,4510
72,7796,1111
73,13874,5906
74,12965,13555
75,6116,14843
76,1002,8357
77,3873,1914
78,11457,2247
79,14646,10097
80,9576,15540
81,2707,12338
82,1592,4765
83,7848,1059
84,13778,5572
85,13261,13349
86,6399,15301
87,1129,8520
88,3640,1908
89,11205,2335
90,14728,9735
91,10060,15293
92,2695,12586
93,1490,4844
94,7148,1069
95,13738,5604
96,13507,13133
97,6501,15141
98,1127,8837
99,3506,2084
100,10869,1949
101,14592,9422
102,10274,15308
103,2989,12901
104,1217,5245
105,6945,648
106,13716,5391
107,13626,12792
108,6647,15557
109,1143,9065
110,3492,1929
111,10783,2017
112,14486,9059
113,10548,15128
114,3401,13035
115,1344,5378
116,6524,1114
117,13345,5002
118,13813,12507
119,7032,15357
120,1232,9438
121,3050,2106
122,10408,1911
123,14665,9095
124,10584,14896
125,3715,13777
126,1341,5722
127,6471,988
128,13103,4857
129,13696,12443
130,7461,15454
131,1366,9826
132,2801,2074
133,10257,2001
134,14745,8675
135,11287,14721
136,3498,13458
137,936,5936
138,6575,830
139,13330,4640
140,13668,12497
141,7626,15420
142,1786,10131
143,2606,2489
144,9917,1758
145,14688,8145
146,11579,14958
147,3709,13347
148,873,6295
149,5989,1022
150,13297,4437
151,14283,12004
152,7378,15554
153,1518,10146
154,2876,2778
155,9640,1692
156,14355,8164
157,11846,14806
158,4426,13703
159,915,6555
160,5699,1057
161,13006,4216
162,14043,12011
163,8139,15298
164,1562,10676
165,2660,2897
166,9703,1207
167,14432,7506
168,11465,14548
169,4414,14079
170,1041,6829
171,5303,1033
172,12679,3940
173,14423,11653
174,8197,15585
