# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T05:14:04+00:00
# capture_name=freq_2vpp_1to1_15MHz_10.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=4537
# firmware_status_timestamp=2026-08-30T05:14:04+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=false
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to1_15MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=15000000
# generator_amplitude_vpk=0.13
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=10
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8624,1174
1,14549,4121
2,12141,11660
3,4209,15287
4,909,10328
5,6080,2659
6,13523,1707
7,13514,9211
8,6755,15566
9,1269,12863
10,3846,4689
11,11275,947
12,14474,6150
13,9552,14216
14,2355,14608
15,2135,7145
16,8593,1107
17,14392,3961
18,12175,11480
19,4377,15758
20,1001,9958
21,6364,2645
22,13427,1806
23,13835,9193
24,6632,15443
25,1174,12789
26,4034,4618
27,11180,760
28,14393,6774
29,9470,14081
30,2534,14455
31,1918,7519
32,8914,1206
33,14514,3721
34,11628,11827
35,4243,15810
36,1126,10117
37,6294,2386
38,13438,2133
39,13671,9214
40,6804,15135
41,1076,12608
42,3768,4659
43,11358,875
44,14481,6267
45,9279,14126
46,2328,14675
47,1997,7649
48,8812,1070
49,14424,3460
50,11684,12313
51,4241,15551
52,1012,10211
53,6323,2643
54,13418,1440
55,13639,9013
56,6762,15251
57,1226,12605
58,3827,4783
59,11483,1145
60,14654,6087
61,9256,14145
62,2386,14854
63,1958,7427
64,8963,1067
65,14546,3600
66,12269,11831
67,4319,15574
68,881,10150
69,6450,2541
70,13476,1854
71,13509,9006
72,6606,15453
73,1369,12659
74,3981,4864
75,11224,763
76,14514,6315
77,9314,14096
78,2460,14504
79,1924,6967
80,8962,1269
81,14589,3474
82,11985,11665
83,4267,15786
84,1057,10005
85,6310,2493
86,13158,1719
87,13478,9366
88,6828,15319
89,1322,12791
90,3757,4713
91,11111,901
92,14529,6256
93,9602,13917
94,2391,14591
95,1725,7298
96,9108,1357
97,14672,3849
98,11816,11650
99,4422,15816
100,975,10030
101,6531,2639
102,13473,1586
103,13446,8900
104,6873,15527
105,1497,12947
106,3837,4491
107,11234,1043
108,14668,6289
109,9781,13835
110,2045,14499
111,1837,7374
112,9005,1245
113,14644,3329
114,11815,11710
115,3874,15450
116,1083,10080
117,6495,2625
118,13306,1754
119,13495,8893
120,6753,15506
121,1310,12511
122,3713,4710
123,11296,978
124,14718,6005
125,9303,14140
126,2271,14769
127,1858,7357
128,9102,1092
129,14501,3760
130,11986,11548
131,3954,15494
132,1174,10071
133,6380,2428
134,13164,1772
135,13300,9481
136,6901,15060
137,1486,12833
138,3783,4890
139,11185,989
140,14555,6488
141,9482,13776
142,2385,14366
143,1721,7444
144,9026,1267
145,14565,3638
146,11813,11666
147,4442,15894
148,1153,9808
149,6482,2561
150,13228,1682
151,13445,9209
152,6833,15478
153,1321,12873
154,3927,4489
155,11076,853
156,14709,6468
157,9394,14025
158,2062,14248
159,1878,7628
160,8930,1061
161,14677,3401
162,11560,11944
163,4442,15894
164,1077,10295
165,6193,2475
166,13326,1708
167,13456,9139
168,7061,15559
169,1306,12861
170,3764,4426
171,11359,1147
172,14807,6077
173,9404,14029
174,2108,14383
175,1776,7604
176,9042,1189
177,14533,3792
178,11617,11990
179,4315,15817
180,1229,10156
181,6477,2404
182,13269,1549
183,13515,9538
184,6806,15284
185,1358,12746
186,3832,4777
187,11229,746
188,14522,6276
189,9573,13955
190,2376,14777
191,1840,7525
192,8984,1299
193,14541,3718
194,11958,11577
195,4030,15693
196,1056,10267
197,6265,2627
198,13130,1759
199,13486,9150
200,7110,15218
201,1353,12992
202,3683,4681
203,11348,935
204,14763,6347
205,9533,13956
206,2314,14518
207,1933,7272
208,8946,1054
209,14546,3386
210,11717,12244
211,4232,15622
212,1211,10162
213,6241,2284
214,13105,1741
215,13621,9177
216,6738,15597
217,1271,12806
218,3683,4483
219,11134,856
220,14611,6302
221,9623,13916
222,2298,14632
223,1956,7310
224,9177,1319
225,14413,3245
226,11509,12096
227,4227,15511
228,1171,10465
229,6349,2488
230,13106,1571
231,13608,9198
232,6863,15467
233,1318,12771
234,3538,4391
235,11394,1236
236,14780,5816
237,9351,14092
238,2058,14399
239,1988,7563
240,8920,1110
241,14409,3750
242,11756,11707
243,4246,15490
244,1115,10236
245,6238,2587
246,13141,1732
247,13648,9205
248,6948,15252
249,1249,12856
250,3794,4651
251,11175,408
252,14643,6785
253,9684,14035
254,2394,14593
255,2118,7454
256,8749,990
257,14381,3713
258,11690,11772
259,4499,15614
260,1228,10221
261,6256,2692
262,13151,1934
263,13593,9134
264,7200,15311
265,995,12388
266,3488,4887
267,11385,1031
268,14596,6462
269,9242,13799
270,2318,14919
271,2127,7330
272,8923,1192
273,14137,3529
274,11966,11901
275,4472,15581
276,1236,10272
277,6180,2535
278,13310,1729
279,13768,9077
280,7112,15286
281,1170,12850
282,3625,4525
283,11343,1109
284,14502,5991
285,9442,14237
286,2264,14532
287,1988,7361
288,9049,1282
289,14225,3294
290,11966,11685
291,4390,15539
292,1056,10203
293,6173,2632
294,13085,1674
295,13636,9244
296,7137,15359
297,1253,12869
298,3490,4638
299,11394,812
300,14652,6426
301,9594,13648
302,2137,14494
303,2125,7256
304,8760,1356
305,14183,3330
306,11699,11522
307,4488,15524
308,1241,9850
309,6036,2342
310,13017,1900
311,13855,9230
312,6718,15011
313,1097,13125
314,3579,4535
315,11327,762
316,14569,6541
317,9250,13616
318,2378,14866
319,2140,7185
320,8801,1067
321,14345,3529
322,11803,11902
323,4574,15543
324,1112,10238
325,5940,2361
326,13325,2018
327,13738,9123
328,6851,15178
329,1143,12848
330,3796,4692
331,11302,921
332,14509,6598
333,9402,13655
334,2267,14657
335,2133,7253
336,8830,1045
337,14136,3663
338,11576,12172
339,4581,15470
340,1079,9845
341,6020,2510
342,13132,1639
343,13764,9325
344,6873,15323
345,1166,12600
346,3668,4563
347,11271,1019
348,14581,6030
349,9228,13928
350,2250,14603
351,2142,7213
352,8669,1240
353,14116,3908
354,11846,11942
355,4773,15495
356,985,10049
357,5909,2368
358,13410,2160
359,14009,9062
360,6989,15031
361,928,12471
362,3710,4669
363,11476,858
364,14637,5825
365,9076,13869
366,2442,14771
367,1949,7619
368,8535,1040
369,14325,3628
370,11831,11979
371,4482,15703
372,1095,10213
373,6169,2379
374,13281,1647
375,13722,9100
376,6937,15219
377,1180,13138
378,3736,4725
379,11395,790
380,14500,6232
381,9470,13901
382,2309,14817
383,2007,7460
384,8764,1241
385,14246,3783
386,11964,11631
387,4472,15437
388,1058,9932
389,6211,2360
390,13328,1603
391,13765,9119
392,6669,15301
393,1238,12822
394,3875,4843
395,11327,943
396,14500,6111
397,9363,14059
398,2446,14714
399,1930,7418
400,8952,1127
401,14137,3566
402,12189,11872
403,4298,15543
404,978,10308
405,6123,2395
406,13262,1612
407,13564,9522
408,6877,15193
409,1400,12862
410,3574,4591
411,11479,1305
412,14653,5854
413,9334,14021
414,2372,14522
415,1922,7468
416,8543,1275
417,14346,3686
418,12081,11882
419,4534,15525
420,947,10317
421,6123,2436
422,13220,1951
423,13854,8839
424,6560,15370
425,1145,12966
426,3951,4362
427,11441,968
428,14587,6113
429,9360,13836
430,2566,14788
431,1931,7191
432,8686,1037
433,14474,3830
434,12029,11847
435,4466,15623
436,1003,10335
437,6278,2166
438,13391,1574
439,13676,9283
440,6352,15193
441,1146,13200
442,4012,4502
443,11122,846
444,14409,6496
445,9603,13675
446,2452,14613
447,1867,7707
448,8780,1290
449,14357,3221
450,11818,12000
451,4263,15593
452,879,10333
453,6242,2635
454,13291,1423
455,13528,9319
456,6872,15602
457,1186,12707
458,3854,4257
459,11127,872
460,14411,6491
461,9602,13850
462,2578,14651
463,1996,7504
464,8489,1196
465,14343,3835
466,12075,11549
467,4496,15629
468,798,10457
469,6243,2477
470,13476,1894
471,13499,8993
472,6622,15284
473,1313,13150
474,3802,4519
475,11305,1045
476,14523,6200
477,9441,14093
478,2579,14740
479,1850,7138
480,8410,1111
481,14714,3971
482,12001,11761
483,4197,15618
484,903,10199
485,6071,2724
486,13227,1633
487,13592,9179
488,6658,15463
489,1191,12687
490,3774,4743
491,11125,823
492,14517,6489
493,9746,13698
494,2489,14669
495,1921,7632
496,8653,1017
497,14382,3776
498,11978,11722
499,4605,15889
500,881,10237
501,6199,2676
502,13354,1741
503,13782,8496
504,6666,15577
505,1257,12359
506,3934,4591
507,11069,892
508,14550,6263
509,9524,13767
510,2639,14858
511,1804,6897
512,8532,1143
513,14589,4012
514,12232,11714
515,4298,15471
516,1049,10153
517,6288,2554
518,13251,1446
519,13411,9633
520,7068,15450
521,1387,12537
522,3708,4458
523,11137,1027
524,14666,6381
525,9572,13920
526,2524,14551
527,1988,7194
528,8514,1254
529,14613,4022
530,12289,11631
531,4341,15410
532,898,10358
533,6390,2505
534,13325,1878
535,13392,9180
536,6896,15309
537,1362,12835
538,3780,4823
539,11032,731
540,14454,6813
541,9556,14203
542,2564,14610
543,1886,7245
544,8718,1270
545,14436,3541
546,12025,11869
547,4156,15466
548,1074,10048
549,6180,2591
550,13230,1858
551,13514,9210
552,6596,15391
553,1366,12965
554,3797,4616
555,11082,804
556,14472,6394
557,9730,14108
558,2374,14283
559,1581,7646
560,9190,1259
561,14812,3524
562,11880,11689
563,4274,15680
564,957,10484
565,6332,2308
566,13241,1511
567,13676,8989
568,7079,15393
569,1248,12832
570,3751,4677
571,11145,629
572,14567,6453
573,9732,13964
574,2276,14640
575,1760,7316
576,8831,1063
577,14478,3845
578,11992,11749
579,4478,15658
580,953,10262
581,6344,2483
582,13262,1759
583,13693,9103
584,6717,15154
585,1375,12714
586,3901,4561
587,11176,837
588,14487,6160
589,9269,14257
590,2366,14591
591,1876,7150
592,8925,1160
593,14600,3505
594,11664,11965
595,4027,15710
596,931,9973
597,6356,2701
598,13212,2154
599,13801,8908
600,6821,15030
601,1251,12850
602,3742,4812
603,10964,504
604,14559,6347
605,9518,14138
606,2360,14557
607,1744,7380
608,8577,1223
609,14530,3710
610,11637,11833
611,4477,15752
612,1072,10107
613,6068,2629
