# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T05:17:16+00:00
# capture_name=freq_2vpp_1to1_18p496MHz_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5010
# firmware_status_timestamp=2026-08-30T05:17:16+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to1_18p496MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=18496093
# generator_amplitude_vpk=0.13
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,4082,8070
1,1568,474
2,10049,6415
3,14444,15325
4,7046,11406
5,1227,1917
6,6784,3082
7,14407,13224
8,9956,14120
9,1925,4885
10,4247,1230
11,12956,10514
12,12863,15400
13,3995,8056
14,1930,595
15,10504,6940
16,14346,15148
17,7232,11712
18,1274,1843
19,7497,3541
20,14406,13254
21,10085,14253
22,2165,4401
23,4224,1339
24,12710,10269
25,12676,15527
26,4178,8157
27,2178,794
28,10382,6598
29,14356,15451
30,6949,11183
31,1386,1796
32,7181,3613
33,14270,13638
34,10198,14092
35,1931,3949
36,4565,1781
37,13109,10515
38,12559,15562
39,3611,7421
40,2154,838
41,11059,7440
42,14218,15579
43,6546,11092
44,1253,1711
45,7768,3820
46,14658,13793
47,9546,13858
48,1713,4003
49,4388,1369
50,13442,11365
51,12645,15660
52,3661,7388
53,2346,579
54,11156,7968
55,14466,15584
56,6269,10549
57,1285,1522
58,8057,4146
59,14667,13723
60,9258,13777
61,1784,3817
62,4972,1609
63,13348,11376
64,12038,15300
65,3777,7240
66,2439,668
67,10953,7915
68,14091,15511
69,6175,10139
70,1445,1316
71,8223,4667
72,14363,14323
73,9252,13322
74,1823,3525
75,4915,2066
76,13480,11433
77,12074,15183
78,3277,6603
79,2456,695
80,11362,8237
81,13954,15241
82,6248,10505
83,1284,1337
84,8518,5125
85,14725,14363
86,9396,13259
87,1319,3330
88,5042,1803
89,13786,11563
90,12060,15249
91,2838,6051
92,2500,726
93,11704,8700
94,14159,15920
95,5733,9662
96,1315,1325
97,8562,4861
98,14590,14413
99,8592,13082
100,1466,2940
101,5852,2300
102,13769,11717
103,11688,15422
104,2913,6132
105,3077,1048
106,11845,8433
107,13654,15695
108,5193,9577
109,1548,760
110,9024,5185
111,14365,14449
112,8381,12902
113,1558,2825
114,6024,2672
115,13740,12181
116,11464,14971
117,2700,5635
118,3187,797
119,11723,8644
120,13668,15933
121,5417,9630
122,1586,775
123,8853,5305
124,14424,15101
125,8428,12443
126,1445,2785
127,5929,2585
128,13865,12192
129,11252,14985
130,2654,5780
131,3189,831
132,12457,9810
133,13579,15789
134,5088,9063
135,1387,668
136,9087,5638
137,14638,15194
138,8113,12365
139,1187,2571
140,5930,2257
141,14124,12869
142,11016,14749
143,2685,5621
144,3581,1088
145,12442,9672
146,13696,15655
147,4744,8846
148,1650,1020
149,9833,6095
150,14544,15033
151,8085,12807
152,1307,2114
153,6393,2917
154,14004,13008
155,10590,14439
156,2219,5008
157,3900,1271
158,12532,9394
159,13057,15602
160,4724,8940
161,1795,982
162,9986,6388
163,14430,14986
164,7770,12003
165,1476,2260
166,6336,2777
167,14223,13278
168,10902,14551
169,2425,5171
170,3868,1162
171,12566,9602
172,13127,15851
173,4308,8307
174,1743,505
175,10162,6528
176,14610,15378
177,7590,12060
178,1152,1916
179,6576,2792
180,14549,13636
181,10650,14387
182,2148,4693
183,3916,1247
184,12819,10339
185,13045,15706
186,4163,8000
187,1790,402
188,10166,6516
189,14454,15417
