# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T05:08:29+00:00
# capture_name=freq_2vpp_1to1_2p002MHz_09.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=3607
# firmware_status_timestamp=2026-08-30T05:08:29+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to1_2p002MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=2001953.125
# generator_amplitude_vpk=0.13
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8354,10272
1,9461,8965
2,10778,8089
3,11843,6761
4,12556,5359
5,13579,4793
6,14420,3498
7,14919,2849
8,15382,2251
9,15656,1714
10,15828,1303
11,15673,930
12,15429,946
13,15030,1266
14,14379,1484
15,13790,2057
16,12781,2547
17,11908,3565
18,10914,4406
19,9718,5222
20,8483,6504
21,7401,7369
22,6319,8897
23,5244,9947
24,4289,10978
25,3356,11929
26,2656,12970
27,2019,13732
28,1594,14485
29,1198,15001
30,1292,15449
31,1256,15643
32,1536,15686
33,1981,15479
34,2580,15012
35,3290,14621
36,4094,13745
37,5115,13265
38,6241,12215
39,7265,11130
40,8363,10329
41,9517,9078
42,10771,7925
43,11794,6707
44,12765,5552
45,13573,4464
46,14365,3562
47,14921,2745
48,15293,2026
49,15713,1568
50,15834,1482
51,15741,961
52,15281,988
53,15061,1239
54,14383,1674
55,13700,1846
56,12763,2557
57,11832,3482
58,10801,4540
59,9621,5257
60,8568,6440
61,7446,7589
62,6218,8777
63,5166,10010
64,4169,11051
65,3415,11983
66,2703,13029
67,1958,13897
68,1549,14378
69,1367,15101
70,1230,15351
71,1233,15577
72,1589,15693
73,2027,15371
74,2540,14991
75,3229,14603
76,4147,14082
77,5172,13197
78,6336,12031
79,7305,11073
80,8379,10279
81,9715,8923
82,10829,7925
83,11677,6679
84,12742,5584
85,13783,4508
86,14371,3498
87,14943,2706
88,15444,2246
89,15648,1574
90,15796,1392
91,15602,935
92,15420,1121
93,14977,1085
94,14382,1480
95,13605,2036
96,12728,2691
97,11916,3600
98,10820,4252
99,9516,5529
100,8476,6624
101,7326,7840
102,6156,8608
103,5279,9994
104,4164,11013
105,3325,12134
106,2607,13039
107,2011,13943
108,1621,14557
109,1298,14963
110,1271,15446
111,1197,15701
112,1646,15634
113,1976,15270
114,2650,14966
115,3336,14537
116,4208,14006
117,5293,13218
118,6277,12033
119,7272,11233
120,8462,9966
121,9790,8962
122,10746,7800
123,11839,6678
124,12872,5523
125,13695,4559
126,14320,3489
127,14884,2770
128,15483,2173
129,15729,1397
130,15797,1424
131,15523,1007
132,15374,1148
133,15032,1237
134,14235,1315
135,13588,2182
136,12826,2852
137,11818,3662
138,10708,4184
139,9517,5546
140,8541,6583
141,7345,7718
142,6160,8920
143,5120,10085
144,4133,11063
145,3416,12264
146,2478,12855
147,1984,13952
148,1566,14734
149,1365,15019
150,1178,15406
151,1253,15670
152,1658,15619
153,2060,15445
154,2595,14992
155,3402,14574
156,4307,13914
157,5343,13125
158,6248,11932
159,7438,11204
160,8673,10046
161,9736,8919
162,10732,7535
163,11878,6563
164,12923,5719
165,13787,4572
166,14361,3550
167,14998,2573
168,15404,2102
169,15738,1575
170,15713,1162
171,15649,1090
172,15477,1158
173,14982,1142
174,14306,1661
175,13497,1975
176,12773,2886
177,11689,3650
178,10606,4496
179,9634,5438
180,8388,6751
181,7247,7816
182,6169,8843
183,5045,10081
184,4145,11210
185,3283,12156
186,2503,13041
187,2028,14186
188,1572,14597
189,1275,14992
190,1204,15555
191,1367,15624
192,1588,15676
193,2054,15447
194,2599,14805
195,3330,14572
196,4422,13940
197,5309,13033
198,6350,12143
199,7506,10935
200,8638,10010
201,9754,8835
202,10844,7606
203,11980,6495
204,12998,5596
205,13696,4384
206,14435,3603
207,15014,2676
208,15502,2059
209,15664,1538
210,15660,1369
211,15661,990
212,15364,984
213,14942,1179
214,14257,1589
215,13636,2135
216,12776,2808
217,11605,3693
218,10613,4598
219,9496,5545
220,8388,6704
221,7288,7782
222,6050,9051
223,4983,10126
224,4149,11277
225,3300,12234
226,2465,13110
227,1915,13957
228,1656,14697
229,1183,15132
230,1189,15239
231,1376,15840
232,1588,15695
233,2026,15287
234,2695,14888
235,3474,14492
236,4406,13963
237,5312,12905
238,6245,11939
