# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T05:20:15+00:00
# capture_name=freq_2vpp_1to1_30MHz_09.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5439
# firmware_status_timestamp=2026-08-30T05:20:15+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to1_30MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=30000000
# generator_amplitude_vpk=0.13
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8904,8878
1,11820,3225
2,1228,15110
3,12719,3901
4,7004,8249
5,4114,13131
6,14356,1439
7,2588,12774
8,8867,8663
9,11560,3506
10,935,14866
11,13005,3915
12,6872,8170
13,3936,13393
14,14261,1706
15,2742,12346
16,9193,8367
17,11667,3449
18,1052,14967
19,13010,3977
20,6859,8363
21,3610,13365
22,14163,1477
23,2418,13014
24,8501,9278
25,11929,3433
26,1334,14946
27,12942,3755
28,6780,8425
29,3679,13614
30,14287,1618
31,2335,13096
32,8404,9120
33,12062,3297
34,1245,14756
35,13321,3795
36,6979,8224
37,3901,12966
38,14338,1595
39,2696,12730
40,9373,8197
41,12100,3061
42,1144,14651
43,13071,3863
44,7814,7373
45,3842,13325
46,14178,1619
47,2954,12689
48,8666,8558
49,11522,3760
50,1130,15083
51,13036,3604
52,7069,7926
53,3953,13322
54,14294,1590
55,2651,12884
56,8817,8803
57,11768,3358
58,1439,14828
59,13173,3289
60,7646,7680
61,4104,12937
62,14308,1613
63,2754,12782
64,9236,8400
65,11671,3269
66,1030,14917
67,13186,3977
68,6909,8079
69,3686,13500
70,14401,1307
71,2413,13182
72,8372,9235
73,11981,3382
74,1215,15017
75,12900,3823
76,6780,8234
77,4061,13045
78,14391,1520
79,2486,13330
80,9045,8293
81,12316,2886
82,1207,14853
83,13580,3668
84,7092,7952
85,3721,13289
86,14142,1436
87,2778,12673
88,9274,8433
89,12527,2700
90,1153,14870
91,13404,3514
92,7413,7231
93,3934,13439
94,14459,1493
95,2514,13083
96,9057,8522
97,12176,2911
98,1348,15069
99,13135,3978
100,6665,8355
101,3590,13516
102,14283,1699
103,2801,12663
104,8643,8914
105,11537,3704
106,1378,14927
107,12963,3865
108,6666,8420
109,3998,13051
110,14530,1581
111,2587,13033
112,8443,9047
113,11537,3550
114,1102,15095
115,13066,3706
116,7121,8015
117,4027,13112
118,14285,1458
119,2700,12943
120,8670,9174
121,11680,3407
122,1309,15040
123,13332,3440
124,7160,7993
125,3553,13429
126,14189,1826
127,2669,13087
128,9085,8157
129,12237,2834
130,1260,14863
131,13539,3544
132,7116,8179
133,3774,13077
134,14214,1456
135,2702,13101
136,8483,8992
137,11365,3310
138,962,15375
139,13145,3807
140,7067,8262
141,3732,12949
142,14300,1685
143,2605,13257
144,8470,8819
145,11308,3569
146,1430,14823
147,13089,4320
148,6982,7889
149,4126,13107
150,14485,1267
151,2773,12942
152,8911,8391
153,11463,3682
154,1041,15335
155,13045,3636
156,6331,8770
157,4057,13249
158,14584,1376
159,2529,12827
160,8823,8661
161,11545,3335
162,1373,15085
163,13462,3447
164,7674,7143
165,3911,13325
166,14251,1544
167,2755,12873
168,8809,8466
169,12033,2936
170,1357,15127
171,13415,3378
172,6746,8249
173,3869,13038
174,14400,1624
175,2590,13254
176,8677,8423
177,11672,3264
178,1212,14993
179,13368,3352
180,7516,7421
181,3657,13426
182,14409,1657
183,2800,12667
184,8634,8760
185,11578,3102
186,1297,15034
187,13462,3473
188,7059,7978
189,3673,13178
190,14270,1816
191,2622,12943
192,9250,7790
193,11973,2977
194,1540,15316
195,13387,3648
196,7396,7469
197,3738,13213
198,14383,1478
199,2386,13359
200,8380,9002
201,11664,3302
202,1191,15026
203,12972,3834
204,6635,8552
205,3524,13318
206,14451,1729
207,2665,13064
208,8970,8236
209,12041,2911
210,1501,15060
211,13120,4042
212,6604,8150
213,3974,13177
214,14570,1426
215,2322,12990
