# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T05:04:20+00:00
# capture_name=freq_2vpp_1to1_996kHz_03.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=2982
# firmware_status_timestamp=2026-08-30T05:04:20+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to1_996kHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=996093
# generator_amplitude_vpk=0.13
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=3
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,5962,8949
1,5416,8608
2,4880,8018
3,4339,7330
4,3929,6684
5,3591,6413
6,2986,5666
7,2754,5268
8,2335,4745
9,2058,4182
10,1842,3760
11,1641,3293
12,1333,2838
13,1199,2566
14,1246,2108
15,1240,1800
16,1044,1592
17,1174,1499
18,1208,1146
19,1424,1156
20,1484,801
21,1777,978
22,2064,1043
23,2271,982
24,2570,925
25,2993,1242
26,3377,1310
27,3711,1467
28,4239,1664
29,4724,2155
30,5342,2435
31,5667,2739
32,6301,3079
33,6915,3582
34,7504,4181
35,7850,4361
36,8559,4966
37,9224,5751
38,9649,5878
39,10321,6795
40,10706,7013
41,11420,8032
42,11877,8336
43,12271,8714
44,12705,9614
45,13293,10018
46,13708,10493
47,13992,11105
48,14439,11752
49,14705,12113
50,14949,12635
51,15130,12926
52,15275,13440
53,15558,13797
54,15624,14134
55,15515,14261
56,15660,14700
57,15672,14969
58,15632,15254
59,15352,15357
60,15218,15146
61,15064,15544
62,14940,15424
63,14477,15316
64,14210,15291
65,13871,15350
66,13552,14978
67,12982,14927
68,12620,14457
69,12178,14541
70,11620,13860
71,11019,13735
72,10575,13179
73,10132,12714
74,9478,12291
75,8840,11962
76,8402,11543
77,7762,10904
78,7180,10243
79,6577,9866
80,6108,9318
81,5504,8709
82,5014,7926
83,4524,7770
84,4167,6965
85,3568,6377
86,3186,5713
87,2804,5370
88,2424,4898
89,2257,4403
90,1828,3772
91,1579,3237
92,1497,3084
93,1318,2687
94,1209,2211
95,1100,1959
96,1126,1701
97,1131,1509
98,1124,1130
99,1288,1150
100,1496,966
101,1718,1277
102,1839,866
103,2097,973
104,2515,852
105,2895,1076
106,3135,1313
107,3605,1450
108,4136,1690
109,4543,2070
110,5025,2181
111,5610,2670
112,6135,2968
113,6667,3462
114,7252,3827
115,7804,4400
116,8431,5019
117,8892,5241
118,9456,5907
119,10094,6556
120,10547,6980
121,11222,7633
122,11724,8236
123,12071,8294
124,12602,9500
125,13152,10001
126,13538,10338
127,13874,10801
128,14263,11404
129,14606,11964
130,14822,12476
131,15039,12931
132,15338,13232
133,15499,13692
134,15502,14056
135,15694,14531
136,15652,14624
137,15625,15007
138,15634,15205
139,15400,15177
140,15328,15440
141,15149,15481
142,14886,15372
143,14587,15428
144,14312,15291
145,14059,15473
146,13565,15076
147,13182,14913
148,12829,14630
149,12247,14472
150,11841,14313
151,11286,13713
152,10782,13566
153,10265,12907
154,9577,12434
155,9058,12130
156,8554,11827
157,7871,10958
158,7327,10690
159,6757,9866
160,6366,9491
161,5735,8966
162,5118,8208
163,4656,7839
164,4323,7275
165,3733,6631
166,3229,5882
167,3018,5669
168,2589,4906
169,2267,4490
170,1902,3871
171,1673,3768
172,1572,3151
