# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T01:54:00+00:00
# capture_name=gain_2vpp_1to100_5MHz_g52p50_10.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=913
# firmware_status_timestamp=2026-08-24T01:54:00+00:00
# software_git_commit=be69198
# software_git_dirty=false
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=52.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=52.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=52.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=1
# calibration_volts_per_code_ch1=0.00100228430856
# calibrated_volts_per_div_ch1=2.05267826393
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=52.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=1
# calibration_volts_per_code_ch2=0.00100228430856
# calibrated_volts_per_div_ch2=2.05267826393
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=gain
# series_id=gain_2vpp_1to100_5MHz_g52p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=3.565
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=10
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,10564,10320
1,11698,11340
2,12308,11817
3,12244,11985
4,11793,11326
5,10699,10415
6,8955,8755
7,7504,7304
8,5979,5957
9,4652,4740
10,4066,3932
11,3959,4079
12,4712,4523
13,5666,5713
14,7351,7195
15,8901,8776
16,10635,10327
17,11907,11416
18,12303,11904
19,12282,11914
20,11795,11403
21,10555,10433
22,9015,8794
23,7390,7228
24,5818,5885
25,4829,4705
26,4102,3963
27,3989,3974
28,4654,4542
29,5750,5561
30,7407,7182
31,8965,8614
32,10420,10279
33,11790,11486
34,12437,11986
35,12448,12029
36,11624,11339
37,10718,10447
38,9060,8775
39,7422,7421
40,5943,5829
41,4753,4767
42,3890,3925
43,4192,4071
44,4543,4558
45,5977,5670
46,7386,7092
47,9092,8769
48,10347,10204
49,11739,11366
50,12297,11927
51,12347,11972
52,11755,11541
53,10397,10244
54,9150,8940
55,7369,7040
56,5822,5900
57,4695,4626
58,3974,4043
59,4027,3864
60,4744,4709
61,5843,5706
62,7331,7126
63,9166,8708
64,10488,10339
65,11764,11305
66,12421,11968
67,12510,11998
68,11688,11531
69,10538,10223
70,9188,8757
71,7289,7248
72,5841,5806
73,4797,4648
74,3849,3942
75,4130,4125
76,4530,4474
77,6012,5632
78,7453,7258
79,8899,8595
80,10548,10245
81,11621,11205
82,12548,12020
83,12278,11996
84,11844,11360
85,10521,10373
86,8993,8744
87,7337,7311
88,5862,5834
89,4822,4669
90,3994,3881
91,4163,3995
92,4542,4589
93,5874,5740
94,7292,7159
95,9092,8657
96,10502,10145
97,11859,11485
98,12295,11833
99,12315,11912
100,11786,11453
101,10462,10249
102,9018,8928
103,7522,7200
104,5798,5790
105,4749,4615
106,4027,4014
107,4056,3890
108,4746,4709
109,5674,5542
110,7498,7299
111,9023,8724
112,10735,10379
113,11583,11224
114,12195,11872
115,12348,12006
116,11699,11320
117,10655,10307
118,9003,8920
119,7506,7275
120,5662,5706
121,4860,4784
122,3967,4041
123,4113,3997
124,4678,4682
125,5822,5522
126,7271,7138
127,9005,8755
128,10559,10312
129,11684,11299
130,12270,11858
131,12434,12043
132,11746,11461
133,10578,10207
134,9162,8698
135,7356,7327
136,5875,5850
137,4871,4713
138,3898,4027
139,4236,4092
140,4566,4559
141,5821,5559
142,7431,7193
143,8876,8597
144,10612,10248
145,11654,11361
146,12344,11909
147,12391,11944
148,11580,11265
149,10712,10430
150,9102,8802
151,7343,7320
152,6003,5901
153,4605,4709
154,4056,3894
155,4295,4100
156,4408,4516
157,5869,5678
158,7533,7173
159,9004,8639
160,10448,10155
161,11592,11262
162,12396,12085
163,12288,12060
164,11784,11402
165,10725,10486
166,9141,8891
167,7403,7298
168,5852,5761
169,4688,4578
170,4036,4042
171,4141,4082
172,4764,4581
173,5669,5536
174,7311,7082
175,9040,8674
176,10462,10251
177,11793,11389
178,12380,11842
179,12258,11907
180,11771,11413
181,10669,10277
182,9016,8803
183,7489,7171
184,5780,5970
185,4579,4800
186,4186,4043
187,3956,3886
188,4730,4626
189,5741,5640
