# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_validated_after_adc_range_correction
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:49:41+00:00
# capture_name=harmonics_1vpp_1to100_profile0p5Vdiv_g55p50_04.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=688
# firmware_status_timestamp=2026-08-23T20:49:41+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=0.5
# calibration_volts_per_code_ch1=0.000246821293355
# calibrated_volts_per_div_ch1=0.50549000879
# displayed_volts_per_div_ch1=0.5
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0200
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=0.5
# calibration_volts_per_code_ch2=0.000253357015986
# calibrated_volts_per_div_ch2=0.518875168739
# displayed_volts_per_div_ch2=0.5
# measurement_type=harmonics
# series_id=harmonics_1vpp_1to100_profile0p5Vdiv_g55p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=1.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=4
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,10101,9104,0.471181849,0.231061599
1,11407,11254,0.793530458,0.775779183
2,13397,13004,1.28470483,1.21915396
3,15009,14680,1.68258076,1.64378032
4,14661,14366,1.59668695,1.56422622
5,14101,13514,1.45846702,1.34836604
6,11715,11689,0.869551416,0.885989485
7,9510,9494,0.325310465,0.329870835
8,7161,6511,-0.254472753,-0.425893144
9,4192,4212,-0.987285173,-1.00836092
10,3036,2201,-1.27261059,-1.51786188
11,2094,1434,-1.50511625,-1.71218671
12,1909,1643,-1.55077819,-1.6592351
13,2525,2083,-1.39873627,-1.54775801
14,5141,4431,-0.753051766,-0.952875737
15,6329,6314,-0.45982807,-0.475804476
16,9554,9081,0.336170602,0.225234387
17,11602,11664,0.84166061,0.87965556
18,14133,13559,1.4663653,1.3597671
19,14545,14332,1.56805568,1.55561208
20,14783,14660,1.62679914,1.63871318
21,13544,13476,1.32098756,1.33873847
22,12018,12109,0.944338268,0.992399432
23,9627,9414,0.354188556,0.309602274
24,7387,7105,-0.198691141,-0.275399076
25,4913,4497,-0.809327021,-0.936154174
26,1920,1852,-1.54806315,-1.60628348
27,1742,1499,-1.59199734,-1.69571851
28,2158,1416,-1.48931968,-1.71674714
29,2544,2052,-1.39404666,-1.55561208
30,4682,4129,-0.86634274,-1.02938956
31,6436,6093,-0.433418191,-0.531796377
32,8865,8813,0.16611073,0.157334707
33,11780,11414,0.885594801,0.816316306
34,13662,13157,1.35011247,1.25791758
35,15023,14234,1.68603625,1.53078309
36,14721,14711,1.61149622,1.65163439
37,14183,14000,1.47870637,1.47149755
38,12034,11981,0.948287409,0.959969734
39,9815,9863,0.400590959,0.423359574
40,7480,7060,-0.175736761,-0.286800142
41,4445,4359,-0.924839386,-0.971117442
42,2865,2088,-1.31481703,-1.54649123
43,1773,1312,-1.58434588,-1.74309627
44,1878,1233,-1.55842965,-1.76311147
45,3269,2474,-1.21510123,-1.44869542
46,4128,4034,-1.00308174,-1.05345847
47,6846,6387,-0.332221461,-0.457309414
48,9075,8748,0.217943202,0.140866501
49,11455,11740,0.80537788,0.898910693
50,13800,13223,1.38417381,1.27463915
51,15006,14513,1.68184029,1.6014697
52,14628,14947,1.58854184,1.71142664
53,13885,13663,1.40515362,1.38611623
54,12301,11636,1.01418869,0.872561563
55,9716,9463,0.376155651,0.322016767
56,6569,7057,-0.400590959,-0.287560213
57,4732,4161,-0.854001675,-1.02128213
58,2805,2406,-1.32962631,-1.46592369
59,2460,1619,-1.41477965,-1.66531567
60,1339,1331,-1.69146632,-1.73828249
61,2989,2181,-1.28421119,-1.52292902
62,4417,3757,-0.931750382,-1.12363837
63,6803,6004,-0.342834776,-0.554345151
64,9908,9307,0.423545339,0.282493073
65,11457,11419,0.805871523,0.817583091
66,13740,13572,1.36936454,1.36306075
67,14176,14271,1.47697862,1.5401573
68,15132,14727,1.71293978,1.6556881
69,13982,13556,1.42909529,1.35900703
70,12208,11680,0.991234314,0.883709272
71,9905,9346,0.422804876,0.292373996
72,6606,6997,-0.391458571,-0.302761634
