# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_validated_after_adc_range_correction
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:55:06+00:00
# capture_name=harmonics_1vpp_1to100_profile2Vdiv_g49p66_10.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=1131
# firmware_status_timestamp=2026-08-23T20:55:06+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.66
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=49.66
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=49.6600
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=2
# calibration_volts_per_code_ch1=0.000937547255406
# calibrated_volts_per_div_ch1=1.92009677907
# displayed_volts_per_div_ch1=2
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=49.6600
# afe_offset_pct_ch2=50.0200
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=2
# calibration_volts_per_code_ch2=0.00095347624333
# calibrated_volts_per_div_ch2=1.95271934634
# displayed_volts_per_div_ch2=2
# measurement_type=harmonics
# series_id=harmonics_1vpp_1to100_profile2Vdiv_g49p66
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=6.3
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=10
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,915,888,-6.82253138,-6.96419048
1,2206,1920,-5.61215787,-5.980203
2,4468,4236,-3.49142598,-3.77195202
3,7340,7084,-0.798790262,-1.05645168
4,10159,10080,1.84415545,1.80016315
5,12938,12995,4.44959927,4.5795464
6,14903,14917,6.29187963,6.41212774
7,15625,16053,6.96878875,7.49527675
8,15573,15668,6.92003629,7.1281884
9,14172,14531,5.60653259,6.04408591
10,11834,12065,3.4145471,3.69281349
11,9369,9378,1.10349312,1.13082282
12,6296,6204,-1.7775896,-1.89551077
13,3576,3639,-4.32771813,-4.34117734
14,1672,1418,-6.11280811,-6.45884807
15,868,596,-6.8665961,-7.24260554
16,875,714,-6.86003327,-7.13009535
17,2290,2017,-5.5334039,-5.8877158
18,4394,4049,-3.56080448,-3.95025208
19,7226,7162,-0.905670649,-0.982080531
20,10007,10154,1.70164827,1.87072039
21,12851,12758,4.36803266,4.35357253
22,14847,14909,6.23937698,6.40449993
23,15751,16093,7.0869197,7.5334158
24,15380,15695,6.73908967,7.15393225
25,14347,14315,5.77060336,5.83813504
26,11881,12130,3.45861183,3.75478945
27,9211,9073,0.955360653,0.84001257
28,6135,6114,-1.9285347,-1.98132363
29,3529,3555,-4.37178285,-4.42126934
30,1721,1437,-6.06686829,-6.44073202
31,609,638,-7.10942084,-7.20255954
32,804,647,-6.92659912,-7.19397826
33,2321,1938,-5.50433994,-5.96304043
34,4443,4306,-3.51486466,-3.70520868
35,7148,7012,-0.978799335,-1.12510197
36,10333,10110,2.00728867,1.82876743
37,12870,12640,4.38584606,4.24106233
38,14636,14933,6.04155451,6.42738336
39,15948,15975,7.27161651,7.4209056
40,15505,15481,6.85628308,6.94988834
41,14132,14487,5.5690307,6.00213295
42,12174,12130,3.73331317,3.75478945
43,9154,9238,0.90192046,0.997336151
44,6264,6264,-1.80759111,-1.8383022
45,3677,3501,-4.23302586,-4.47275706
46,1737,1344,-6.05186753,-6.52940531
47,781,733,-6.94816271,-7.1119793
48,837,757,-6.89566006,-7.08909587
49,2219,1811,-5.59996976,-6.08413191
50,4538,4138,-3.42579767,-3.86539269
51,7346,7278,-0.793164978,-0.871477286
52,10028,10087,1.72133676,1.80683748
53,12986,12899,4.49460154,4.48801268
54,14861,14847,6.25250265,6.3453844
55,15653,15896,6.99504007,7.34558098
56,15575,15397,6.92191139,6.86979633
57,14241,14286,5.67122335,5.81048423
58,12104,12441,3.66768486,4.05132056
59,9216,9228,0.96004839,0.987801388
60,6253,6183,-1.81790413,-1.91553377
61,3416,3406,-4.47772569,-4.5633373
62,1860,1490,-5.93654922,-6.39019778
63,731,683,-6.99504007,-7.15965311
64,989,402,-6.75315288,-7.42757994
65,2255,1886,-5.56621806,-6.01262119
66,4532,4284,-3.43142295,-3.72618516
67,7164,7210,-0.963798579,-0.936313671
68,10126,10216,1.81321639,1.92983592
69,13142,13006,4.64085891,4.59003464
70,14760,14924,6.15781037,6.41880207
71,15722,15868,7.05973083,7.31888364
72,15493,15513,6.84503251,6.98039958
