# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_validated_after_adc_range_correction
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:56:28+00:00
# capture_name=harmonics_1vpp_1to100_profile5Vdiv_g45p00_07.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=1286
# firmware_status_timestamp=2026-08-23T20:56:28+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.00
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=45.00
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=45.0000
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=5
# calibration_volts_per_code_ch1=0.00262986607407
# calibrated_volts_per_div_ch1=5.3859657197
# displayed_volts_per_div_ch1=5
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=45.0000
# afe_offset_pct_ch2=50.0200
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.00264756886989
# calibrated_volts_per_div_ch2=5.42222104552
# displayed_volts_per_div_ch2=5
# measurement_type=harmonics
# series_id=harmonics_1vpp_1to100_profile5Vdiv_g45p00
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=16
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=7
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,12779,13052,12.0631957,12.8671847
1,10248,10434,5.40700465,5.93584941
2,7625,7483,-1.49113406,-1.87712633
3,5027,4919,-8.32352612,-8.66549291
4,3022,2966,-13.5964076,-13.8361949
5,1676,1560,-17.1362073,-17.5586767
6,1391,1152,-17.8857192,-18.6388848
7,2090,1736,-16.0474428,-17.0927046
8,3935,3788,-11.1953399,-11.6598933
9,6233,6135,-5.15190764,-5.44604917
10,8847,8904,1.72256228,1.88506904
11,11471,11388,8.62333086,8.46163011
12,13594,13626,14.2065365,14.3868892
13,14804,15012,17.3886745,18.0564197
14,15150,15344,18.2986081,18.9354126
15,14400,14621,16.3262086,17.0212203
16,12578,12640,11.5345926,11.7763863
17,10298,10209,5.53849795,5.34014641
18,7706,7910,-1.27811491,-0.746614421
19,5081,5101,-8.18151336,-8.18363538
20,2972,3049,-13.7279009,-13.6164467
21,1755,1352,-16.9284479,-18.1093711
22,1406,1168,-17.8462712,-18.5965237
23,2191,2163,-15.7818263,-15.9621927
24,3812,3603,-11.5188134,-12.1496935
25,6355,6177,-4.83106398,-5.33485127
26,8748,8698,1.46220554,1.33966985
27,11489,11492,8.67066845,8.73697727
28,13530,13541,14.0382251,14.1618459
29,14840,14764,17.4833497,17.3998226
30,15076,15411,18.1039981,19.1127997
31,14358,14438,16.2157542,16.5367152
32,12763,13249,12.0211178,13.3887558
33,10232,10439,5.36492679,5.94908725
34,7771,7741,-1.10717362,-1.19405356
35,5071,5017,-8.20781202,-8.40603116
36,3015,2667,-13.6148167,-14.627818
37,1712,1400,-17.0415322,-17.9822878
38,1389,1353,-17.8909789,-18.1067235
39,2074,1733,-16.0895206,-17.1006473
40,3863,3563,-11.3846902,-12.2555963
41,6200,6295,-5.23869322,-5.02243815
42,8881,8658,1.81197773,1.23376709
43,11324,11442,8.23674054,8.60459883
44,13484,13652,13.9172513,14.455726
45,14727,15069,17.1861748,18.2073311
46,15099,15364,18.164485,18.9883639
47,14313,14399,16.0974102,16.43346
48,12665,12835,11.7633909,12.2926623
49,10352,10463,5.68051072,6.0126289
50,7572,7700,-1.63051697,-1.30260388
51,5006,4982,-8.37875331,-8.49869607
52,2873,2637,-13.9882576,-14.7072451
53,1699,1477,-17.0757204,-17.778425
54,1401,1185,-17.8594205,-18.5515151
55,2176,1953,-15.8212743,-16.5181822
56,3782,3672,-11.5977094,-11.9670113
57,6222,6209,-5.18083617,-5.25012907
58,9007,8835,2.14334085,1.70238678
59,11446,11679,8.55758421,9.23207265
60,13572,13491,14.1486795,14.0294674
61,14811,15211,17.4070835,18.5832859
62,15085,15290,18.1276668,18.7924438
63,14412,14339,16.357767,16.2746058
64,12668,12905,11.7712805,12.4779921
65,10281,10586,5.49379023,6.33827987
66,7590,7605,-1.58317938,-1.55412293
67,5069,5065,-8.21307175,-8.27894786
68,2856,3024,-14.0329654,-13.6826359
69,1757,1135,-16.9231882,-18.6838935
70,1445,1253,-17.7437064,-18.3714804
71,2088,1867,-16.0527025,-16.7458731
72,3838,3809,-11.4504369,-11.6042944
73,6295,6283,-4.98885594,-5.05420897
74,8753,8694,1.47535487,1.32907957
75,11545,11531,8.81794095,8.84023246
76,13492,13607,13.9382902,14.3365854
77,14793,15004,17.359746,18.0352391
78,15108,15472,18.1881538,19.2743014
79,14321,14341,16.1184492,16.279901
