# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_validated_after_adc_range_correction
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:44:24+00:00
# capture_name=harmonics_1vpp_1to1_profile20mVdiv_g49p50_05.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=2e-07
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=3297
# firmware_status_timestamp=2026-08-23T20:44:24+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.50
# firmware_afe_ch1_offset_pct=51.40
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=49.50
# firmware_afe_ch2_offset_pct=51.40
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=49.5000
# afe_offset_pct_ch1=51.4000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.00404446079e-05
# calibrated_volts_per_div_ch1=0.0205628305569
# displayed_volts_per_div_ch1=0.02
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=49.5000
# afe_offset_pct_ch2=51.4000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=9.85166992743e-06
# calibrated_volts_per_div_ch2=0.0201762200114
# displayed_volts_per_div_ch2=0.02
# measurement_type=harmonics
# series_id=harmonics_1vpp_1to1_profile20mVdiv_g49p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.06
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=5
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,10281,10836,0.0209744888,0.0260478153
1,12639,13469,0.0446498572,0.0519872622
2,14311,13883,0.0614374806,0.0560658536
3,14475,14136,0.0630841135,0.058558326
4,14064,14657,0.0589574907,0.0636910461
5,12961,13305,0.0478828803,0.0503715883
6,10788,10720,0.0260649942,0.0249050216
7,8230,8391,0.000381536895,0.00196048232
8,6246,6386,-0.0195387052,-0.0177921159
9,4359,4205,-0.0384850242,-0.039278608
10,2828,2434,-0.0538569449,-0.0567259154
11,1952,2014,-0.0626523744,-0.0608636168
12,2324,2035,-0.058917329,-0.0606567317
13,3912,3706,-0.0429731029,-0.0441945913
14,5934,5807,-0.0226713239,-0.0234962328
15,8462,8076,0.00271092004,-0.00114279371
16,10583,11130,0.0240067031,0.0289442062
17,12884,13142,0.0471097661,0.0487657661
18,13842,13947,0.056728512,0.0566963604
19,14662,14540,0.0649616766,0.0625384007
20,14161,14452,0.0599314139,0.0616714537
21,12970,13199,0.0479732443,0.0493273113
22,10584,10422,0.0240167435,0.0219692239
23,8319,8198,0.00127513647,5.91100196e-05
24,5992,5939,-0.0220889781,-0.0221958123
25,4040,4341,-0.041687926,-0.0379387809
26,2703,2135,-0.0551120005,-0.0596715648
27,2296,2167,-0.0591984614,-0.0593563113
28,2438,2150,-0.0577727183,-0.0595237897
29,3935,3895,-0.0427421727,-0.0423326257
30,6097,5863,-0.0210347315,-0.0229445393
31,8216,7934,0.000240970671,-0.00254173084
32,10654,10637,0.0247195746,0.024087333
33,12459,12900,0.0428425771,0.046381662
34,14108,14222,0.0593992703,0.0594055697
35,14458,14177,0.0629134259,0.0589622445
36,13819,14541,0.0564975818,0.0625482524
37,12666,13447,0.0449209492,0.0517705255
38,11056,10956,0.0287558334,0.0272300157
39,8720,7975,0.00530135475,-0.00213781237
40,5966,6634,-0.0223500297,-0.0153489017
41,4151,4180,-0.0405734367,-0.0395248997
42,2552,2362,-0.0566281076,-0.0574352357
43,2032,2328,-0.0618491388,-0.0577701925
44,3019,2571,-0.05193922,-0.0553762367
45,3976,3250,-0.0423305145,-0.0486869528
46,5577,5920,-0.0262557626,-0.0223829941
47,8490,8138,0.00299205249,-0.000531990176
48,11007,10901,0.0282638516,0.0266881738
49,12841,12723,0.046678027,0.0446379164
50,14105,14166,0.059369149,0.0588538761
51,14491,15004,0.0632447606,0.0671095755
52,14138,14603,0.0597004836,0.0631590559
53,13141,13206,0.0496901604,0.049396273
54,10552,10663,0.0236954493,0.0243434764
55,8335,8523,0.00143578358,0.00326090275
56,6111,5985,-0.0208941652,-0.0217426355
57,4185,3935,-0.0402320615,-0.0419385589
58,2556,2717,-0.0565879458,-0.0539378929
59,2377,2048,-0.0583851854,-0.06052866
60,2906,2053,-0.0530737902,-0.0604794017
61,3786,4034,-0.0442381989,-0.0409632436
62,5949,5844,-0.0225207173,-0.023131721
63,8430,7967,0.00238962582,-0.00221662573
64,10438,10876,0.0225508386,0.0264418821
65,13161,12538,0.0498909693,0.0428153575
66,14028,13914,0.0585960347,0.0563712553
