# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:34:11+00:00
# capture_name=harmonics_2vpp_1to100_profile0p5Vdiv_g55p50_06.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=622
# firmware_status_timestamp=2026-08-23T21:34:11+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.03
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000246821293355
# calibrated_volts_per_div_ch1=0.50549000879
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0300
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.000253357015986
# calibrated_volts_per_div_ch2=0.518875168739
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to100_profile0p5Vdiv_g55p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=3.3
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=6
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,936,946
1,899,1259
2,2222,2133
3,4340,4219
4,6790,6845
5,9989,9896
6,12467,12659
7,14457,14522
8,15291,15465
9,15661,15521
10,13916,14437
11,12020,12291
12,9771,9677
13,6746,6603
14,3838,4043
15,1886,2114
16,1193,865
17,1126,1090
18,2411,2427
19,4281,4149
20,7039,6985
21,9724,9587
22,12584,12661
23,14257,14439
24,15825,15662
25,15279,15329
26,14089,14377
27,11970,12270
28,9261,9537
29,6670,6746
30,4164,4192
31,1711,2262
32,1016,895
33,1334,1266
34,2191,2135
35,4357,4304
36,7049,6817
37,10096,10087
38,12736,12506
39,14292,14416
40,15323,15507
41,15274,15422
42,14128,14332
43,12215,12419
44,9348,9574
45,6647,6608
46,4171,4155
47,1973,2126
48,1418,1154
49,766,964
50,2218,2277
51,4410,4324
52,7016,6930
53,10036,9846
54,12280,12563
55,14649,14632
56,15267,15571
57,15481,15496
58,13976,14329
59,12207,12266
60,9383,9525
61,6602,6620
62,3821,4078
63,2179,1990
64,1293,1133
65,904,1013
66,2327,2128
67,4267,4203
68,7075,7084
69,9869,9860
70,12392,12363
71,14390,14562
72,15494,15492
73,15439,15671
74,14195,14418
75,12116,12312
76,9725,9663
77,6788,6738
78,3750,4086
79,2150,2121
80,1156,821
81,1101,1055
82,2459,2275
83,3785,4103
84,7109,7117
85,9819,9611
86,12673,12599
87,14536,14543
88,15552,15541
89,15112,15443
90,14357,14585
91,12224,12177
92,9381,9557
93,6692,6761
94,3982,4187
95,2006,1950
96,1496,1222
97,950,1172
98,2226,2237
99,4300,4158
100,6982,6892
101,10433,10036
102,12441,12443
103,14261,14530
104,15599,15535
105,15134,15410
106,14159,14372
107,12147,12265
108,9618,9517
109,6505,6504
110,4180,4289
111,1981,1937
112,960,944
113,1570,1233
114,2176,1976
115,4315,4293
116,6885,6912
117,10008,10067
118,12282,12560
119,14180,14485
120,15566,15662
121,15397,15489
122,13865,14247
123,12291,12501
124,9317,9563
125,6718,6879
126,4079,4010
127,1987,1902
128,1265,1139
129,1008,929
130,2425,2153
131,4388,4139
132,6948,7134
133,10119,9873
134,12698,12445
135,14468,14550
136,15422,15500
137,15084,15636
138,14321,14537
139,12049,12325
140,9762,9637
141,6519,6566
142,4078,4107
143,2043,2026
144,1212,1023
145,1178,937
146,2178,2316
147,4558,4393
148,6761,6813
149,10435,10214
150,12444,12496
151,14286,14446
152,15060,15352
153,15325,15481
154,14414,14419
155,12137,12379
156,9362,9434
157,6527,6725
158,4495,4191
159,1887,1926
160,1091,1176
161,1143,1164
162,2324,2377
163,4358,4230
164,7119,6961
165,10193,9962
166,12374,12395
167,14649,14549
168,15434,15580
169,15012,15566
170,14217,14495
171,12394,12352
172,9570,9692
173,6521,6626
174,3966,4232
175,2035,2137
176,1138,1051
177,1034,1008
178,2522,2313
179,4511,4224
180,6773,6899
181,10003,9990
182,12329,12473
183,14209,14451
184,15462,15501
185,15267,15491
186,14356,14437
187,11771,12234
188,9319,9629
189,6501,6580
190,4207,4383
191,1974,2140
192,1366,935
193,1304,1068
194,2242,2196
195,4227,4113
196,7029,6824
197,9948,9769
198,12768,12696
199,14307,14405
200,15424,15657
201,15217,15418
202,14359,14394
203,12057,12383
204,9257,9589
205,6395,6610
206,4287,4326
207,2205,2076
208,1142,1006
209,1175,1043
210,2141,2227
211,4394,4209
212,7030,6794
213,9980,9781
214,12483,12627
215,14448,14561
216,15626,15737
217,14890,15524
218,14368,14483
219,12248,12328
220,9288,9530
221,6695,6778
222,3727,4169
223,1984,1973
224,1199,1042
225,1237,914
226,2324,2317
227,4211,4245
228,6985,6977
229,9991,9906
230,12268,12346
231,14895,14737
232,15264,15432
233,15507,15601
234,13925,14427
235,12057,12379
236,9391,9458
237,6762,6673
238,3930,3902
239,2342,2189
240,974,975
241,1254,1034
242,2213,2300
243,4156,4120
244,7400,7074
245,9639,9818
246,12751,12727
247,14077,14279
248,15629,15626
249,15140,15409
250,14174,14553
251,12032,12220
252,9615,9630
253,6801,6717
254,3802,3936
255,2063,1968
256,1442,1170
257,1109,1109
258,2265,2186
259,4514,4202
260,6727,6860
261,9843,9899
262,12264,12376
263,14767,14549
264,15389,15472
265,15073,15529
266,14298,14504
267,12394,12273
268,9190,9595
269,6749,6724
270,4170,3808
271,2037,2131
272,1020,950
273,1241,1181
274,2136,2106
275,4529,4200
276,6764,6980
277,10080,10061
278,12609,12740
279,14494,14520
280,15160,15569
281,15348,15498
282,14193,14607
283,12233,12405
284,9352,9543
285,6638,6693
286,3991,4012
287,2164,2061
288,1143,1045
289,999,1038
290,2227,2196
291,4217,4157
292,7511,7213
293,9873,9587
294,12548,12553
295,14141,14554
296,15540,15555
297,15419,15508
298,14110,14306
299,12175,12319
300,9202,9629
301,6862,6912
302,4216,4248
303,2009,1938
304,1106,1172
305,934,945
306,2571,2235
307,3913,4022
308,7263,6910
309,10130,10022
310,12295,12499
311,14153,14498
312,15459,15493
313,15283,15496
314,14305,14187
315,11808,12196
316,9326,9627
317,6498,6567
318,4087,4128
319,2174,2023
320,1212,1124
321,1041,1058
322,2326,2195
323,4342,4150
324,7150,6916
325,10075,10009
326,12287,12437
327,14581,14514
328,15343,15651
329,15336,15403
330,13981,14320
331,12332,12334
332,9239,9570
333,6658,6556
334,3695,4024
335,2013,2034
336,1258,1070
337,1014,1040
338,2589,2369
339,4024,4273
340,6997,7113
341,10129,9971
342,12134,12174
343,14463,14398
344,15536,15639
345,15208,15511
346,14262,14434
347,11949,12203
348,9283,9755
349,6729,6710
350,4051,4155
351,1922,2160
352,1048,888
353,1238,1188
354,2310,2117
355,4363,4185
356,7155,6922
357,9477,9738
358,12771,12519
359,14315,14537
360,15238,15501
361,15366,15483
362,14269,14359
363,11938,12311
364,9614,9723
365,6460,6648
366,4190,4238
367,2178,2064
368,1162,1000
369,1227,1186
370,2451,2232
371,4382,4191
372,7053,6848
373,9686,9740
374,12763,12740
375,14434,14496
376,15582,15569
377,15254,15573
378,14054,14338
379,12378,12336
380,9521,9570
381,6546,6819
382,4156,4127
383,2043,1980
384,774,895
385,1366,1019
386,2300,2264
387,4313,4266
388,6937,6829
389,10046,10076
390,12372,12395
391,14713,14616
392,15230,15429
393,15410,15429
394,14001,14240
395,11955,12337
396,9564,9514
397,6509,6517
398,4100,4143
399,2157,2003
400,1117,1115
401,1027,820
402,2340,2175
403,4208,4225
404,6873,6872
405,10140,10029
406,12651,12342
407,14252,14506
408,15434,15493
409,15519,15568
410,14316,14500
411,12072,12498
412,9393,9552
413,6539,6760
414,4181,4177
415,2193,2137
416,1001,1104
417,1161,1025
418,2505,2224
419,4191,4299
420,7174,6876
421,9971,9941
422,12194,12447
423,14374,14573
424,15613,15700
425,15630,15606
426,13975,14252
427,12335,12425
428,9389,9728
429,6673,6628
430,4075,4024
431,2167,2222
432,1299,1073
433,973,1030
434,2151,2062
435,4661,4244
436,6876,6962
437,10024,9762
438,12397,12366
439,14404,14489
440,15569,15583
441,15579,15476
442,14247,14467
443,11819,12287
444,9605,9601
445,6629,6698
446,4204,4157
447,1985,2001
448,852,1003
449,1433,1156
450,2142,2024
451,4543,4306
452,7134,6805
453,10080,10034
454,12620,12507
455,14353,14461
456,15533,15826
457,15217,15465
458,14330,14473
459,11930,12246
460,9507,9678
461,6861,6580
462,3821,4206
463,2154,1931
464,992,1016
465,1410,1229
466,2094,2090
467,4434,4292
468,6912,6755
469,9762,9762
470,12443,12593
471,14409,14446
472,15454,15493
473,15590,15504
474,13937,14245
475,12044,12333
476,9708,9696
477,6564,6628
478,4060,4182
479,1905,1992
480,1488,1143
481,1021,986
482,2433,2295
483,4269,4180
484,7078,6780
485,10178,10076
486,12266,12302
487,14518,14646
488,15368,15503
489,15111,15337
490,14226,14398
491,12208,12282
492,9313,9462
493,6989,6807
494,3776,4018
495,2045,2196
496,1243,802
497,1330,1233
498,2065,2020
499,4270,4194
500,6817,6869
501,9958,9849
502,12660,12519
503,14314,14348
504,15631,15640
505,15067,15394
506,14305,14545
507,11951,12345
508,9676,9589
509,6198,6516
510,4186,4155
511,2227,1910
512,1090,1115
513,1011,916
514,2434,2260
515,4337,4162
516,7064,6823
517,10073,9996
518,12204,12473
519,14681,14658
520,15228,15569
521,15417,15461
522,14284,14661
523,12050,12200
524,9380,9795
525,6767,6645
526,4162,4288
527,2140,1934
528,1019,1155
529,1285,1242
530,1960,1974
531,4569,4426
532,6728,6849
533,10129,10014
534,12375,12512
535,14406,14516
536,15354,15521
537,15572,15476
538,14106,14662
539,12268,12194
540,9463,9694
541,6437,6595
542,4007,4126
543,2303,2107
544,926,989
545,1023,1125
546,2629,2252
547,4003,4110
548,6726,6676
549,10252,9930
550,12353,12437
551,14382,14491
552,15427,15707
553,15177,15314
554,14288,14636
555,12186,12394
556,9479,9456
557,6606,6818
558,4173,4125
559,2015,2034
560,1122,818
561,1070,955
562,2314,2255
563,4206,4232
564,7125,6878
565,10197,10010
566,12109,12314
567,14436,14574
568,15390,15411
569,15338,15475
570,14501,14502
571,12094,12376
572,9227,9481
573,6706,6888
574,4064,3992
575,1965,2170
576,1077,918
577,1149,954
578,2438,2160
579,4360,4154
580,6752,6937
581,9784,9933
582,12883,12586
583,14554,14517
584,14864,15335
585,15346,15478
586,14258,14555
587,12360,12350
588,9393,9458
589,6565,6802
590,4168,4145
591,1860,1862
592,1045,1025
593,1018,983
594,2573,2226
595,4096,4261
596,6934,6754
597,9998,9888
598,12606,12456
599,14657,14634
600,15078,15390
601,15363,15538
602,14318,14422
603,12112,12416
604,9594,9522
605,6542,6636
606,4077,4118
607,2125,2036
