# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:36:21+00:00
# capture_name=harmonics_2vpp_1to100_profile1Vdiv_g52p53_06.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=825
# firmware_status_timestamp=2026-08-23T21:36:21+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=52.53
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=52.53
# firmware_afe_ch2_offset_pct=50.03
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=52.5300
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000487788191831
# calibrated_volts_per_div_ch1=0.998990216871
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=52.5300
# afe_offset_pct_ch2=50.0300
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.00049235231157
# calibrated_volts_per_div_ch2=1.0083375341
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to100_profile1Vdiv_g52p53
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=6.7
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=6
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,15773,15995
1,14561,14765
2,12580,12807
3,9843,10002
4,6686,6857
5,4011,3955
6,1839,1816
7,721,714
8,575,445
9,1996,1725
10,3768,3682
11,6679,6680
12,9668,9587
13,12596,12480
14,14517,14690
15,15644,15953
16,15740,15799
17,14665,14769
18,12606,12914
19,9794,9858
20,6697,6812
21,4031,4177
22,1894,1895
23,599,533
24,714,427
25,1748,1643
26,4034,3843
27,6783,6496
28,9605,9647
29,12502,12467
30,14518,14762
31,15780,15854
32,15633,16012
33,14735,14818
34,12473,12788
35,9881,9937
36,6706,6875
37,3910,4014
38,1832,1751
39,719,726
40,852,588
41,1772,1651
42,3826,3638
43,6535,6600
44,9669,9587
45,12535,12463
46,14521,14521
47,15685,15936
48,15840,15891
49,14496,14778
50,12579,12703
51,9769,9853
52,6672,6705
53,3859,4060
54,1894,1835
55,769,653
56,706,552
57,1811,1577
58,3749,3679
59,6698,6708
60,9502,9541
61,12563,12536
62,14507,14686
63,15846,15910
64,15760,15905
65,14660,14904
66,12650,12804
67,9722,9822
68,6577,6789
69,3993,4173
70,1899,1753
71,682,715
72,616,598
73,1974,1763
74,3869,3762
75,6681,6450
76,9522,9657
77,12364,12349
78,14722,14642
79,15780,15989
80,15808,15967
81,14620,14807
82,12662,13001
83,9636,9866
84,6668,6801
85,4054,4005
86,1905,1885
87,771,696
88,625,547
89,1661,1667
90,3923,3778
91,6821,6688
92,9797,9697
93,12345,12429
94,14714,14685
95,15741,16003
96,15735,15957
97,14541,14794
98,12767,12883
99,9746,9825
100,6820,6987
101,3846,3972
102,1886,1755
103,633,623
104,692,441
105,1688,1625
106,3789,3784
107,6587,6629
108,9767,9682
109,12552,12506
110,14476,14738
111,15645,15802
112,15655,15984
113,14710,14818
114,12549,12720
115,9874,9920
116,6749,6855
117,4085,4028
118,1747,1705
119,882,733
120,559,436
121,1718,1673
122,3975,3813
123,6746,6645
124,9569,9549
125,12343,12374
126,14552,14630
127,15759,15901
128,15697,15980
129,14721,14929
130,12392,12685
131,9792,9781
132,6693,6896
133,3834,3994
134,2042,1718
135,609,619
136,684,723
137,1782,1738
138,3894,3838
139,6675,6625
140,9664,9515
141,12451,12393
142,14531,14708
143,15864,15960
144,15809,15984
145,14570,14721
146,12572,12794
147,9642,9857
148,6764,6817
149,3998,4025
150,1733,1750
151,740,681
152,860,618
153,1563,1583
154,3937,3788
155,6769,6625
156,9634,9700
157,12391,12416
158,14647,14606
159,15676,15877
160,15634,15989
161,14646,14810
162,12547,12887
163,9689,9845
164,6777,6786
165,4051,4083
166,1941,1834
167,575,610
168,599,506
169,1918,1679
170,3804,3785
171,6744,6734
172,9497,9495
173,12419,12332
174,14741,14727
175,15604,15892
176,15756,15911
177,14585,14725
178,12463,12674
