# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:39:53+00:00
# capture_name=harmonics_2vpp_1to100_profile5Vdiv_g45p00_03.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=1233
# firmware_status_timestamp=2026-08-23T21:39:53+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=45.00
# firmware_afe_ch2_offset_pct=50.03
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=45.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.00262986607407
# calibrated_volts_per_div_ch1=5.3859657197
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=45.0000
# afe_offset_pct_ch2=50.0300
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.00264756886989
# calibrated_volts_per_div_ch2=5.42222104552
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to100_profile5Vdiv_g45p00
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=20
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=3
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,11858,11908
1,12437,12491
2,12426,12610
3,11868,11971
4,10671,10808
5,9074,9120
6,7402,7472
7,5790,5782
8,4674,4612
9,4046,4045
10,3939,3843
11,4579,4690
12,5791,5736
13,7351,7361
14,9013,8894
15,10691,10756
16,11857,11808
17,12498,12446
18,12511,12545
19,11800,11970
20,10655,10777
21,9001,9079
22,7402,7453
23,5878,5909
24,4607,4513
25,3973,4049
26,3952,3923
27,4674,4594
28,5781,5662
29,7396,7328
30,9081,9071
31,10694,10666
32,11780,11765
33,12481,12522
34,12494,12560
35,11812,12045
36,10690,10758
37,9113,9236
38,7414,7451
39,5780,5758
40,4679,4609
41,4049,3980
42,3995,3832
43,4702,4551
44,5788,5777
45,7345,7298
46,9061,9052
47,10679,10830
48,11790,11790
49,12496,12461
50,12487,12566
51,11802,11873
52,10697,10818
53,9086,9093
54,7455,7527
55,5823,5871
56,4531,4576
57,3981,3948
58,3956,3913
59,4594,4628
60,5813,5782
61,7422,7398
62,9062,8994
63,10637,10645
64,11778,11831
65,12439,12458
66,12437,12574
67,11854,11894
68,10641,10738
69,9021,9103
70,7423,7424
71,5796,5794
72,4617,4521
73,3990,3954
74,3994,3844
75,4598,4529
76,5842,5670
77,7367,7295
78,9096,9018
79,10597,10610
80,11780,11829
81,12497,12555
82,12494,12532
83,11801,11830
84,10696,10969
85,9058,9134
86,7428,7511
87,5792,5798
88,4685,4677
89,3993,3861
90,3972,3969
91,4616,4539
92,5840,5657
93,7357,7353
94,9086,9026
95,10714,10658
96,11781,11975
97,12510,12530
98,12502,12624
99,11840,11935
100,10693,10844
101,9067,9170
102,7380,7400
103,5850,5847
104,4609,4519
105,3950,3960
106,3975,3844
107,4634,4674
108,5773,5562
109,7336,7316
110,9086,9002
111,10542,10550
112,11853,11830
113,12431,12491
114,12445,12562
115,11868,11904
116,10680,10847
117,9010,9075
118,7337,7346
119,5833,5799
120,4632,4567
121,3991,4003
122,3967,3930
123,4604,4514
124,5843,5771
125,7359,7348
126,9041,8951
127,10689,10728
128,11798,11842
129,12487,12525
130,12498,12613
131,11788,11820
132,10699,10773
133,8994,9118
134,7440,7445
135,5791,5845
136,4623,4539
137,3989,3936
138,3986,3910
139,4596,4684
140,5794,5724
141,7416,7435
142,9023,8987
143,10716,10707
144,11768,11817
145,12491,12474
146,12445,12563
147,11870,11970
148,10633,10766
149,9089,9207
150,7331,7413
151,5790,5775
152,4620,4550
153,3980,4060
154,3946,3905
155,4636,4636
156,5838,5710
157,7377,7313
158,9010,8995
159,10691,10737
160,11794,11806
161,12449,12486
162,12480,12612
163,11860,11837
164,10709,10804
165,9012,9144
166,7414,7395
167,5827,5836
168,4630,4608
169,4036,3945
170,3948,3854
171,4590,4678
172,5826,5738
