# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-09-02T17:59:58+00:00
# capture_name=harmonics_2vpp_1to1_5MHz_osc_fix_ch1_vga_bypass_04.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=1042
# firmware_status_timestamp=2026-09-02T17:59:58+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.44
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=49.4400
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=2.02551178559e-05
# calibrated_volts_per_div_ch1=0.0414824813689
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=harmonics_2vpp_1to1_5MHz_osc_fix_ch1_vga_bypass
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=4
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,1392,8107
1,3343,7929
2,6046,8213
3,9173,8120
4,12023,8156
5,14202,8071
6,15596,8104
7,15810,8099
8,14916,7929
9,12823,8128
10,10187,8112
11,7338,8110
12,4381,8212
13,2057,8082
14,710,7987
15,445,8070
16,1430,8189
17,3315,8088
18,6091,8037
19,9100,8231
20,11906,8047
21,14290,8106
22,15594,8068
23,15773,8174
24,14913,8065
25,13016,7955
26,10220,8072
27,7192,8200
28,4401,8168
29,1976,8130
30,726,8088
31,467,8001
32,1358,8217
33,3312,7882
34,6095,8083
35,9052,8155
36,11920,8182
37,14282,8122
38,15630,7917
39,15813,8069
40,14857,8240
41,12947,8149
42,10233,8121
43,7270,8172
44,4391,8026
45,1977,8101
46,682,7876
47,416,8118
48,1407,8184
49,3343,8172
50,6089,8122
51,9122,8130
52,11969,8073
53,14235,8109
54,15596,8147
55,15865,8138
56,14843,8135
57,12969,8092
58,10182,8174
59,7180,8050
60,4430,8103
61,2022,8159
62,695,8066
63,439,8143
64,1385,8076
65,3331,8047
66,6019,8124
67,9113,8162
68,11983,8066
69,14225,8066
70,15599,8142
71,15854,7974
72,14837,8168
73,12894,8084
74,10256,8147
75,7153,8105
76,4365,8090
77,2126,8022
78,626,8016
79,418,8066
80,1415,8098
81,3419,8198
82,6070,8118
83,8994,8027
84,11932,8061
85,14250,8219
86,15597,8155
87,15812,7822
88,14909,8325
89,12941,8110
90,10226,8114
91,7300,7998
92,4253,8106
93,2074,8023
94,679,8075
95,450,8231
96,1333,8085
97,3372,8097
98,6080,8085
99,9007,7985
100,12006,8237
101,14231,7887
102,15588,8014
103,15868,8155
104,14920,8211
105,12892,8047
106,10314,7942
107,7118,7992
108,4380,8157
109,2071,8144
110,768,7942
111,423,8079
112,1395,8146
113,3402,8176
114,5995,8085
115,9155,8166
116,12010,8059
117,14233,8170
118,15588,8087
119,15888,8142
120,14840,8178
121,12901,8091
122,10299,7962
123,7108,8064
124,4400,8086
125,2062,8098
126,676,8145
127,468,8131
128,1405,8004
129,3339,8234
130,5980,8096
131,9062,8166
132,11972,8148
133,14223,8051
134,15628,8107
135,15867,7986
136,14888,8277
137,12965,8194
138,10224,8163
139,7172,8061
140,4393,8126
141,2022,8158
142,710,8071
143,438,8092
144,1353,8243
145,3322,8083
146,6110,8155
147,9090,8130
148,11924,8111
149,14198,8093
150,15645,8083
151,15827,8288
152,14887,8162
153,12964,8155
154,10226,8070
155,7235,8118
156,4308,8137
157,2060,7928
158,695,8270
159,453,8095
160,1398,8120
161,3410,8146
162,5982,8026
163,9069,8119
164,11990,7984
165,14241,8278
166,15543,8090
167,15845,8149
168,14878,8045
169,12846,8149
170,10243,7989
171,7166,8115
172,4301,8216
173,2057,8174
174,690,8008
175,439,8155
176,1465,8110
177,3384,8124
178,6101,8047
179,9092,8159
180,11905,8039
181,14269,8153
182,15576,8124
183,15846,8098
184,14843,8167
185,12985,8215
186,10171,8144
187,7187,8148
188,4427,8127
189,2059,8221
190,657,8082
191,466,7827
192,1385,8219
193,3328,8131
194,6049,8140
195,9106,7958
196,11959,8161
197,14183,8045
198,15649,8201
199,15841,8299
200,14817,8233
201,12957,7979
202,10185,8192
203,7204,8065
204,4360,7950
205,2062,8070
206,648,8085
207,440,8145
208,1432,8113
209,3288,8332
210,5990,8114
211,9077,8175
212,11961,8135
213,14210,8078
214,15609,8134
215,15839,7982
216,14916,8233
217,12834,8109
218,10202,8095
219,7323,8165
220,4280,8120
221,2071,8007
222,751,8039
223,406,8051
224,1403,8128
225,3425,8110
226,5997,8110
227,9138,8160
228,12012,8121
229,14161,8077
230,15613,8172
231,15857,8119
232,14873,8122
233,12962,8116
234,10291,8200
235,7119,8098
236,4324,8093
237,2041,8094
238,692,8091
239,489,8139
240,1410,8067
241,3406,8254
242,5981,8104
243,9171,8123
244,11944,8118
245,14262,8192
246,15609,8108
247,15855,7976
248,14801,8058
249,12872,8126
250,10320,8165
251,7280,8067
252,4220,8070
253,2054,8054
254,696,8041
255,446,8170
256,1366,8130
257,3379,8138
258,6024,8152
259,9069,8141
260,11945,8079
261,14222,8167
262,15586,8162
263,15810,8100
264,14942,8154
