# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=1
# original_recorded_adc_range_vpp_ch2=1
# physical_adc_range_vpp_ch1=2
# physical_adc_range_vpp_ch2=2
# voltage_columns_status=not_present
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:16:13+00:00
# capture_name=harmonics_2vpp_1to1_profile20mVdiv_g49p50_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=45979
# firmware_status_timestamp=2026-08-23T21:16:13+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.50
# firmware_afe_ch1_offset_pct=51.30
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=49.50
# firmware_afe_ch2_offset_pct=51.30
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=49.5000
# afe_offset_pct_ch1=51.3000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibrated_volts_per_div_ch1=
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=49.5000
# afe_offset_pct_ch2=51.3000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibrated_volts_per_div_ch2=
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to1_profile20mVdiv_g49p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.14
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,7206,7123
1,4445,4516
2,2473,2488
3,1192,1005
4,1044,1044
5,2086,1909
6,4013,3773
7,6435,6513
8,9431,9444
9,11885,12076
10,14113,14030
11,15347,15356
12,15327,15827
13,14393,14669
14,12609,12615
15,9973,10127
16,7097,7204
17,4515,4431
18,2499,2279
19,1147,1123
20,1152,939
21,2014,1936
22,4028,3901
23,6733,6393
24,9334,9277
25,11880,12006
26,14132,14467
27,15433,15501
28,15474,15606
29,14486,14599
30,12509,12663
31,9894,10331
32,7324,7129
33,4654,4439
34,2378,2482
35,1257,1228
36,1150,804
37,2024,1940
38,4063,3837
39,6524,6270
40,9192,9386
41,12128,12149
42,14191,13949
43,15344,15719
44,15360,15595
45,14578,14448
46,12493,12745
47,9956,10140
48,7172,7039
49,4445,4433
50,2409,2445
51,1157,907
52,994,1060
53,2044,2013
54,4069,3377
55,6343,6502
56,9363,9526
57,12092,11977
58,14035,13900
59,15099,15579
60,15575,15526
61,14470,14433
62,12412,12733
63,10013,10178
64,7107,7136
65,4574,4408
66,2479,2269
67,1252,1156
68,955,958
69,2159,1893
70,4002,3892
71,6471,6333
72,9500,9338
73,11878,11977
74,14162,14323
75,15388,15451
76,15419,15634
77,14414,14641
78,12609,12595
79,10012,10240
80,7148,7411
81,4716,4341
82,2367,2182
83,1253,1294
84,1093,945
85,1958,1632
86,4063,3849
87,6480,6486
88,9340,9380
89,12072,12169
90,14118,14174
91,15321,15357
92,15329,15682
93,14605,14677
94,12459,12574
95,9935,10287
96,7287,7262
97,4389,4211
98,2284,2220
99,1159,1137
100,1136,939
101,2072,1707
102,4014,3815
103,6578,6452
104,9305,9385
105,12085,12106
106,13959,14302
107,15296,15546
108,15524,15656
109,14553,14581
110,12465,12809
111,10065,10201
112,7295,7387
113,4619,4487
114,2631,2288
115,1134,1140
116,1041,1231
117,2207,1938
118,4011,3772
119,6581,6682
120,9582,9500
121,12078,11913
122,13988,14067
123,15377,15681
124,15619,15847
125,14503,14741
126,12928,12800
127,9977,10171
128,7089,7502
129,4631,4131
130,2524,2312
131,1172,1421
132,1357,949
133,2054,1891
134,3899,3879
135,6607,6305
136,9547,9500
137,11960,12203
138,14143,14332
139,15297,15333
140,15510,15820
141,14696,14617
142,12549,12744
143,9937,10507
144,7281,7285
145,4682,4358
146,2516,2531
147,1474,1223
148,1131,977
149,1972,1970
150,4124,3926
151,6728,6413
152,9342,9596
153,12160,12172
154,14317,14123
155,15329,15708
156,15557,15754
157,14596,14637
158,12562,12772
159,10155,10493
160,7340,7160
161,4585,4469
162,2533,2513
163,1412,1081
164,1064,1121
165,2190,2135
166,4065,3820
167,6653,6694
168,9399,9645
169,12148,11899
170,14197,14153
171,15285,15607
172,15599,15719
173,14492,14582
174,12653,13033
175,10237,10115
176,7180,7210
177,4529,4540
178,2553,2416
179,1279,1068
180,1126,1170
181,2203,1920
182,4093,3644
183,6583,6519
184,9386,9261
