# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:28:01+00:00
# capture_name=harmonics_2vpp_1to1_profile50mVdiv_g45p44_09.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=47983
# firmware_status_timestamp=2026-08-23T21:28:01+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.44
# firmware_afe_ch1_offset_pct=51.30
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=45.44
# firmware_afe_ch2_offset_pct=51.30
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=45.4400
# afe_offset_pct_ch1=51.3000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=2.44116517637e-05
# calibrated_volts_per_div_ch1=0.049995062812
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=45.4400
# afe_offset_pct_ch2=51.3000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=2.46406002339e-05
# calibrated_volts_per_div_ch2=0.0504639492791
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to1_profile50mVdiv_g45p44
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.36
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,5938,5857
1,8763,8661
2,11643,11746
3,14145,14187
4,15388,15417
5,15736,15901
6,14893,15303
7,13059,13280
8,10421,10538
9,7598,7564
10,4815,4630
11,2383,2314
12,884,872
13,565,472
14,1397,1152
15,3295,3157
16,5931,5851
17,8896,8842
18,11626,11766
19,14098,14147
20,15415,15552
21,15748,15877
22,14962,15225
23,13110,13242
24,10521,10659
25,7549,7566
26,4646,4587
27,2462,2335
28,928,907
29,555,582
30,1515,1204
31,3397,3158
32,5793,5642
33,8746,8737
34,11735,11822
35,14072,14056
36,15556,15616
37,15810,15828
38,14910,15224
39,13214,13358
40,10416,10516
41,7630,7784
42,4801,4640
43,2339,2386
44,969,798
45,634,314
46,1479,1259
47,3319,3166
48,6036,5795
49,8856,8810
50,11670,11835
51,13939,13951
52,15505,15585
53,15666,15882
54,15050,15424
55,13192,13212
56,10488,10646
57,7494,7533
58,4662,4624
59,2513,2394
60,1024,871
61,621,523
62,1317,1261
63,3306,2998
64,5965,5698
65,8967,9028
66,11648,11789
67,14087,14148
68,15412,15601
69,15764,16090
70,14971,15121
71,13130,13330
72,10545,10653
73,7616,7542
74,4711,4723
75,2348,2349
76,979,723
77,645,351
78,1501,1277
79,3260,3002
80,5907,5755
81,8744,8754
82,11793,11859
83,13984,14073
84,15443,15590
85,15812,16021
86,14946,15152
87,13192,13364
88,10474,10413
89,7587,7727
90,4684,4692
91,2497,2401
92,1007,782
93,620,477
94,1423,1261
95,3422,3104
96,5753,5676
97,8990,8927
98,11742,11772
99,13960,14056
100,15487,15597
101,15715,15835
102,14879,15137
103,13170,13344
104,10497,10558
105,7558,7599
106,4698,4528
107,2332,2211
108,885,770
109,720,404
110,1447,1168
111,3191,3228
112,5811,5744
113,8915,8730
114,11746,11904
115,13972,14089
116,15486,15623
117,15738,15841
118,14902,15114
119,13148,13250
120,10592,10782
121,7622,7630
122,4666,4702
123,2294,2287
124,953,745
125,626,480
126,1398,1156
127,3232,3153
128,5844,5637
129,8820,8839
130,11845,11865
131,13884,14043
132,15372,15600
133,15742,15858
134,14937,15175
135,13144,13322
136,10405,10517
137,7580,7708
138,4666,4646
139,2313,2231
140,863,738
141,591,341
142,1460,1203
143,3211,2996
144,5845,5678
145,8928,8857
146,11713,11773
147,13986,14054
148,15442,15531
149,15765,15961
150,14844,15004
151,13105,13454
152,10462,10480
153,7581,7626
154,4728,4625
155,2222,2247
156,966,828
157,638,414
158,1397,1164
159,3336,3217
160,5754,5561
161,8853,8769
162,11739,11702
163,14016,14092
164,15489,15594
165,15726,15953
166,14954,15237
167,13050,13097
168,10390,10548
169,7652,7770
170,4694,4497
171,2324,2269
172,885,904
173,663,315
174,1486,1118
175,3290,3113
176,5770,5745
177,8858,8766
178,11744,11817
