# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_present
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:07:02+00:00
# capture_name=noise_1vpp_gnd_04.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=2e-07
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=709
# firmware_status_timestamp=2026-08-23T20:07:02+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.00404446079e-05
# calibrated_volts_per_div_ch1=0.0205628305569
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=9.85166992743e-06
# calibrated_volts_per_div_ch2=0.0201762200114
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=noise_1vpp_gnd
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=4
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8229,8299
1,8412,8167
2,8249,8400
3,8390,8306
4,8186,8061
5,8160,8075
6,8389,7930
7,8033,8222
8,8374,8168
9,8284,7934
10,8216,8164
11,8335,8306
12,8204,7966
13,8297,7872
14,8094,8476
15,8273,8082
16,8289,8111
17,8422,7905
18,8207,8327
19,8270,8191
20,8141,7873
21,8113,8076
22,8328,8100
23,8216,7952
24,8300,8016
25,8175,8232
26,8379,8252
27,8163,8154
28,8356,8221
29,8121,7979
30,8248,8167
31,8412,8092
32,8145,7854
33,8359,8372
34,8223,7803
35,8142,7926
36,8257,8405
37,8245,8261
38,8344,8199
39,8346,8011
40,8158,7777
41,8245,8242
42,8118,7892
43,8203,7858
44,8167,8146
45,8268,8264
46,8349,8181
47,8256,7880
48,8322,8355
49,8269,8150
50,8225,8286
51,8211,7733
52,8149,7815
53,8310,8059
54,8276,7947
55,8222,8268
56,8273,7761
57,8141,7996
58,8318,8409
59,8268,8187
60,8359,8053
61,8331,7848
62,8201,7862
63,8402,8334
64,8074,8021
65,8325,8206
66,8311,8102
67,8181,8026
68,8192,7985
69,8118,7896
70,8423,8314
71,8251,7895
72,8084,8268
73,8301,8182
74,8248,8240
75,8278,8200
76,8231,7846
77,8181,8068
78,8261,7938
79,8167,8175
80,8282,7764
81,8165,7982
82,8340,8241
83,8234,8184
84,8277,8010
85,8321,8269
86,8153,7781
87,8394,8127
88,8195,7846
89,8325,8288
90,8166,8077
91,8341,7915
92,8214,8111
93,8299,8506
94,8335,8263
95,8236,7822
96,8265,8373
97,8125,8026
98,8263,8093
99,8440,8293
100,8289,7885
101,8223,8439
102,8187,8046
103,8241,8125
104,8319,8322
105,8206,7608
106,8204,8136
107,8257,7883
108,8247,8259
109,8271,8394
110,8342,8020
111,8238,8258
112,8322,8161
113,8159,7967
114,8264,7697
115,8329,8282
116,8191,8124
117,8358,8054
118,8165,8137
119,8224,8088
120,8287,8099
121,8281,7965
122,8097,8342
123,8322,8082
124,8341,8249
125,8164,8097
126,8159,8128
127,8187,7951
128,8523,8069
129,8197,8452
130,8180,8094
131,8264,8563
132,8186,8148
133,8271,7918
134,8304,8263
135,8404,7951
136,8102,8227
137,8332,7830
138,8222,8215
139,8288,7972
140,8205,7694
141,8281,8200
142,8440,8063
143,8183,8308
144,8177,7737
145,8283,8330
146,8234,7989
147,8192,7925
148,8217,8297
149,8477,8331
150,8198,8129
151,8316,8190
152,8306,8184
153,8220,8008
154,8114,7731
155,8203,8187
156,8388,8506
157,8104,8135
158,8322,8165
159,8300,7944
160,8315,8081
161,8216,8255
162,8280,7789
163,8268,8298
164,8243,8139
165,8273,8156
166,8091,7993
167,8350,7700
168,8265,8022
169,8328,8076
170,8151,8046
171,8276,8155
172,8330,8033
173,8237,8010
174,8278,8034
175,8244,8227
176,8260,8162
177,8243,8292
178,8437,8207
179,8241,8152
180,8115,8020
181,8333,8008
182,8255,8335
183,8313,7930
