# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-09-02T17:54:25+00:00
# capture_name=noise_2vpp_1to1_osc_fix_ch1_vga_bypass_06.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=560
# firmware_status_timestamp=2026-09-02T17:54:25+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.44
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=49.4400
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=2.02551178559e-05
# calibrated_volts_per_div_ch1=0.0414824813689
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=noise_2vpp_1to1_osc_fix_ch1_vga_bypass
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=6
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8183,8135
1,8194,7908
2,8197,8145
3,8157,8097
4,8187,8248
5,8170,8179
6,8162,8191
7,8171,8091
8,8167,8113
9,8178,8165
10,8198,7927
11,8204,8300
12,8182,8129
13,8169,8137
14,8183,8097
15,8173,8044
16,8194,8054
17,8190,8005
18,8156,8227
19,8178,8182
20,8185,8093
21,8197,8094
22,8176,8112
23,8174,8133
24,8182,7961
25,8159,8225
26,8169,8196
27,8184,8157
28,8178,8147
29,8193,8148
30,8161,8023
31,8191,8039
32,8201,8104
33,8166,8218
34,8155,8136
35,8184,8143
36,8195,8185
37,8169,8075
38,8167,8224
39,8222,7979
40,8164,8067
41,8171,8073
42,8185,8158
43,8187,8216
44,8195,7907
45,8154,8172
46,8171,8253
47,8176,8182
48,8174,8031
49,8198,7913
50,8194,8169
51,8157,8233
52,8196,8076
53,8149,8283
54,8185,8122
55,8173,8108
56,8185,8084
57,8181,8170
58,8183,8433
59,8174,8227
60,8157,8252
61,8180,8186
62,8181,8072
63,8178,8086
64,8196,7974
65,8223,8019
66,8172,8020
67,8161,8328
68,8157,8240
69,8187,8114
70,8188,8058
71,8174,8085
72,8183,8134
73,8185,8153
74,8187,7985
75,8157,8258
76,8180,8047
77,8180,8226
78,8169,8103
79,8182,8032
80,8192,8041
81,8212,7974
82,8161,8158
83,8164,8103
84,8177,8185
85,8150,8008
86,8206,8069
87,8164,8092
88,8201,8269
89,8190,8080
90,8184,8108
91,8189,8034
92,8202,8175
93,8181,8235
94,8189,7887
95,8154,8261
96,8180,8153
97,8160,8130
98,8204,8196
99,8175,8235
100,8166,8192
101,8173,8009
102,8165,8187
103,8181,8180
104,8216,7918
105,8187,8120
106,8172,8169
107,8172,8089
108,8182,8186
109,8168,8127
110,8188,8044
111,8169,8254
112,8205,8135
113,8163,8131
114,8164,8050
115,8190,8103
116,8174,8081
117,8202,8042
118,8159,8287
119,8189,8205
120,8180,8028
121,8165,8115
122,8179,8185
123,8190,8025
124,8183,8114
125,8166,8092
126,8160,8283
127,8167,8272
128,8165,8087
129,8203,8003
130,8167,8167
131,8207,8115
132,8204,8010
133,8167,8119
134,8159,8249
135,8183,8075
136,8200,8211
137,8167,8082
138,8194,8003
139,8172,8247
140,8171,7863
141,8167,8198
142,8202,8002
143,8176,8115
144,8153,8045
145,8176,8114
146,8165,8130
147,8196,8015
148,8177,8276
149,8153,8232
150,8175,8049
151,8197,8188
152,8186,8193
153,8181,7975
154,8176,8151
155,8171,8067
156,8183,8267
157,8177,8181
158,8191,7947
159,8162,8102
160,8165,8207
161,8177,8202
162,8180,7906
163,8161,8179
164,8170,8111
165,8202,8219
166,8180,8122
167,8171,8027
168,8164,8253
169,8164,8192
170,8202,8098
171,8194,7894
172,8154,8148
173,8177,8141
