# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=1
# original_recorded_adc_range_vpp_ch2=1
# physical_adc_range_vpp_ch1=2
# physical_adc_range_vpp_ch2=2
# voltage_columns_status=not_present
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:07:04+00:00
# capture_name=noise_2vpp_gnd_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=45060
# firmware_status_timestamp=2026-08-23T21:07:04+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibrated_volts_per_div_ch1=
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibrated_volts_per_div_ch2=
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=noise_2vpp_gnd
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8242,8166
1,8190,8169
2,8170,8142
3,8258,8092
4,8290,8272
5,8180,7870
6,8189,8179
7,8230,8229
8,8241,8196
9,8221,8091
10,8202,7993
11,8116,8112
12,8271,8223
13,8245,8025
14,8189,7993
15,8186,8290
16,8233,8105
17,8206,8205
18,8219,7952
19,8189,8141
20,8285,8195
21,8266,8071
22,8200,8086
23,8209,7850
24,8099,7993
25,8226,8277
26,8203,7955
27,8228,8263
28,8250,8210
29,8204,8068
30,8308,8182
31,8186,7974
32,8177,8041
33,8193,7989
34,8191,8131
35,8227,8308
36,8187,8122
37,8287,8149
38,8262,8145
39,8306,8120
40,8186,8208
41,8271,8016
42,8165,8118
43,8209,8110
44,8252,8122
45,8200,8115
46,8228,7989
47,8274,8198
48,8262,8206
49,8149,8146
50,8218,8145
51,8245,8187
52,8279,8091
53,8190,8012
54,8238,8105
55,8277,8190
56,8285,8225
57,8203,8115
58,8202,8137
59,8249,8152
60,8237,8257
61,8156,8129
62,8203,7871
63,8266,8319
64,8274,8163
65,8169,8115
66,8273,7927
67,8168,8242
68,8224,8161
69,8208,7931
70,8160,8163
71,8320,8312
72,8105,8053
73,8333,8065
74,8156,8194
75,8164,8041
76,8290,8243
77,8262,7947
78,8215,8116
79,8205,8275
80,8272,8018
81,8214,8199
82,8287,8012
83,8218,8115
84,8207,8122
85,8258,7943
86,8096,8218
87,8241,8067
88,8207,8168
89,8224,8213
90,8239,8210
91,8193,7983
92,8231,8147
93,8093,8110
94,8252,8261
95,8200,7937
96,8281,8109
97,8127,8105
98,8199,8261
99,8208,8186
100,8219,8017
101,8280,8135
102,8162,8186
103,8300,8213
104,8268,7963
105,8119,8154
106,8206,8163
107,8194,8205
108,8349,8307
109,8202,7909
110,8188,8077
111,8260,8201
112,8263,8218
113,8225,8075
114,8167,8072
115,8231,8393
116,8221,8224
117,8282,8013
118,8260,8071
119,8220,8243
120,8286,8199
121,8185,8026
122,8194,8010
123,8206,8272
124,8305,8237
125,8215,7925
126,8206,8131
127,8234,8207
128,8282,8234
129,8196,8079
130,8158,8046
131,8275,8243
132,8225,8240
133,8266,8128
134,8180,8067
135,8230,8315
136,8200,8114
137,8211,7985
138,8306,8170
139,8182,8349
140,8216,8219
141,8279,7946
142,8210,8075
143,8160,8138
144,8196,8199
145,8307,8098
146,8260,8128
147,8275,8123
148,8202,8235
149,8237,8291
150,8211,7926
151,8110,8060
152,8280,8206
153,8112,8140
154,8292,7923
155,8256,8081
156,8174,8197
157,8248,8182
158,8101,8029
159,8284,8231
160,8262,8093
161,8256,8155
162,8228,8022
163,8126,8225
164,8317,8293
165,8149,7978
166,8233,8222
167,8262,8165
168,8261,8072
169,8274,7981
170,8179,8074
171,8287,8225
172,8231,8091
173,8189,8261
174,8286,8192
175,8121,7966
176,8301,8246
177,8268,7920
178,8244,8212
179,8261,8018
180,8192,8222
181,8261,8159
182,8215,8074
183,8171,8187
184,8191,8070
185,8190,8163
186,8268,8022
187,8117,8114
188,8207,8152
189,8245,8222
190,8208,8069
191,8274,8114
192,8224,8132
193,8222,8183
194,8262,8175
195,8206,8008
196,8179,8226
197,8215,8184
198,8299,8222
199,8102,8046
200,8244,8186
201,8278,8068
202,8257,8135
203,8262,8386
204,8241,8048
205,8269,8244
206,8165,8181
207,8212,8119
208,8212,8120
209,8266,7946
210,8166,8061
211,8220,7968
212,8206,8221
213,8182,8164
214,8229,8178
215,8268,8133
216,8225,8182
217,8198,8095
218,8265,7994
219,8214,8282
220,8263,8183
221,8259,8090
222,8199,8117
223,8196,8037
224,8222,8211
225,8178,7942
226,8277,8166
227,8219,8097
228,8204,8142
229,8220,7990
230,8177,7969
231,8264,8268
232,8281,8216
233,8230,8117
234,8260,8117
235,8202,8038
236,8216,8196
237,8280,8077
238,8174,8043
239,8285,8400
240,8208,8120
241,8279,8059
242,8196,8010
243,8191,8276
244,8304,8208
245,8196,7980
246,8270,8271
247,8171,8165
248,8271,8161
249,8274,8146
250,8277,8272
251,8207,8150
252,8206,8052
253,8283,8187
254,8273,8188
255,8181,8070
256,8286,8122
257,8230,8309
258,8222,8078
259,8081,8078
260,8209,8144
261,8301,8192
262,8215,8191
263,8327,8149
264,8121,8160
265,8237,8267
266,8256,8163
267,8246,7978
268,8155,8093
269,8298,8197
270,8187,8106
271,8287,7956
272,8173,8116
273,8209,8139
274,8240,8273
275,8244,7975
276,8187,8092
277,8210,8078
278,8286,8216
279,8100,8077
280,8263,8014
281,8178,8115
282,8304,8338
283,8227,8263
284,8287,8039
285,8280,8253
286,8197,8049
287,8122,8104
288,8261,7981
289,8302,8165
290,8174,8206
291,8216,7995
292,8241,8176
293,8257,8235
294,8263,8150
295,8203,8115
296,8231,8112
297,8167,8171
298,8251,8289
299,8207,7925
300,8261,8246
301,8219,8126
302,8216,8157
303,8196,8105
304,8175,7922
305,8269,8200
306,8274,8055
307,8124,8283
308,8222,8114
309,8231,8212
310,8279,8195
311,8215,7995
312,8143,8071
313,8300,8173
314,8216,8320
315,8345,8224
316,8102,7973
317,8210,8260
318,8247,8243
319,8104,8161
320,8236,8083
321,8213,8070
322,8229,8308
323,8191,8038
324,8188,8081
325,8241,8418
326,8192,8158
327,8113,8141
328,8206,7907
329,8223,8201
330,8228,8254
331,8222,8128
332,8230,8215
333,8210,8218
334,8214,8093
335,8195,8089
336,8219,8122
337,8191,8266
338,8228,8130
339,8201,7999
340,8257,8270
341,8230,8268
342,8176,8049
343,8226,8050
344,8281,8432
345,8221,8198
346,8191,8021
347,8208,8101
348,8258,8256
349,8301,8200
350,8186,8157
351,8192,7989
352,8261,8241
353,8234,8350
354,8255,8122
355,8258,8155
356,8126,8282
357,8247,8146
358,8211,8096
359,8221,8215
360,8123,8159
361,8258,8179
362,8284,8094
363,8180,8148
364,8227,8168
365,8185,7914
366,8273,8266
367,8260,8228
368,8194,8116
369,8224,8284
370,8286,8118
371,8220,8081
372,8259,8026
373,8254,8147
374,8204,8220
375,8198,8020
376,8096,8204
377,8278,8190
378,8242,8105
379,8175,8183
380,8308,8065
381,8183,8122
382,8240,8142
383,8109,8253
384,8306,8214
385,8274,8185
386,8176,8168
387,8229,8281
388,8217,8108
389,8390,8226
390,8154,8161
391,8167,8099
392,8235,8237
393,8228,7965
394,8190,8112
395,8275,8004
396,8161,8172
397,8239,8210
398,8123,7850
399,8222,8184
400,8211,8249
401,8220,8139
402,8300,8243
403,8194,7939
404,8182,8139
405,8221,8253
406,8211,8118
407,8186,8332
408,8333,8162
409,8203,8173
410,8190,8273
411,8269,8010
412,8261,8174
413,8226,8080
414,8213,8200
415,8264,8131
416,8202,7950
417,8187,8086
418,8258,8184
419,8199,8112
420,8210,8071
421,8229,8324
422,8216,8091
423,8210,8182
424,8239,8266
425,8207,8098
426,8111,8073
427,8299,8203
428,8114,8180
429,8281,8192
430,8248,8079
431,8204,8269
432,8244,8225
433,8115,7863
434,8217,8192
435,8218,8071
436,8212,8236
437,8312,8039
438,8162,8032
439,8259,8271
440,8209,8076
441,8194,8279
442,8297,8150
443,8166,8187
444,8389,8309
445,8114,7948
