# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-09-01T16:29:05+00:00
# capture_name=vga_bypass_06.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=879
# firmware_status_timestamp=2026-09-01T16:29:05+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=0.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=0.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=2.49885936897e-05
# calibrated_volts_per_div_ch1=0.0511766398765
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=vga_bypass
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.57
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=6
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,11237,2303
1,13602,4197
2,15381,7329
3,15921,10187
4,15305,12769
5,13594,14686
6,11124,15542
7,8264,15458
8,5117,14055
9,2666,12059
10,1082,8915
11,431,6096
12,1022,3731
13,2754,1477
14,5310,655
15,8179,730
16,11214,2118
17,13720,4575
18,15325,7010
19,15928,10193
20,15311,12610
21,13537,14799
22,11170,15547
23,8131,15492
24,5125,14084
25,2722,11920
26,995,9189
27,445,6154
28,1014,3479
29,2781,1549
30,5239,708
31,8135,707
32,11236,2020
33,13680,4114
34,15332,7394
35,15930,10423
36,15313,12826
37,13610,14676
38,11126,15687
39,8180,15321
40,5203,14170
41,2704,11889
42,978,9157
43,420,6241
44,1031,3436
45,2775,1504
46,5278,653
47,8171,908
48,11166,2267
49,13688,4165
50,15351,7233
51,15890,10239
52,15350,12699
53,13563,14747
54,11097,15441
55,8169,15517
56,5108,14129
57,2676,12094
58,1030,9209
59,428,6193
60,1071,3352
61,2779,1414
62,5164,530
63,8190,929
64,11202,2233
65,13696,4369
66,15338,7349
67,15888,10129
68,15399,12431
69,13630,14647
70,11119,15709
71,8167,15480
72,5183,14184
73,2688,11854
74,1036,9015
75,425,6100
76,1082,3526
77,2799,1371
78,5231,807
79,8166,910
80,11143,2087
81,13710,4598
82,15320,6948
83,15938,10218
84,15297,12685
85,13645,14773
86,11052,15528
87,8169,15738
88,5170,14164
89,2773,11924
90,976,9080
91,450,6197
92,1023,3457
93,2793,1480
94,5177,591
95,8300,1022
96,11150,2093
97,13688,4259
98,15352,7129
99,15900,10258
100,15308,12606
101,13700,14825
102,11114,15799
103,8144,15489
104,5140,14017
105,2739,11553
106,1045,9227
107,449,6141
108,1035,3556
109,2741,1557
110,5214,726
111,8300,731
112,11206,1875
113,13691,4547
114,15332,7168
115,15906,10167
116,15354,12605
117,13622,14662
118,11090,15598
119,8050,15434
120,5238,13897
121,2716,11883
122,1020,8911
123,444,6238
124,1048,3669
125,2762,1396
126,5229,546
127,8235,897
128,11205,2183
129,13660,4204
130,15317,7289
131,15929,10205
132,15273,12699
133,13594,14653
134,11102,15529
135,8198,15418
136,5110,14112
137,2684,12026
138,1064,9117
139,434,6150
140,1022,3557
141,2721,1512
142,5279,615
143,8182,631
144,11199,2108
145,13680,4304
146,15336,7415
147,15913,10247
148,15292,12536
149,13659,14560
150,11042,15499
151,8226,15622
152,5186,14160
153,2662,11734
154,983,9286
155,438,6002
156,1023,3417
157,2698,1614
158,5287,796
159,8205,830
160,11262,2119
161,13643,4231
162,15351,7249
163,15930,10090
164,15297,12805
165,13591,14693
166,11124,15491
167,8079,15357
168,5089,13799
169,2707,12103
170,999,9150
171,429,6163
172,1005,3697
173,2793,1554
