point,tone_hz,decimation,effective_fs_hz,channel,snr_db_mean,snr_db_std,sinad_db_mean,sinad_db_std,enob_mean,enob_std,minimum_code,maximum_code,noncoherent_captures,firmware_overflow_flags
"5 MHz, D = 1",5000000,1,80000000,1,29.150017,0.336029,29.038907,0.344739,4.531380,0.057266,1505,15119,0,10
"5 MHz, D = 1",5000000,1,80000000,2,26.877277,0.289774,26.790940,0.275938,4.157964,0.045837,563,15763,0,10
"1 MHz, D = 5",1000000,5,16000000,1,30.430241,0.179408,30.407327,0.176614,4.758692,0.029338,1056,15598,10,10
"1 MHz, D = 5",1000000,5,16000000,2,27.402745,0.087187,27.378014,0.085537,4.255484,0.014209,785,15876,10,10
"500 kHz, D = 10",500000,10,8000000,1,30.533361,0.133133,30.497035,0.132883,4.773594,0.022074,1272,15689,10,10
"500 kHz, D = 10",500000,10,8000000,2,27.459866,0.147154,27.430214,0.145936,4.264155,0.024242,723,15833,10,10
"100 kHz, D = 50",100000,50,1600000,1,30.204800,0.132240,30.164577,0.139112,4.718368,0.023108,1518,15447,10,10
"100 kHz, D = 50",100000,50,1600000,2,27.123261,0.123718,27.082646,0.126393,4.206420,0.020995,1064,15563,10,10
"50 kHz, D = 100",50000,100,800000,1,30.260056,0.068765,30.220534,0.064847,4.727663,0.010772,1480,15461,10,10
"50 kHz, D = 100",50000,100,800000,2,27.218443,0.073001,27.186557,0.071912,4.223681,0.011946,1148,15429,10,10
