# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:21:30+00:00
# capture_name=debug_3db_04.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5844
# firmware_status_timestamp=2026-08-24T00:21:30+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=debug_3db
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=14501953.125
# generator_amplitude_vpk=2.791
# generator_offset_v=0.001
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=4
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,13527,12793
1,13030,12637
2,12980,12249
3,12432,11865
4,11830,11334
5,11690,11063
6,11513,10646
7,10407,10022
8,10349,9698
9,9570,8928
10,8861,8439
11,8518,8210
12,8303,7574
13,7257,7174
14,6896,6599
15,6216,5909
16,6115,5690
17,5054,5093
18,4990,4824
19,4368,3950
20,4078,4078
21,3339,3394
22,3115,3213
23,3103,2941
24,2665,2488
25,2406,2296
26,1896,2216
27,1958,1836
28,2023,2006
29,2269,1794
30,1765,1705
31,1829,1851
32,1943,1939
33,2278,2204
34,2518,2351
35,2587,2297
36,2760,2667
37,3014,2877
38,3590,3396
39,3677,3598
40,4557,4011
41,4860,4408
42,4979,4910
43,5621,5375
44,5927,5715
45,7045,6424
46,7278,7096
47,7654,7079
48,8537,8002
49,8989,8332
50,8887,8782
51,9861,9276
52,10547,10066
53,10978,10366
54,11769,10850
55,11855,11166
56,12434,11581
57,12573,11929
58,13243,12416
59,13291,12546
60,14049,13056
61,14002,13471
62,14200,13255
63,14529,13602
64,14240,13661
65,14534,13775
66,14599,13703
67,14798,13697
68,14630,13755
69,14155,13430
70,14182,13433
71,14122,13225
72,13711,12914
73,13355,12641
74,13269,12455
75,12671,11924
76,12396,11578
77,11925,11231
78,11485,10836
79,11109,10442
80,10730,9867
81,9857,9374
82,9209,8828
83,9138,8640
84,8216,7708
85,7593,7341
86,7081,6901
87,6795,6331
88,6360,5778
89,5390,5411
90,5139,4864
91,4490,4549
92,4374,4114
93,3841,3587
94,3519,3251
95,2795,2939
96,3092,2741
97,2639,2618
98,2418,2206
99,2198,2161
100,2318,2020
101,1928,1909
102,1799,1719
103,1876,1923
104,2126,1904
105,2029,1941
106,2066,2256
107,2391,2300
108,2730,2591
109,3027,2813
110,3039,3018
111,3677,3605
112,4005,3775
113,4609,4418
114,4595,4680
115,5739,5233
116,5733,5520
117,6284,5823
118,6822,6624
119,7206,6941
120,8212,7645
121,8582,8066
122,9174,8599
123,9767,9246
124,10035,9508
125,10930,10201
126,11649,10656
127,11287,10978
128,12342,11458
129,12504,11753
130,13081,12091
131,13293,12584
132,13331,12759
133,14087,13170
134,13947,13182
135,14524,13616
136,14358,13655
137,14178,13595
138,14859,13794
139,14238,13582
140,14948,13814
141,14199,13657
142,14364,13542
143,13830,13320
144,13961,13277
145,13611,12704
146,13458,12770
147,12949,12234
148,12748,12067
149,11730,11294
150,11942,11326
151,11055,10584
152,11012,10210
153,10349,9738
154,9685,9315
155,9248,8648
156,8522,8226
157,8146,7640
158,7558,7308
159,6857,6514
160,6772,6171
161,5710,5750
162,5242,5111
163,5318,4887
164,4327,4270
165,4292,3879
166,3779,3543
167,3204,3278
168,3271,3026
169,2370,2486
