# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T23:53:15+00:00
# capture_name=freq_2vpp_1to100_1MHz_check.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=1823
# firmware_status_timestamp=2026-08-23T23:52:26+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000562513048986
# calibrated_volts_per_div_ch1=1.15202672432
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000563632415019
# calibrated_volts_per_div_ch2=1.15431918596
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=manual
index,ch1_raw,ch2_raw
0,6161,6001
1,5893,5394
2,5283,5274
3,4889,4647
4,4841,4327
5,4023,3620
6,3685,3449
7,2890,2831
8,3052,2716
9,2751,2214
10,2388,2087
11,1977,1739
12,1945,1686
13,1650,1453
14,1647,1391
15,1706,1271
16,1592,1221
17,1549,1286
18,1457,1214
19,1645,1376
20,1547,1486
21,1819,1622
22,2151,1750
23,2094,2033
24,2874,2337
25,2777,2597
26,3259,2977
27,3678,3117
28,4185,3822
29,4369,4109
30,4781,4437
31,5651,5120
32,5902,5690
33,6269,5966
34,7240,6598
35,7196,6918
36,7884,7685
37,8454,7847
38,9024,8731
39,9837,9306
40,9983,9833
41,10574,10071
42,10946,10714
43,11697,11268
44,11996,11603
45,12468,12040
46,12988,12390
47,13129,12915
48,13440,13168
49,13908,13313
50,14403,13807
51,14286,13890
52,14592,14094
53,14701,14320
54,14682,14537
55,14943,14424
56,15132,14638
57,14582,14335
58,15124,14586
59,14812,14482
60,14754,14226
61,14660,14173
62,14308,14023
63,14289,13896
64,13572,13198
65,13470,13041
66,13105,12844
67,12814,12367
68,12366,12025
69,12225,11606
70,11609,11360
71,11148,10717
72,10524,10130
73,10163,9785
74,9639,9298
75,8924,8603
76,8564,8083
77,7909,7807
78,7503,7087
79,6903,6646
80,6287,6068
81,6153,5724
82,5374,4988
83,4730,4560
84,4555,4305
85,4213,3677
86,3354,3338
87,3227,2884
88,3164,2697
89,2561,2258
90,2186,2076
91,2316,1771
92,1675,1563
93,1862,1538
94,1644,1392
95,1435,1193
96,1425,1263
97,1572,1317
98,1475,1220
99,1544,1418
100,1847,1442
101,2119,1569
102,2269,1898
103,1982,2034
104,2712,2441
105,2846,2726
106,3429,3055
107,3620,3235
108,4372,3804
109,4268,4128
110,4748,4422
111,5338,5026
112,5994,5626
113,6153,5961
114,7112,6612
115,6964,6858
116,8112,7683
117,8679,8125
118,8898,8615
119,9508,9070
120,10066,9622
121,10546,10050
122,11038,10546
123,11781,11483
124,11876,11399
125,12327,11977
126,12913,12340
127,13176,12776
128,13478,13066
129,13913,13426
130,14021,13626
131,14390,14022
132,14598,13981
133,14717,14400
134,14396,14250
135,15215,14582
136,14916,14666
137,14986,14582
138,14787,14478
139,14875,14244
140,14933,14549
141,14251,14150
142,14339,13982
143,14074,13681
144,13872,13441
145,13716,13238
146,13195,12737
147,12664,12511
148,12458,12030
149,11942,11449
150,11441,11100
151,11197,10840
152,10344,10133
153,10451,9812
154,9401,9098
155,8833,8614
156,8815,8171
157,7817,7560
158,7392,7365
159,7008,6638
160,6398,6137
161,5640,5499
162,5446,5196
163,4759,4461
164,4663,4125
165,4176,3758
166,3748,3413
167,3007,2813
168,2812,2517
169,2866,2425
170,2287,1993
171,2188,1942
172,1553,1531
173,2094,1659
174,1615,1392
175,1499,1161
176,1397,1304
177,1415,1165
178,1714,1383
179,1429,1364
180,1784,1514
181,2058,1564
182,2062,1713
183,2108,2011
184,2766,2280
185,3019,2600
186,3229,3074
187,3243,3187
188,4022,3799
189,4654,4167
190,4568,4475
191,5390,5063
192,5920,5475
193,6373,6126
194,7027,6514
195,7196,6847
196,8325,7664
197,8185,8174
198,8831,8553
199,9813,9350
200,10126,9543
201,10711,10190
202,10918,10613
203,11695,11148
204,11982,11483
205,12485,11895
206,12565,12391
207,13577,13014
208,13381,13056
209,13751,13444
210,14138,13574
211,14473,13915
212,14564,14000
213,14526,14360
214,14668,14266
215,15064,14595
216,14990,14495
217,15010,14667
218,14765,14565
219,14766,14239
220,14818,14383
221,14461,13950
222,14349,14001
223,14159,13660
224,13926,13514
225,13478,13165
226,13106,12771
227,13170,12454
228,12091,11999
229,11891,11454
230,11503,11209
231,11157,10705
232,10668,10177
233,10019,9608
234,9717,9246
235,9046,8544
236,8248,8186
237,8024,7490
238,7276,7164
239,6828,6579
240,6574,5939
241,5886,5708
242,5482,5116
243,4564,4331
244,4567,4274
245,3825,3648
246,3729,3330
247,3437,2851
248,2971,2688
249,2570,2156
250,2269,2054
251,1976,1673
252,1836,1616
253,1660,1545
254,1598,1291
255,1545,1153
256,1558,1291
257,1485,1494
258,1347,1138
259,1836,1316
260,1712,1499
261,1780,1513
262,2111,1863
263,2381,2184
264,2503,2178
265,2819,2626
266,3629,3094
267,3672,3336
268,3947,3674
269,4207,3988
270,4858,4566
271,5373,5010
272,5902,5495
273,6526,6013
274,6862,6627
275,7467,7154
276,7975,7489
277,8494,8093
278,8874,8566
279,9788,9225
280,9873,9614
281,10690,10195
282,10970,10480
283,11700,11329
284,11832,11550
285,12550,11910
286,13047,12496
287,12991,12834
288,13553,13124
289,13733,13327
290,14299,13774
291,14223,13979
292,14654,14285
293,14694,14419
294,14934,14413
295,14585,14390
296,15236,14622
297,14710,14455
298,15121,14467
299,14506,14254
300,14963,14269
301,14627,14112
302,14194,14137
303,14301,13738
304,13813,13318
305,13453,13302
306,13443,12942
307,12457,12280
308,12654,12125
309,11962,11545
310,11428,11006
311,11122,10799
312,10333,10001
313,10129,9734
314,9432,9004
315,9086,8576
316,8473,8184
317,7904,7500
318,7527,7140
319,6752,6427
320,6456,6229
321,5678,5525
322,5603,5124
323,4588,4460
324,4522,4300
325,3956,3577
326,3680,3291
327,3164,3067
328,2901,2490
329,2749,2468
330,2300,2117
331,2340,1920
332,1733,1559
333,1952,1561
334,1485,1206
335,1395,1174
336,1436,1071
337,1314,1219
338,1583,1288
339,1516,1342
340,1820,1465
341,1893,1499
342,2011,1694
343,2208,2041
344,2548,2328
345,3108,2619
346,3517,2955
347,3498,3398
348,4043,3509
349,4291,4144
350,4819,4440
351,5449,5048
352,6079,5552
353,6173,6022
354,7036,6666
355,7333,6884
356,8219,7624
357,8342,8213
358,8899,8503
359,9795,9187
360,9851,9389
361,10556,10152
362,11226,10657
363,11492,11082
364,11957,11655
365,12338,12114
366,12685,12229
367,13075,12683
368,13437,13145
369,13792,13467
370,14293,13723
371,14426,13887
372,14409,14176
373,14832,14221
374,14854,14346
375,14570,14369
376,15108,14673
377,14978,14543
378,14760,14468
379,15063,14554
380,14432,14067
381,14660,14170
382,14462,13949
383,14142,13803
384,13724,13381
385,13871,13256
386,13105,12912
387,12667,12385
388,12580,12098
389,11988,11618
390,11384,10925
391,10973,10768
392,10624,9983
393,10185,9650
394,9384,9278
395,9075,8621
396,8578,8275
397,7779,7490
398,7575,7304
399,6676,6515
400,6551,6146
401,6208,5640
402,5210,5061
403,4896,4540
404,4580,4184
405,4254,3752
406,3469,3248
407,3306,3214
408,3101,2757
409,2423,2324
410,2225,1931
411,2242,1902
412,1577,1554
413,1823,1549
414,1864,1327
415,1402,1198
416,1562,1349
417,1286,1145
418,1419,1267
419,1805,1411
420,1753,1464
421,2041,1658
422,2134,1776
423,2179,1996
424,2621,2349
425,2889,2598
426,3463,2940
427,3514,3186
428,3891,3696
429,4436,4177
430,4965,4436
431,5279,4993
432,5867,5557
433,6385,5798
434,7105,6576
435,7356,7027
436,7848,7649
437,8578,8199
438,8861,8584
439,9692,9071
440,9871,9578
441,10651,10084
442,10916,10641
443,11592,11034
444,12214,11742
445,12616,12055
446,12476,12247
447,13288,12695
448,13374,13061
449,13800,13338
450,14296,13744
451,14282,13928
452,14801,14288
453,14466,14209
454,14853,14371
455,14740,14483
456,15120,14609
457,14777,14462
458,15204,14558
459,14802,14521
460,14674,14329
461,14715,14187
462,14294,13822
463,14185,13802
464,13852,13611
465,13606,13159
466,13381,12858
467,12577,12275
468,12395,12066
469,11775,11455
470,11556,11051
471,10941,10731
472,10696,10117
473,10032,9835
474,9349,9039
475,9197,8706
476,8323,8176
477,8203,7728
478,7221,7252
479,6996,6550
480,6339,6045
481,5616,5444
482,5521,5198
483,4513,4308
484,4650,4202
485,4148,3879
486,3602,3430
487,3066,2796
488,3068,2544
489,2454,2321
490,2236,2050
491,2308,1847
492,1796,1623
493,1720,1544
494,1638,1312
495,1416,1057
496,1491,1045
497,1618,1371
498,1395,1191
499,1679,1381
500,1686,1482
501,1801,1603
502,2392,1849
503,2366,2084
504,2592,2285
505,2751,2563
506,3256,2907
507,3489,3199
508,4189,3805
509,4219,3885
510,5013,4664
511,5379,5000
512,6099,5655
513,6202,5996
514,7118,6657
515,7296,7002
516,7787,7452
517,8270,8203
518,9073,8547
519,9549,9148
520,9731,9528
521,10914,10330
522,10934,10552
523,11654,11200
524,12278,11720
525,12365,12167
526,12457,12238
527,13089,12639
528,13666,13082
529,13624,13532
530,14298,13700
531,14394,14056
532,14433,14074
533,14668,14169
534,14782,14336
535,15055,14486
536,14897,14486
537,15038,14608
538,14855,14435
539,14878,14465
540,14600,14163
541,14635,14285
542,14419,13866
543,14018,13682
544,13803,13346
545,13567,13123
546,13160,12889
547,12698,12467
548,12572,11874
549,11822,11602
550,11348,11077
551,11501,10850
552,10518,10214
553,10169,9635
554,9519,9134
555,8847,8636
556,8798,8172
557,7720,7574
558,7456,7377
559,6840,6623
560,6396,6240
561,5891,5460
562,5595,5146
563,4535,4502
564,4481,4095
565,4343,3834
566,3455,3193
567,3265,3017
568,3097,2488
569,2759,2437
570,2328,2123
571,1978,1684
572,1789,1388
573,1746,1477
574,1546,1195
575,1333,1188
576,1525,1091
577,1523,1281
578,1635,1280
579,1600,1479
580,1414,1358
581,1972,1565
582,2152,1691
583,2385,2022
584,2377,2248
585,3030,2559
586,3096,2863
587,3868,3345
588,4064,3754
589,4582,4128
590,4636,4461
591,5651,5092
592,5836,5325
593,6167,5914
594,6834,6552
595,7289,6934
596,8406,7702
597,8538,8042
598,8756,8599
599,9758,9165
600,9904,9634
601,10705,10028
602,10949,10594
603,11561,11147
604,11834,11606
605,12363,12084
606,12698,12292
607,13246,12760
608,13338,13078
609,13890,13510
