# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:02:51+00:00
# capture_name=freq_2vpp_1to100_996kHz_check_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=4929
# firmware_status_timestamp=2026-08-24T00:02:51+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_996kHz_check
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=996093.75
# generator_amplitude_vpk=3.3
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=1
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,13649,12848
1,13707,13193
2,14282,13451
3,14658,13935
4,14844,14130
5,15135,14315
6,15158,14285
7,15352,14624
8,15394,14584
9,15831,14778
10,15721,14796
11,15789,14953
12,15417,14674
13,15241,14430
14,15344,14667
15,15310,14409
16,14823,14069
17,14353,13642
18,14392,13326
19,13783,13114
20,13674,12795
21,12768,12375
22,12799,12057
23,12120,11281
24,11542,10873
25,11265,10553
26,10493,10128
27,9874,9353
28,9691,9072
29,8648,8281
30,8333,7909
31,7631,7177
32,7085,6860
33,6352,6037
34,5986,5637
35,5270,5129
36,4922,4663
37,4078,3943
38,4093,3857
39,3518,3298
40,2680,2804
41,2723,2514
42,2415,2288
43,1921,1950
44,1743,1556
45,1359,1449
46,1351,1234
47,695,1017
48,931,892
49,901,901
50,529,722
51,930,998
52,795,747
53,1262,1082
54,907,953
55,1354,1199
56,1703,1338
57,1614,1861
58,2412,2201
59,2253,2381
60,3047,2869
61,3182,3096
62,3868,3690
63,4288,4129
64,4794,4457
65,5439,5007
66,5736,5585
67,6241,5917
68,7223,6663
69,7345,7107
70,8231,7829
71,8914,8389
72,8995,8788
73,9930,9386
74,10496,9641
75,11182,10474
76,11198,10847
77,12092,11267
78,12504,11794
79,13077,12285
80,13562,12599
81,13553,12944
82,14501,13341
83,14533,13487
84,14881,13982
85,15105,14269
86,15092,14240
87,15494,14594
88,15376,14643
89,15820,14755
90,15549,14749
91,15702,14867
92,15584,14682
93,15244,14499
94,15721,14661
95,15030,14480
96,15096,14218
97,14676,13829
98,14231,13533
99,13842,13196
100,13854,12951
101,13283,12567
102,12946,12238
103,12162,11505
104,11767,11177
105,11055,10786
106,10503,10074
107,10000,9515
108,9630,9196
109,8623,8391
110,8813,8182
111,7639,7390
112,7497,7118
113,6647,6240
114,6124,5910
115,5273,5330
116,5171,4884
117,4417,4163
118,4033,3900
119,3551,3225
120,3103,3290
121,2954,2754
122,2230,2378
123,1856,1802
124,1711,1726
125,1466,1376
126,1370,1246
127,677,1042
128,1139,877
129,753,955
130,887,1027
131,846,748
132,1015,919
133,637,840
134,1479,1193
135,1283,1241
136,1230,1352
137,1658,1825
138,2401,2174
139,2369,2274
140,2583,2464
141,3087,2979
142,3460,3321
143,4396,3977
144,4585,4361
145,5010,4849
146,5677,5356
147,6173,5983
148,6669,6286
149,7362,7012
150,8023,7614
151,8700,8124
152,8947,8582
153,10039,9208
154,9898,9564
155,10840,10143
156,11613,10948
157,11806,11282
158,12387,11681
159,12831,12187
160,12733,12379
161,14089,13120
162,13848,13113
163,14326,13572
164,14758,13867
165,15173,14285
166,15090,14293
167,15180,14484
168,15589,14604
169,15439,14731
170,15754,14890
171,15841,14759
172,15669,14832
173,15193,14493
174,15486,14556
