# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:04:32+00:00
# capture_name=freq_2vpp_1to100_996kHz_check_safe_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=4930
# firmware_status_timestamp=2026-08-24T00:04:32+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_996kHz_check_safe
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=996093.75
# generator_amplitude_vpk=2.8
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=1
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8847,8291
1,9369,9182
2,9778,9262
3,10576,9760
4,11112,10282
5,11138,10713
6,11518,10977
7,12427,11427
8,12137,11606
9,12803,12054
10,13014,12419
11,13637,12867
12,13809,12861
13,13898,13071
14,14118,13206
15,14285,13565
16,14468,13557
17,14534,13724
18,14803,13780
19,14509,13942
20,14363,13777
21,14669,13624
22,14476,13631
23,14210,13354
24,14138,13317
25,13714,12978
26,13742,12830
27,12939,12394
28,12986,12293
29,12492,11810
30,12453,11739
31,12056,11310
32,11219,10784
33,10989,10475
34,10664,9991
35,10073,9570
36,9597,9192
37,9077,8578
38,8805,8217
39,8191,7843
40,7447,7285
41,7359,6978
42,6802,6473
43,6040,5747
44,5461,5396
45,5359,5015
46,4930,4507
47,4453,4246
48,4173,3881
49,3779,3593
50,3370,3195
51,3035,3155
52,2624,2684
53,2611,2482
54,2480,2378
55,2127,1963
56,2186,2137
57,2223,2117
58,1844,2066
59,2037,1908
60,1897,1888
61,2102,2149
62,1834,1773
63,2265,2157
64,2294,2222
65,2932,2613
66,2668,2803
67,3086,2938
68,3452,3442
69,4046,3661
70,4126,4103
71,4503,4126
72,4838,4895
73,5232,5064
74,6060,5540
75,6191,5975
76,6859,6345
77,7394,6939
78,7771,7582
79,8372,7850
80,8460,8315
81,9465,8829
82,9661,9067
83,10091,9594
84,10959,10178
85,10999,10471
86,11397,10780
87,12260,11461
88,12238,11684
89,12487,11907
90,12954,12369
91,13586,12528
92,13348,12763
93,13815,13076
94,14092,13313
95,14411,13491
96,14465,13453
97,14595,13692
98,14451,13825
99,14494,13732
100,14398,13793
101,14709,13739
102,14300,13475
103,14298,13439
104,14231,13219
105,13949,13271
106,13633,12912
107,13533,12746
108,12973,12343
109,12765,11965
110,12324,11731
111,12053,11360
112,11273,10679
113,11381,10690
114,10417,10067
115,10689,9840
116,9483,9242
117,9256,8843
118,9063,8642
119,8317,7824
120,7926,7448
121,6992,6698
122,6775,6350
123,6438,6116
124,5966,5734
125,5672,5170
126,4879,4631
127,4507,4270
128,4273,4057
129,3656,3881
130,3295,3266
131,3110,2950
132,2961,2863
133,2859,2567
134,2637,2355
135,1989,2270
136,2295,2249
137,1914,2160
138,2104,1968
139,1650,1827
140,2112,1912
141,2063,1840
142,2197,1913
143,1894,2038
144,2474,2299
145,2459,2460
146,2689,2716
147,2967,2858
148,3642,3279
149,3351,3591
150,3890,3762
151,4724,4245
152,4760,4601
153,5364,4876
154,5646,5321
155,6268,5977
156,6605,6360
157,7038,6595
158,7730,7313
159,7916,7573
160,8362,8197
161,9261,8627
162,9304,8946
163,10102,9549
164,10560,9864
165,10987,10475
166,11284,10635
167,12013,11366
168,12316,11436
169,12420,11863
170,12712,12114
171,13253,12586
172,13569,12870
173,13660,13123
174,14145,13223
175,14053,13322
176,14411,13486
177,14581,13678
178,14586,13695
179,14634,13801
180,14571,13825
181,14302,13468
182,14657,13717
183,14462,13540
184,14309,13459
185,13615,13059
186,13575,12833
187,13642,12731
188,13212,12434
189,12832,12053
190,12379,11759
191,12143,11517
192,11679,10985
193,11485,10728
194,10798,10140
195,10483,9985
196,10225,9510
197,9172,8844
198,9001,8400
199,8520,7913
200,7596,7599
201,7580,7248
202,7073,6674
203,6484,6228
204,5796,5720
205,5738,5441
206,4970,4936
207,4849,4441
208,4314,4163
209,4008,3762
210,3416,3464
211,3257,3112
212,3012,2861
213,2966,2694
214,2504,2444
215,2040,2323
216,2377,2139
217,1904,2022
218,1912,2241
219,1926,1849
220,1926,1966
221,1898,1827
222,2030,1938
223,2088,2194
224,2134,2063
225,2342,2434
226,2685,2588
227,2906,2838
228,3232,3190
229,3518,3245
230,4129,3726
231,4099,4190
232,5044,4608
233,5122,4971
234,5303,5182
235,6154,5644
236,6455,6147
237,6902,6412
238,7290,6946
239,8071,7716
240,8564,7986
241,8947,8706
242,9408,8895
243,9958,9411
244,10407,9812
245,10623,10140
246,11313,10778
247,11592,10935
248,12199,11712
249,12220,11623
250,13005,12128
251,13522,12468
252,13402,12402
253,13679,13068
254,13748,13263
255,14474,13374
256,14344,13515
257,14474,13571
258,14568,13477
259,14384,13735
260,14690,13819
261,14138,13512
262,14596,13601
263,14118,13496
264,14321,13446
265,14203,13326
266,13659,13130
267,13430,12644
268,13231,12618
269,12961,12303
270,12830,11949
271,12428,11538
272,11924,11218
273,11216,10739
274,10681,10347
275,10723,9923
276,10257,9709
277,9233,8948
278,9394,8746
279,8723,8171
280,8025,7580
281,7416,7388
282,7234,6727
283,6453,6204
284,5990,5752
285,5927,5546
286,5010,4796
287,4827,4657
288,4182,4162
289,4167,3884
290,3553,3722
291,3323,3242
292,3202,2861
293,2781,2711
294,2526,2539
295,2370,2276
296,2091,2112
297,2193,2034
298,1816,1984
299,2159,2035
300,1936,1927
301,1695,1752
302,1839,1986
303,2641,2297
304,1918,2093
305,2413,2465
306,2412,2438
307,2870,2722
308,2877,3030
309,3722,3173
310,3621,3543
311,4283,4014
312,4470,4347
313,5010,4743
314,5619,5247
315,5661,5496
316,6552,6214
317,6913,6488
318,7085,6797
319,7781,7314
320,8591,7946
321,8673,8303
322,8994,8648
323,9757,9233
324,10328,9744
325,10744,10054
326,11245,10546
327,11794,10918
328,11871,11410
329,12526,11742
330,12788,12054
331,13114,12503
332,13171,12563
333,13637,12942
334,13924,13024
335,14143,13519
336,14253,13355
337,14365,13649
338,14667,13686
339,14503,13900
340,14268,13683
341,14735,13844
342,14259,13538
343,14653,13610
344,14004,13420
345,13910,13241
346,13992,13156
347,13570,12882
348,13490,12683
349,13085,12265
350,12762,11931
351,12449,11862
352,11494,11217
353,11550,10912
354,11341,10650
355,10843,10249
356,10043,9571
357,9484,9152
358,9188,8925
359,8740,8148
360,8308,7855
361,7763,7176
362,7429,6993
363,6429,6524
364,6289,6170
365,5785,5567
366,5573,5197
367,4737,4589
368,4695,4536
369,4358,3943
370,3809,3600
371,3733,3499
372,2732,2829
373,3083,2939
374,2678,2456
375,2260,2387
376,2219,2305
377,2555,2317
378,1856,1825
379,2146,2051
380,1789,1789
381,1931,1792
382,1752,1841
383,2371,2046
384,1966,2148
385,2268,2379
386,3048,2678
387,2304,2585
388,3304,2950
389,3404,3240
390,3261,3274
391,4483,3942
392,4251,4128
393,4761,4606
394,5303,5049
395,5729,5387
396,6480,5934
397,6662,6404
398,7148,6539
399,8063,7424
400,7967,7665
401,8389,8055
402,9163,8640
403,9121,8916
404,10252,9730
405,10847,9964
406,11325,10579
407,11532,10765
408,11644,11048
409,12302,11551
410,12503,11858
411,13327,12506
412,13142,12299
413,13397,12869
414,14075,13118
415,13954,13313
416,14455,13522
417,14322,13724
418,14535,13489
419,14731,13798
420,14498,13810
421,14210,13711
422,14892,13917
423,14342,13620
424,14066,13454
425,14093,13357
426,13836,13113
427,13611,12840
428,13462,12600
429,13208,12405
430,13065,12188
431,12428,11769
432,12182,11529
433,11595,11159
434,11490,10760
435,10822,10151
436,10233,9861
437,9838,9432
438,9485,8836
439,9158,8673
440,8066,7827
441,8198,7716
442,7465,6994
443,6985,6706
444,6405,6082
445,6125,5761
446,5430,5239
447,5181,4912
448,4649,4589
449,4333,4161
450,3995,3860
451,3402,3406
452,3547,3092
453,3067,2811
454,2691,2805
455,2200,2148
456,2555,2278
457,2013,2097
458,2031,2069
459,2144,2124
460,1614,1724
461,1849,1642
462,2177,2076
463,1931,1807
464,1937,2079
465,2218,2294
466,2523,2586
467,2877,2758
468,2933,2904
469,3371,3175
470,3797,3366
471,3819,3923
472,4589,4318
473,4839,4638
474,5212,4814
475,5405,5243
476,6264,5757
477,6494,6341
478,7061,6607
479,7427,6971
480,8119,7554
481,8583,8022
482,9028,8587
483,9327,8847
484,10084,9464
485,10324,9860
486,10873,10183
487,11382,10822
488,11670,10929
489,12379,11555
490,12335,11736
491,12863,12058
492,13341,12537
493,13241,12555
494,13841,13038
495,13982,13168
496,13877,13365
497,14423,13459
498,14541,13649
499,14435,13553
500,14680,13810
501,14214,13557
502,14635,13756
503,14673,13790
504,14127,13495
505,14257,13430
506,14036,13152
507,13436,13001
508,13725,12886
509,13575,12469
510,12666,12242
511,12760,11784
512,12156,11563
513,11786,11202
514,11298,10712
515,10800,10476
516,10638,10000
517,9931,9350
518,9635,9133
519,8910,8741
520,8527,8185
521,8225,7563
522,7326,7216
523,7106,6863
524,6709,6417
525,6114,5706
526,6031,5524
527,5064,4825
528,4830,4429
529,4399,4354
530,4031,3778
531,3660,3639
532,3331,3282
533,3201,2940
534,2940,2618
535,2236,2340
536,2532,2409
537,2106,2168
538,2123,1981
539,2088,1972
540,1900,1755
541,1919,1869
542,1791,1988
543,2002,1894
544,2317,2215
545,1937,2222
546,2231,2322
547,2852,2532
548,2949,2816
549,3143,2931
550,3386,3288
551,4011,3668
552,4140,3991
553,4440,4369
554,4945,4746
555,5830,5408
556,5819,5419
557,6270,6015
558,7013,6676
559,7404,6891
560,7918,7562
561,8042,7925
