# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T01:47:04+00:00
# capture_name=gain_2vpp_1to100_5MHz_g55p00_check_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=840
# firmware_status_timestamp=2026-08-24T01:47:04+00:00
# software_git_commit=be69198
# software_git_dirty=false
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=1
# calibration_volts_per_code_ch1=0.000562513048986
# calibrated_volts_per_div_ch1=1.15202672432
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=1
# calibration_volts_per_code_ch2=0.000563632415019
# calibrated_volts_per_div_ch2=1.15431918596
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=gain
# series_id=gain_2vpp_1to100_5MHz_g55p00_check
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=3.565
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=1
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,10553,10375
1,8039,7603
2,5026,4769
3,2962,2925
4,1423,1158
5,981,1032
6,1449,1372
7,2997,2977
8,5261,5070
9,8790,8116
10,10990,10683
11,13729,12900
12,15013,14526
13,15606,14903
14,14867,14366
15,13392,12721
16,10699,10449
17,7870,7469
18,5325,5079
19,2998,2782
20,1412,1202
21,867,1042
22,1279,1497
23,3200,2934
24,5729,5412
25,8239,7835
26,10918,10518
27,13588,13005
28,15439,14665
29,15282,14770
30,14853,14255
31,13492,13012
32,10683,10293
33,8388,7838
34,4994,4910
35,2878,2903
36,1252,1365
37,756,703
38,1510,1353
39,2990,3085
40,5458,5152
41,8775,8146
42,11169,10656
43,13860,12960
44,14701,14302
45,15505,14729
46,15158,14288
47,13342,12911
48,10522,10271
49,8124,7864
50,5327,5135
51,2760,2491
52,1327,1478
53,790,750
54,1460,1306
55,3182,3033
56,5574,5173
57,8591,7975
58,11220,10620
59,13696,12846
60,15049,14286
61,15688,15035
62,14793,14128
63,13398,12814
64,10963,10326
65,7719,7552
66,5339,5096
67,2913,2738
68,1388,1281
69,945,810
70,1632,1401
71,2914,2994
72,5795,5292
73,8240,7937
74,11090,10558
75,13820,13164
76,15061,14389
77,15422,14859
78,14928,14328
79,13534,12897
80,10888,10568
81,7967,7753
82,5070,4787
83,2883,2872
84,1488,1487
85,665,694
86,1336,1391
87,3279,2981
88,5504,5258
89,8559,8091
90,11353,10693
91,13564,12921
92,14968,14348
93,15467,14859
94,14782,14138
95,13510,12836
96,10869,10255
97,8019,7601
98,5020,4826
99,2705,2728
100,1382,1416
101,720,721
102,1798,1404
103,3190,3001
104,5254,5102
105,8596,8068
106,11137,10708
107,13829,13058
108,14855,14332
109,15756,14949
110,14752,14264
111,13203,12618
112,10638,10393
113,8060,7611
114,5376,5212
115,2623,2597
116,1509,1438
117,814,672
118,1522,1410
119,3417,3077
120,5380,5033
121,8669,8130
122,11312,10751
123,13254,12769
124,15357,14552
125,15534,14826
126,14737,14487
127,13355,12885
128,11010,10583
129,7792,7615
130,5300,4905
131,2920,3036
132,1489,1305
133,811,894
134,1528,1352
135,3416,3001
136,5357,5193
137,8466,8093
138,11319,10543
139,13561,13072
140,14905,14178
141,15697,14888
142,14564,14198
143,13438,12972
144,10797,10403
145,8045,7589
146,5196,5083
147,2762,2678
148,1406,1599
149,986,787
150,1403,1378
151,3204,2986
152,5515,5142
153,8427,7970
154,11402,10670
155,13651,12997
156,15100,14531
157,15277,15024
158,14855,14263
159,13516,12854
160,10886,10516
161,8115,7665
162,5208,5066
163,2593,2601
164,1591,1525
165,847,707
166,1450,1474
167,3478,3106
168,5523,5244
169,8292,7996
170,11497,10739
171,13386,12908
172,14930,14338
173,15533,14784
174,15176,14304
